seed,time,observed_relative_mass,predicted_relative_mass,absolute_tmv
1,0.0,1.0,0.9999998807907104,1.1920928955078125e-07
1,1.0,1.0575,1.053222417831421,0.004277582168579208
1,2.0,1.1175,1.1079121828079224,0.009587817192077575
1,3.0,1.1825,1.1640206575393677,0.01847934246063243
1,4.0,1.25,1.2216928005218506,0.028307199478149414
4,0.0,1.0,0.9999998807907104,1.1920928955078125e-07
4,1.0,1.0575,1.0531773567199707,0.0043226432800294035
4,2.0,1.1175,1.1079225540161133,0.009577445983886657
4,3.0,1.1825,1.1640814542770386,0.018418545722961532
4,4.0,1.25,1.2218596935272217,0.02814030647277832
8,0.0,1.0,0.9999998807907104,1.1920928955078125e-07
8,1.0,1.0575,1.0531859397888184,0.004314060211181747
8,2.0,1.1175,1.1078636646270752,0.009636335372924743
8,3.0,1.1825,1.1641473770141602,0.01835262298583995
8,4.0,1.25,1.2222468852996826,0.027753114700317383
32,0.0,1.0,0.9999998807907104,1.1920928955078125e-07
32,1.0,1.0575,1.0531253814697266,0.004374618530273544
32,2.0,1.1175,1.107806921005249,0.009693078994750914
32,3.0,1.1825,1.1641007661819458,0.018399233818054306
32,4.0,1.25,1.222177505493164,0.027822494506835938
256,0.0,1.0,0.9999998807907104,1.1920928955078125e-07
256,1.0,1.0575,1.0532007217407227,0.00429927825927745
256,2.0,1.1175,1.1079127788543701,0.00958722114562982
256,3.0,1.1825,1.164158821105957,0.018341178894043075
256,4.0,1.25,1.2220370769500732,0.027962923049926758
