seed,condition,time,space,w1,w2
1,interaction_on,1.0,joint,0.050854472819981476,0.05440782744080779
1,interaction_on,1.0,spatial,0.022917497249779033,0.026416209843433205
1,interaction_on,1.0,gene,0.023926441873176007,0.027727846789467044
1,interaction_on,2.0,joint,0.07483337902724592,0.08055406694116601
1,interaction_on,2.0,spatial,0.028338935446295045,0.0341360949371541
1,interaction_on,2.0,gene,0.03195227670863194,0.036454588658329304
1,interaction_on,3.0,joint,0.07656069178127128,0.08205974618181379
1,interaction_on,3.0,spatial,0.030082537960639973,0.03577498367834988
1,interaction_on,3.0,gene,0.045111346570766986,0.05115280641647451
1,interaction_on,4.0,joint,0.08818998719886346,0.09997198996095534
1,interaction_on,4.0,spatial,0.0192364495156797,0.026441372439153614
1,interaction_on,4.0,gene,0.07559145544693811,0.08718497839097789
1,interaction_off,1.0,joint,0.06472830036557775,0.06792406680694976
1,interaction_off,1.0,spatial,0.023859884534993794,0.027316175248747764
1,interaction_off,1.0,gene,0.03425030821925505,0.039237487158746
1,interaction_off,2.0,joint,0.11314287621934874,0.11804218044024115
1,interaction_off,2.0,spatial,0.04657608257546896,0.051217095690010435
1,interaction_off,2.0,gene,0.05060624212768316,0.06066572431084169
1,interaction_off,3.0,joint,0.1268160906136415,0.1340916632910247
1,interaction_off,3.0,spatial,0.06741943266710707,0.07273478767193979
1,interaction_off,3.0,gene,0.07776059583095417,0.08650550044891389
1,interaction_off,4.0,joint,0.19581994433279698,0.21075529565525575
1,interaction_off,4.0,spatial,0.0889405377925225,0.09509945691679415
1,interaction_off,4.0,gene,0.15905687758784437,0.18045509441651905
4,interaction_on,1.0,joint,0.04957419289606355,0.0531766510552134
4,interaction_on,1.0,spatial,0.022436693269082174,0.025858040198579856
4,interaction_on,1.0,gene,0.02244674500923621,0.02646008731290227
4,interaction_on,2.0,joint,0.07355783253578471,0.07975541298563824
4,interaction_on,2.0,spatial,0.02908254720591362,0.03435713960064739
4,interaction_on,2.0,gene,0.032071492166568225,0.036525823054970874
4,interaction_on,3.0,joint,0.0792765703763019,0.08546937074009732
4,interaction_on,3.0,spatial,0.03216529493057398,0.038581537144175566
4,interaction_on,3.0,gene,0.04624209625169951,0.052222534888597905
4,interaction_on,4.0,joint,0.09114566353324546,0.10358096379200603
4,interaction_on,4.0,spatial,0.02092302864421166,0.029959406433774868
4,interaction_on,4.0,gene,0.07814813802799381,0.09027383901778359
4,interaction_off,1.0,joint,0.0645341555058978,0.06774662403380582
4,interaction_off,1.0,spatial,0.0235956765074265,0.02683424955575506
4,interaction_off,1.0,gene,0.034099867062096854,0.039004194744282815
4,interaction_off,2.0,joint,0.11245127084428437,0.11746176362874541
4,interaction_off,2.0,spatial,0.04632962119892832,0.05073678990759079
4,interaction_off,2.0,gene,0.05144687424777434,0.06177153581602365
4,interaction_off,3.0,joint,0.1277592576782424,0.13523920014835505
4,interaction_off,3.0,spatial,0.06750386720728521,0.07242509584851764
4,interaction_off,3.0,gene,0.07914246814521206,0.08857669857604496
4,interaction_off,4.0,joint,0.19595555731781328,0.21097283097376815
4,interaction_off,4.0,spatial,0.08869286579444516,0.09415967425610298
4,interaction_off,4.0,gene,0.15989657738159274,0.1809447021543744
8,interaction_on,1.0,joint,0.05115310517583237,0.054487585211252076
8,interaction_on,1.0,spatial,0.02188280129870223,0.025604386863227958
8,interaction_on,1.0,gene,0.023039591388772408,0.027105084823795516
8,interaction_on,2.0,joint,0.07269205695803098,0.07816135222258035
8,interaction_on,2.0,spatial,0.028913733698757542,0.03393770901065382
8,interaction_on,2.0,gene,0.03083210370744124,0.035449232838270076
8,interaction_on,3.0,joint,0.07656768231184796,0.08301269126692674
8,interaction_on,3.0,spatial,0.03198882669762517,0.03844826458657656
8,interaction_on,3.0,gene,0.04375976754892115,0.04991814357423433
8,interaction_on,4.0,joint,0.08979071124115358,0.10122192811978319
8,interaction_on,4.0,spatial,0.021487527258174963,0.030245993197547415
8,interaction_on,4.0,gene,0.07617926592800045,0.0873630993742075
8,interaction_off,1.0,joint,0.06605212922284188,0.06940868422245036
8,interaction_off,1.0,spatial,0.023594095780228082,0.027209600869511952
8,interaction_off,1.0,gene,0.03374436284340241,0.03860021781105896
8,interaction_off,2.0,joint,0.11277761275900053,0.11760047565292558
8,interaction_off,2.0,spatial,0.047765357924558965,0.051895666624987964
8,interaction_off,2.0,gene,0.05048303944253455,0.06041089808375476
8,interaction_off,3.0,joint,0.1277269660751123,0.13520293552505905
8,interaction_off,3.0,spatial,0.0689539836599341,0.07390573266107468
8,interaction_off,3.0,gene,0.07844518123468133,0.0876521208026281
8,interaction_off,4.0,joint,0.19699566785075617,0.21137407129779925
8,interaction_off,4.0,spatial,0.08993943334415475,0.09564060362114792
8,interaction_off,4.0,gene,0.15958456648195132,0.18049393564292668
32,interaction_on,1.0,joint,0.050922929022112644,0.054480698564657606
32,interaction_on,1.0,spatial,0.022863846657708305,0.026631129366872498
32,interaction_on,1.0,gene,0.02337911115374117,0.02741953911930577
32,interaction_on,2.0,joint,0.07518535666801839,0.08086097522237132
32,interaction_on,2.0,spatial,0.03003232873849133,0.03575254296279378
32,interaction_on,2.0,gene,0.03261663568575679,0.03712160919165561
32,interaction_on,3.0,joint,0.07843051016952782,0.08484085295014876
32,interaction_on,3.0,spatial,0.031890696005341446,0.038325809532236965
32,interaction_on,3.0,gene,0.04484730183703804,0.051432969103493216
32,interaction_on,4.0,joint,0.09253212495345628,0.10429788796261917
32,interaction_on,4.0,spatial,0.020734314197889996,0.028611940668482595
32,interaction_on,4.0,gene,0.07903450171795123,0.09152826651252262
32,interaction_off,1.0,joint,0.06461052326215067,0.06804741102451772
32,interaction_off,1.0,spatial,0.023906602042753404,0.027127869185494344
32,interaction_off,1.0,gene,0.03416533634025924,0.038899365312890705
32,interaction_off,2.0,joint,0.1132945164470687,0.11815579983851197
32,interaction_off,2.0,spatial,0.04696461926459716,0.051589151115235335
32,interaction_off,2.0,gene,0.05136162263627406,0.061380607988108786
32,interaction_off,3.0,joint,0.1279596068204735,0.13544961917985504
32,interaction_off,3.0,spatial,0.06830984499771142,0.0736652107753044
32,interaction_off,3.0,gene,0.07946493704716653,0.08837849834170541
32,interaction_off,4.0,joint,0.19674295697976452,0.21178189171126383
32,interaction_off,4.0,spatial,0.09026126092010056,0.09609789875408999
32,interaction_off,4.0,gene,0.15903200947759205,0.18088247819437228
256,interaction_on,1.0,joint,0.050597294116685024,0.05395559984644117
256,interaction_on,1.0,spatial,0.022338690965282695,0.026421786400063294
256,interaction_on,1.0,gene,0.02319920039980012,0.026792127830366913
256,interaction_on,2.0,joint,0.07444197633723662,0.0797023518415469
256,interaction_on,2.0,spatial,0.030039363673723604,0.03518147383630226
256,interaction_on,2.0,gene,0.031276891566106295,0.035762048571027966
256,interaction_on,3.0,joint,0.07896373712044982,0.08556918095890444
256,interaction_on,3.0,spatial,0.03236316271959468,0.03862860168894579
256,interaction_on,3.0,gene,0.04611612989470903,0.05255172267865598
256,interaction_on,4.0,joint,0.09266846249947569,0.10448748365857108
256,interaction_on,4.0,spatial,0.02261094023354995,0.03122223147566993
256,interaction_on,4.0,gene,0.07896713513665367,0.09110242498149919
256,interaction_off,1.0,joint,0.0654522493153696,0.06850930033822254
256,interaction_off,1.0,spatial,0.023389158013500586,0.02745304649736652
256,interaction_off,1.0,gene,0.03458246938806915,0.03930369211382729
256,interaction_off,2.0,joint,0.11265352237827969,0.1173635038336036
256,interaction_off,2.0,spatial,0.047234642168497765,0.05168305686820375
256,interaction_off,2.0,gene,0.051157771287516356,0.060973560283049344
256,interaction_off,3.0,joint,0.12932925876366186,0.13656333590613082
256,interaction_off,3.0,spatial,0.06863780281310496,0.07409600518345039
256,interaction_off,3.0,gene,0.0806416113339228,0.08922207604804272
256,interaction_off,4.0,joint,0.19820208471078993,0.2135495152779498
256,interaction_off,4.0,spatial,0.09095434274155866,0.09809407146295686
256,interaction_off,4.0,gene,0.16043854644043054,0.18129785609053659
