pair,time_0.0,time_0.5,time_1.0,time_1.5,time_2.0,time_2.5,time_3.0,time_3.5,time_4.0,cluster,distance_to_pattern_prototype,representativeness_rank_within_pattern,display_order
TNC_ITGA9_ITGB1,0.0,0.310143604395343,0.3061015709450171,0.7182682825179346,0.3813681483716492,0.6342627713072386,0.2077396934957581,1.0,0.4076873799223688,1,0.35864235954813983,1,1
WNT11_FZD8,0.0,0.1966750910739888,0.3310899272757686,0.5387936436597638,0.1880204816538025,0.5117577048486243,0.2185330075142592,1.0,0.5984360692104631,1,0.35950607054334044,2,2
WNT7B_FZD3_LRP6,0.1441448740771232,0.2201193561487211,0.2940047690707917,0.7355744305252508,0.4157649801589016,0.5545805041780787,0.0,1.0,0.8495559124617973,1,0.3632090786672153,3,3
FGF9_FGFR1,0.318176401883498,0.2581354674566719,0.3144323464179487,0.5723978175649705,0.2381188781860055,0.4096996108600527,0.0,1.0,0.4270073277790161,1,0.3705180888825945,4,4
LAMA5_ITGA9_ITGB1,0.0,0.4040803982555392,0.5051878562916408,0.7393789901480877,0.3224890076970552,0.686828448032717,0.3373503901369771,1.0,0.6032132081169649,1,0.3783936520551338,5,5
SEMA6A_PLXNA4,0.0,0.248926735116985,0.1551833640534253,0.6470247125263536,0.3343053060171604,0.5484032504796386,0.1846314578070233,1.0,0.4416662926321779,1,0.38919862878722733,6,6
WNT10B_FZD3_LRP6,0.1030196519684185,0.2977203390790081,0.3682262794812413,0.5983983562277114,0.0,0.5627092036733892,0.1763812555446423,1.0,0.550884104091873,1,0.3929774632560063,7,7
SEMA4A_PLXNB3,0.3092505235338139,0.2106281309339479,0.145865329054331,0.5417374441108149,0.321725419060185,0.4765364684653838,0.0,1.0,0.7236116057396099,1,0.39305744438361284,8,8
ADM_CALCR,0.0,0.2932486308229576,0.183473600574879,0.6545984956790422,0.4496804299851858,0.4045920141037701,0.1167392351489716,1.0,0.4659738110614123,1,0.39596583820753184,9,9
LAMC1_ITGA9_ITGB1,0.0,0.3344369188341592,0.3913627964177536,0.8001400975101087,0.3824808684506888,0.7890419660750179,0.2738754907400284,1.0,0.5214751323042539,1,0.40940485929948706,10,10
FGF8_FGFR1,0.4405849242209151,0.4385205193746281,0.3440356718458349,0.6856442323183629,0.2600753937325425,0.5740714309262884,0.0,1.0,0.8525016236849147,1,0.41097573425697703,11,11
FGF8_FGFR3,0.2324361972919576,0.2964601127572891,0.1450685570629657,0.4791566269744114,0.2184877448717745,0.4472702437960018,0.0,1.0,0.7441639168534071,1,0.41719889005982236,12,12
NRXN1_NLGN3,0.1507034507288283,0.4177484169316884,0.3718002545554423,0.8121788128916482,0.2208388182723719,0.3227107134930406,0.0,1.0,0.8454869010253393,1,0.4244411975200435,13,13
NPY_GPR83,0.0,0.2390428483958694,0.3737164691627564,0.3663962260720543,0.3105588359216005,0.4815978157446809,0.0602098297541818,1.0,0.6543561624577842,1,0.42841821712554823,14,14
JAG2_NOTCH3,0.0,0.2374163037549985,0.187620361871373,0.6181114201767456,0.2777656717485089,0.6652465025257506,0.0459252290917487,1.0,0.8431790742605964,1,0.44081740282907955,15,15
WNT10B_FZD3_LRP5,0.2018892748659164,0.3403112114848658,0.6261522736243263,0.6841605297000005,0.0434427826004507,0.4769098665435842,0.0,1.0,0.5869476334003829,1,0.44177856939523885,16,16
RELN_ITGA3_ITGB1,0.176508241447431,0.267329427897104,0.0873483006333977,0.5211198025829018,0.288629901420287,0.3641106973876936,0.0,1.0,0.5023977719337772,1,0.44813122567047553,17,17
SEMA5B_PLXNA3,0.3507700575392582,0.3548613018283766,0.0794110080346529,0.7720476085392708,0.5236786453526909,0.5942095505991185,0.0,1.0,0.6699552443486603,1,0.44884759763553084,18,18
NRG3_ERBB2_ERBB4,0.1560995406069378,0.2446532295806431,0.0858536590436826,0.4895163264856488,0.2108822307206365,0.4350840295353904,0.0,1.0,0.5394636989987659,1,0.4524849384405244,19,19
WNT10B_FZD10_LRP5,0.3326849122587931,0.3061686306431085,0.5276718562851734,0.5392455714664082,0.0,0.4138240415400731,0.2127868978970148,1.0,0.5635328574221855,1,0.4565056412214386,20,20
WNT10B_FZD10_LRP6,0.333677294209292,0.3061686306431085,0.5276863160156703,0.5392455714664082,0.0,0.4138240415400731,0.2128421443177542,1.0,0.5635328574221855,1,0.4567836530735056,21,21
WNT10B_FZD2_LRP6,0.0,0.2222001651853078,0.3025844794439576,0.581098784947873,0.0131554107444226,0.4993297424112228,0.1144966109448652,1.0,0.5036042671069215,1,0.45744726035535216,22,22
NRXN1_NLGN2,0.1581835261831062,0.4315923051118047,0.327111271836207,0.7464325190479155,0.0945837230095815,0.2306668621930339,0.0,1.0,0.6384828045419072,1,0.45965389512921856,23,23
SEMA3F_NRP2_PLXNA4,0.0,0.4525509437035359,0.2855826930300341,0.7242535872787073,0.4007644082136841,0.7171746313075623,0.0268228957097635,1.0,0.3400313932686709,1,0.4673624973689888,24,24
WNT8B_FZD3_LRP5,0.0,0.2271780511473886,0.3078370274673074,0.6607231100786767,0.4912451570152504,0.7005168405124524,0.413625853663238,1.0,0.7670906594550324,1,0.4679913401159736,25,25
LAMA4_DAG1,0.2006766073567767,0.2012235863771745,0.0,0.4433090250939602,0.2907047793641152,0.7210216982907589,0.2705879207664261,1.0,0.2365704828559041,2,0.19993899437365217,1,26
LAMA1_ITGA7_ITGB1,0.0,0.116791191054899,0.1446682995266701,0.3390853124825642,0.2879034964920415,0.6606969372097918,0.4961381772995859,1.0,0.1832559027276552,2,0.22148544916456725,2,27
LAMA2_DAG1,0.0,0.1586277665029406,0.1684162444137106,0.3528393368591112,0.365245394641201,0.7063268018456782,0.4723322136059262,1.0,0.2479901808476953,2,0.2351184994244007,3,28
EFNB3_EPHB1,0.0,0.1421182335180968,0.0229619048581952,0.3242403089803422,0.2244051430853743,0.6607279943454275,0.2380123057384366,1.0,0.1469416399113881,2,0.2386714833900936,4,29
FN1_ITGA3_ITGB1,0.0444487443674373,0.0534718703874056,0.0,0.3190242816211552,0.2648677624725987,0.7420571052068571,0.2101426935422677,1.0,0.1697277704437,2,0.2577384663142011,5,30
EFNA5_EPHA5,0.1112226844687092,0.0602658480862793,0.0,0.2579852350996784,0.1450695346344129,0.638960031068876,0.3509047045380004,1.0,0.3868924058817682,2,0.2628780644628983,6,31
COL4A1_ITGA3_ITGB1,0.1298733784761452,0.1371206175298593,0.0,0.2137672410701102,0.1397339048760147,0.6332440142319588,0.2710941271533965,1.0,0.3381065284066397,2,0.2668868683564777,7,32
COL4A1_SDC4,0.2901486492746776,0.1178127454408193,0.0,0.2533386618444433,0.2695302654535671,0.8234619002912438,0.3200957545935168,1.0,0.2286923217560697,2,0.2689517557588172,8,33
PDGFA_PDGFRB,0.1522382269088888,0.0934783322313948,0.0,0.14526740869424,0.2354639991469979,0.700130428709706,0.240523148749465,1.0,0.2148142434862758,2,0.2764381128708,9,34
NMU_NMUR1,0.1048902572229769,0.1333721142424994,0.0,0.2778027877350063,0.2762443795752486,0.84345139489993,0.24170109163398,1.0,0.1437699315486524,2,0.2767170529041001,10,35
VIP_VIPR1,0.0,0.2191830183529213,0.0903175285896603,0.3261293229044511,0.163522154385938,0.6941276280374555,0.2144760362303544,1.0,0.2775612095900616,2,0.27692138069138966,11,36
COL6A1_ITGA9_ITGB1,0.0,0.1041536285957469,0.1385970733631876,0.2345183983766264,0.2251623254598016,0.8037895762806683,0.3013037877309656,1.0,0.209991231172806,2,0.27798945214524035,12,37
LAMA4_ITGA7_ITGB1,0.0836192727495198,0.2185789929868281,0.0,0.3978132258150904,0.305372143584028,0.8524585851720308,0.4035664986049695,1.0,0.084168707112603,2,0.28523022325030106,13,38
EFNA5_EPHA8,0.0,0.1769796518147829,0.1593128375351937,0.4525191247360091,0.1833533404380949,0.5461044956750327,0.2477683484316928,1.0,0.2899405348260441,2,0.29741397622813465,14,39
EFNA5_EPHA4,0.0954010883411516,0.0722731108824612,0.0,0.2272555706079064,0.1464860688268472,0.5026561507781186,0.2614769024451696,1.0,0.2897518551082911,2,0.2996492248224044,15,40
WNT10B_FZD4_LRP5,0.1505435524900465,0.0702493518829545,0.0,0.2078404499243824,0.1654779851294931,0.4821615439396131,0.3044774037063955,1.0,0.3158514528190332,2,0.3011582848175665,16,41
WNT10B_FZD4_LRP6,0.1505435524900465,0.0702493518829545,0.0,0.2078404499243824,0.1654779851294931,0.4821615439396131,0.3044774037063955,1.0,0.3158514528190332,2,0.3011582848175665,17,42
COL6A6_ITGA3_ITGB1,0.0532672019786749,0.0446053966838965,0.0,0.1463737193819356,0.3737886889103515,0.5835942476818514,0.4939793801491223,1.0,0.2638196965679482,2,0.3092343446699029,18,43
EFNA5_EPHB2,0.0,0.065272299626592,0.0685401921577617,0.2007333419786593,0.1852464169150769,0.5004157816414315,0.4765061340521139,1.0,0.2653195529188463,2,0.3129424990414348,19,44
LAMC1_ITGA7_ITGB1,0.0,0.0934855540408068,0.0398655052972087,0.3252797758662917,0.4453373249840097,0.6332567521716538,0.5861431462078014,1.0,0.2396820036322457,2,0.3143059579847411,20,45
COL6A3_ITGA3_ITGB1,0.0,0.0556158827524846,0.03275502281862,0.1980661105410253,0.1570781321495572,0.7069218164212517,0.3362996231512792,1.0,0.0795342309062358,2,0.3154159140545545,21,46
COL4A2_SDC4,0.1985065964558212,0.0088574924429351,0.0,0.2084821368063904,0.0670255998379324,0.6410630978684574,0.3458643471359227,1.0,0.2783242265468362,2,0.3161242193941506,22,47
EFNA5_EPHA2,0.0660184456720861,0.0,0.0035148002892998,0.172550509044378,0.149232161067404,0.5540794752882193,0.4206943581757336,1.0,0.3124047293145154,2,0.3201402367464602,23,48
NFASC_CNTN1_CNTNAP1,0.14331443591219,0.2224009852847533,0.0,0.2476250829522928,0.1663515945984648,0.412359065531388,0.4426883786137252,1.0,0.2176346135011069,2,0.3206285162018142,24,49
CSPG4_ITGA3_ITGB1,0.0,0.0268156572608899,0.0557006004496344,0.1636698928764696,0.2258596840423538,0.5443443472946272,0.2571151097617913,1.0,0.2534295771084902,2,0.322199199393587,25,50
