source,target,count,start_time,end_time
VLMC,VLMC,1161,0.0,0.5
MSN,MSN,725,0.0,0.5
obNBL,obNBL,718,0.0,0.5
scgnIN,scgnIN,602,0.0,0.5
dpEX,dpEX,534,0.0,0.5
CMPN,CMPN,506,0.0,0.5
nptxEX,nptxEX,384,0.0,0.5
wntEGC,wntEGC,341,0.0,0.5
tlNBL,tlNBL,319,0.0,0.5
mpEX,mpEX,316,0.0,0.5
sstIN,sstIN,260,0.0,0.5
sfrpEGC,sfrpEGC,249,0.0,0.5
reaEGC,reaEGC,209,0.0,0.5
mpIN,mpIN,120,0.0,0.5
MCG,MCG,78,0.0,0.5
dpEX,mpEX,75,0.0,0.5
CMPN,sstIN,62,0.0,0.5
scgnIN,MSN,61,0.0,0.5
CMPN,cckIN,58,0.0,0.5
ribEGC,ribEGC,57,0.0,0.5
WSN,WSN,54,0.0,0.5
VLMC,obNBL,45,0.0,0.5
MSN,scgnIN,38,0.0,0.5
reaEGC,wntEGC,37,0.0,0.5
tlNBL,ribEGC,36,0.0,0.5
MSN,tlNBL,36,0.0,0.5
scgnIN,obNBL,26,0.0,0.5
sfrpEGC,wntEGC,19,0.0,0.5
dpEX,wntEGC,19,0.0,0.5
wntEGC,ribEGC,19,0.0,0.5
VLMC,mpEX,18,0.0,0.5
dpEX,mpIN,18,0.0,0.5
scgnIN,cckIN,17,0.0,0.5
obNBL,WSN,15,0.0,0.5
CMPN,mpEX,15,0.0,0.5
mpIN,mpEX,14,0.0,0.5
sstIN,mpIN,14,0.0,0.5
sfrpEGC,ribEGC,14,0.0,0.5
VLMC,cckIN,13,0.0,0.5
CMPN,ribEGC,12,0.0,0.5
VLMC,nptxEX,12,0.0,0.5
tlNBL,MSN,12,0.0,0.5
VLMC,MSN,10,0.0,0.5
scgnIN,CMPN,9,0.0,0.5
nptxEX,mpEX,9,0.0,0.5
VLMC,CMPN,9,0.0,0.5
VLMC,MCG,9,0.0,0.5
VLMC,mpIN,9,0.0,0.5
tlNBL,wntEGC,9,0.0,0.5
VLMC,sstIN,8,0.0,0.5
tlNBL,sfrpEGC,8,0.0,0.5
Oligo,ribEGC,8,0.0,0.5
MSN,cckIN,8,0.0,0.5
MCG,dpEX,7,0.0,0.5
VLMC,scgnIN,7,0.0,0.5
CMPN,mpIN,6,0.0,0.5
Oligo,wntEGC,6,0.0,0.5
Oligo,tlNBL,6,0.0,0.5
MCG,mpEX,6,0.0,0.5
reaEGC,ribEGC,6,0.0,0.5
mpEX,dpEX,6,0.0,0.5
CMPN,obNBL,6,0.0,0.5
CMPN,nptxEX,6,0.0,0.5
Oligo,Oligo,6,0.0,0.5
sstIN,dpEX,6,0.0,0.5
obNBL,cckIN,6,0.0,0.5
Oligo,MSN,5,0.0,0.5
obNBL,scgnIN,5,0.0,0.5
reaEGC,mpEX,5,0.0,0.5
sstIN,mpEX,5,0.0,0.5
obNBL,nptxEX,4,0.0,0.5
obNBL,MSN,4,0.0,0.5
scgnIN,sstIN,4,0.0,0.5
MCG,nptxEX,4,0.0,0.5
MSN,obNBL,4,0.0,0.5
CMPN,dpEX,4,0.0,0.5
VLMC,dpEX,4,0.0,0.5
scgnIN,MCG,4,0.0,0.5
Oligo,mpEX,4,0.0,0.5
Oligo,scgnIN,4,0.0,0.5
tlNBL,cckIN,4,0.0,0.5
WSN,nptxEX,4,0.0,0.5
dpEX,sstIN,4,0.0,0.5
sstIN,CMPN,4,0.0,0.5
Oligo,cckIN,4,0.0,0.5
sstIN,nptxEX,3,0.0,0.5
MSN,MCG,3,0.0,0.5
CMPN,VLMC,3,0.0,0.5
Oligo,VLMC,3,0.0,0.5
mpIN,sstIN,3,0.0,0.5
Oligo,dpEX,3,0.0,0.5
nptxEX,CMPN,3,0.0,0.5
dpEX,nptxEX,2,0.0,0.5
Oligo,reaEGC,2,0.0,0.5
wntEGC,sfrpEGC,2,0.0,0.5
MCG,mpIN,2,0.0,0.5
CMPN,MSN,2,0.0,0.5
reaEGC,dpEX,2,0.0,0.5
MCG,reaEGC,2,0.0,0.5
nptxEX,cckIN,2,0.0,0.5
Oligo,CMPN,2,0.0,0.5
obNBL,mpEX,2,0.0,0.5
sstIN,npyIN,1,0.0,0.5
scgnIN,VLMC,1,0.0,0.5
sfrpEGC,reaEGC,1,0.0,0.5
tlNBL,CMPN,1,0.0,0.5
sstIN,VLMC,1,0.0,0.5
CMPN,npyIN,1,0.0,0.5
reaEGC,sfrpEGC,1,0.0,0.5
WSN,MCG,1,0.0,0.5
CMPN,wntEGC,1,0.0,0.5
MCG,VLMC,1,0.0,0.5
MCG,obNBL,1,0.0,0.5
Oligo,MCG,1,0.0,0.5
Oligo,mpIN,1,0.0,0.5
Oligo,nptxEX,1,0.0,0.5
Oligo,obNBL,1,0.0,0.5
VLMC,WSN,1,0.0,0.5
VLMC,reaEGC,1,0.0,0.5
VLMC,ribEGC,1,0.0,0.5
VLMC,wntEGC,1,0.0,0.5
WSN,VLMC,1,0.0,0.5
reaEGC,MCG,1,0.0,0.5
cckIN,cckIN,1,0.0,0.5
dpEX,CMPN,1,0.0,0.5
