dataset,k,n_heldout,balanced_accuracy,macro_f1,accuracy
admouse,1,17210,0.9544823781950508,0.9539653282236455,0.9606042998256829
admouse,5,17210,0.4617693299521817,0.4627422397302437,0.6280069726902964
admouse,10,17210,0.4292418564533862,0.4205475717644012,0.6044741429401511
admouse,20,17210,0.4143751677432664,0.3964179089225249,0.5965717606042998
admouse,50,17210,0.3995075151986321,0.377926830225173,0.5857640906449738
arista,1,4620,0.6877649953746441,0.6951374265476736,0.7729437229437229
arista,5,4620,0.6140056679115337,0.6277460685505715,0.7155844155844155
arista,10,4620,0.6054732207227296,0.6181797871923869,0.7086580086580087
arista,20,4620,0.59955971500016,0.6124933926095251,0.7028138528138528
arista,50,4620,0.55756665832776,0.5543565854077288,0.6746753246753247
chicken_heart,1,355,0.7065001148660296,0.6992131774799918,0.7887323943661971
chicken_heart,5,355,0.408969667277795,0.4357632417072148,0.6338028169014085
chicken_heart,10,355,0.3465771733968439,0.3585660240066046,0.5971830985915493
chicken_heart,20,355,0.3035478869781344,0.3320229821922262,0.5802816901408451
chicken_heart,50,355,0.2237139436757054,0.2351824838930026,0.5211267605633803
mosta,1,34461,0.8503028001437202,0.8629012925541731,0.8962305214590407
mosta,5,34461,0.8199419109884509,0.8370868022543653,0.8684019616377935
mosta,10,34461,0.8283152334255616,0.8376236859609804,0.8650648559240881
mosta,20,34461,0.8217702892624422,0.8324719207327151,0.8627433910797714
mosta,50,34461,0.8026992423383117,0.8151597669496203,0.8479440526972519
zebrafish,1,1200,0.6165500219948369,0.6042272118046927,0.7716666666666666
zebrafish,5,1200,0.5790662623990375,0.5695771906080281,0.7633333333333333
zebrafish,10,1200,0.5540419445126628,0.5424837550729482,0.7725
zebrafish,20,1200,0.5372193476097264,0.5249826672073432,0.7591666666666667
zebrafish,50,1200,0.5205605536489515,0.5000428072077898,0.7416666666666667
