dataset,time,requested_k,composition_tv
zebrafish,0.0,1,0.0
zebrafish,0.0,5,0.06216696269982237
zebrafish,0.0,10,0.1296625222024867
zebrafish,0.0,20,0.1598579040852576
zebrafish,0.0,50,0.25399644760213147
zebrafish,0.5,1,0.0
zebrafish,0.5,5,0.09366391184573003
zebrafish,0.5,10,0.15151515151515155
zebrafish,0.5,20,0.22727272727272727
zebrafish,0.5,50,0.27823691460055094
zebrafish,1.0,1,0.0
zebrafish,1.0,5,0.020916334661354577
zebrafish,1.0,10,0.03386454183266932
zebrafish,1.0,20,0.029880478087649417
zebrafish,1.0,50,0.03187250996015937
zebrafish,1.5,1,0.0
zebrafish,1.5,5,0.03650137741046834
zebrafish,1.5,10,0.06680440771349865
zebrafish,1.5,20,0.09986225895316808
zebrafish,1.5,50,0.10399449035812677
zebrafish,2.0,1,0.0
zebrafish,2.0,5,0.04491017964071858
zebrafish,2.0,10,0.05289421157684632
zebrafish,2.0,20,0.06636726546906188
zebrafish,2.0,50,0.08882235528942116
zebrafish,2.5,1,0.0
zebrafish,2.5,5,0.04693715194908512
zebrafish,2.5,10,0.09466984884645979
zebrafish,2.5,20,0.12569610182975338
zebrafish,2.5,50,0.14996022275258553
zebrafish,3.0,1,0.0
zebrafish,3.0,5,0.03352522858110397
zebrafish,3.0,10,0.051134439552996944
zebrafish,3.0,20,0.07111412123264474
zebrafish,3.0,50,0.12123264476803246
zebrafish,3.5,1,0.0
zebrafish,3.5,5,0.04262829215313606
zebrafish,3.5,10,0.0627206081998371
zebrafish,3.5,20,0.10806407819712194
zebrafish,3.5,50,0.1840890578332881
zebrafish,4.0,1,0.0
zebrafish,4.0,5,0.03545558520777738
zebrafish,4.0,10,0.045177277926038914
zebrafish,4.0,20,0.04651162790697677
zebrafish,4.0,50,0.08940144872283647
