time_from,time_to,k,particle_count,transition_fraction
0.0,1.0,1,563,0.9449378330373002
0.0,1.0,5,563,0.9431616341030196
0.0,1.0,10,563,0.9413854351687388
0.0,1.0,20,563,0.9431616341030196
0.0,1.0,50,563,0.9378330373001776
1.0,2.0,1,563,0.7744227353463587
1.0,2.0,5,563,0.8152753108348135
1.0,2.0,10,563,0.8134991119005328
1.0,2.0,20,563,0.822380106571936
1.0,2.0,50,563,0.8152753108348135
2.0,3.0,1,563,0.955595026642984
2.0,3.0,5,563,0.9840142095914742
2.0,3.0,10,563,0.9840142095914742
2.0,3.0,20,563,0.9857904085257548
2.0,3.0,50,563,1.0
3.0,4.0,1,563,0.8241563055062167
3.0,4.0,5,563,0.7904085257548845
3.0,4.0,10,563,0.7619893428063943
3.0,4.0,20,563,0.7548845470692718
3.0,4.0,50,563,0.7779751332149201
