dataset,target,space,metric,full,no_lr_prior,no_lr_prior_minus_full,no_lr_prior_relative_to_full
zebrafish,1,joint,sliced_w2,0.027366957538699999,0.048532131681700001,0.021165174143000003,0.7733842577520732
zebrafish,1,spatial,sliced_w2,0.016099946413399999,0.019289666304399999,0.0031897198910000001,0.19811990730262266
zebrafish,1,state,sliced_w2,0.0276212463554,0.053158301010700001,0.025537054655300002,0.92454389373734636
zebrafish,2,joint,sliced_w2,0.038902445778300002,0.058765393061099999,0.019862947282799998,0.51058350922192297
zebrafish,2,spatial,sliced_w2,0.019252592668400001,0.026926861546800001,0.0076742688784,0.39860963198977684
zebrafish,2,state,sliced_w2,0.040223166680700001,0.065648347382300007,0.025425180701600006,0.63210290983378969
zebrafish,3,joint,sliced_w2,0.031300706046100003,0.0290449784323,-0.0022557276138000029,-0.072066349253519846
zebrafish,3,spatial,sliced_w2,0.022749225629199999,0.032286798705200001,0.009537573076000002,0.4192482518507335
zebrafish,3,state,sliced_w2,0.033134295133900003,0.029684040032100002,-0.0034502551018000018,-0.10412942505211206
zebrafish,4,joint,sliced_w2,0.27801561419800003,0.029879029776800001,-0.24813658442120001,-0.89252751194211544
zebrafish,4,spatial,sliced_w2,0.059886756781900002,0.0443570892015,-0.015529667580400003,-0.25931722495771625
zebrafish,4,state,sliced_w2,0.29388539380899997,0.027874061843600001,-0.26601133196539994,-0.90515329298156355
mosta,1,joint,sliced_w2,0.0253426814191,0.032138010151999997,0.0067953287328999974,0.26813771678392984
mosta,1,spatial,sliced_w2,0.031204278588400001,0.039980867859100003,0.0087765892707000019,0.2812623674614495
mosta,1,state,sliced_w2,0.023732945817000001,0.030897814577900001,0.0071648687609000006,0.30189546700805164
mosta,2,joint,sliced_w2,0.040170696147899997,0.034750284798300002,-0.0054204113495999948,-0.13493446390979105
mosta,2,spatial,sliced_w2,0.063703873456200003,0.057292181970899997,-0.0064116914853000057,-0.10064837720909395
mosta,2,state,sliced_w2,0.038479892220300002,0.032315600198999997,-0.0061642920213000052,-0.1601951477932686
mosta,3,joint,sliced_w2,0.0216722324758,0.039439015997199997,0.017766783521399997,0.81979480153874462
mosta,3,spatial,sliced_w2,0.054530143517299998,0.047871806220999999,-0.0066583372962999987,-0.1221037918997518
mosta,3,state,sliced_w2,0.017762423331100001,0.0390508534097,0.021288430078599999,1.1985093295984202
arista,1,joint,sliced_w2,0.017276991816598159,0.045097142700654423,0.027820150884056264,1.6102427540267281
arista,1,spatial,sliced_w2,0.024309229620457139,0.024754138128875038,0.00044490850841789886,0.018302040639062107
arista,1,state,sliced_w2,0.017553879740561721,0.057032050630888023,0.039478170890326306,2.2489712515862896
arista,2,joint,sliced_w2,0.024835822983314441,0.0586469410115108,0.033811118028196363,1.3613850465479576
arista,2,spatial,sliced_w2,0.033073263078540124,0.041225113321007964,0.0081518502424678396,0.24647855952735545
arista,2,state,sliced_w2,0.024696010948546378,0.072870492859564234,0.048174481911017857,1.950698921027707
arista,3,joint,sliced_w2,0.018668835650011279,0.056994753609820183,0.0383259179598089,2.0529356344612602
arista,3,spatial,sliced_w2,0.034269314224145142,0.039459846382123458,0.0051905321579783156,0.15146297133431461
arista,3,state,sliced_w2,0.017549633380482502,0.075269825301729473,0.057720191921246972,3.2889685311283716
arista,4,joint,sliced_w2,0.01349435447016048,0.05139649893909224,0.03790214446893176,2.8087408369732128
arista,4,spatial,sliced_w2,0.038098950665592157,0.044084661585342563,0.005985710919750406,0.15710960053175974
arista,4,state,sliced_w2,0.011091885555222839,0.070728941251692254,0.059637055696469418,5.3766382099379042
admouse,1,joint,sliced_w2,0.0141768296462,0.0162564011435,0.0020795714973000003,0.14668805009287919
admouse,1,spatial,sliced_w2,0.038802887416900002,0.046438487368399999,0.0076355999514999967,0.19677916927837769
admouse,1,state,sliced_w2,0.011121728980799999,0.013085495868200001,0.0019637668874000012,0.17657028783835235
admouse,2,joint,sliced_w2,0.0122864154668,0.016353610802700001,0.0040671953359000014,0.331031890211613
admouse,2,spatial,sliced_w2,0.037322297824100001,0.048990191826999999,0.011667894002899998,0.312625285235405
admouse,2,state,sliced_w2,0.0097933657008799999,0.0133553417438,0.0035619760429200006,0.36371316580161334
chicken_heart,1,joint,sliced_w2,0.057310744464776499,0.056129827489001541,-0.001180916975774958,-0.020605507515275012
chicken_heart,1,spatial,sliced_w2,0.020031601225260601,0.01946093096363578,-0.00057067026162482132,-0.028488499506728632
chicken_heart,1,state,sliced_w2,0.062937131928602022,0.062183103809624482,-0.00075402811897753996,-0.011980655868350254
chicken_heart,2,joint,sliced_w2,0.047613403684186116,0.047110989568347819,-0.00050241411583829693,-0.010551947077145509
chicken_heart,2,spatial,sliced_w2,0.030381206376139121,0.029628444166106521,-0.00075276221003259952,-0.024777232369015013
chicken_heart,2,state,sliced_w2,0.054288693498358645,0.053518061262607795,-0.00077063223575084966,-0.014195077945173775
chicken_heart,3,joint,sliced_w2,0.036585974825364534,0.03976377454842886,0.0031777997230643257,0.086858413319117103
chicken_heart,3,spatial,sliced_w2,0.045992533693346299,0.052700853287117724,0.0067083195937714252,0.14585670879753929
chicken_heart,3,state,sliced_w2,0.037539485067097297,0.039096838953183818,0.001557353886086521,0.041485755153618624
