dataset,target,space,CytoBridge-0.015,stVCR,stvcr_minus_cytobridge,stvcr_relative_to_cytobridge
zebrafish,1,joint,0.058313157630625202,0.1104480398524635,0.052134882221838298,0.89405006245893692
zebrafish,1,spatial,0.049453693154834499,0.18977452600008571,0.14032083284525121,2.8374186818752021
zebrafish,1,state,0.056533943220234598,0.10645096309188649,0.049917019871651896,0.88295662797116947
zebrafish,2,joint,0.056431085188384598,0.1247710431416585,0.068339957953273911,1.2110339137575288
zebrafish,2,spatial,0.044071200325993799,0.2998430164368569,0.25577181611086308,5.8036044904364754
zebrafish,2,state,0.056856193207265301,0.1163835244289582,0.059527331221692903,1.0469805990121455
zebrafish,3,joint,0.061056142794240001,0.070882667228181997,0.0098265244339419966,0.1609424373081921
zebrafish,3,spatial,0.058732560879005601,0.1341144847910313,0.075381923912025695,1.2834775597018371
zebrafish,3,state,0.062311069141354002,0.0712636424668186,0.0089525733254645981,0.14367548894331267
mosta,1,joint,0.0514374029147412,0.047728942072083398,-0.0037084608426578014,-0.072096580163751062
mosta,1,spatial,0.049736988480777303,0.082949906724097994,0.033212918243320691,0.66777099413964425
mosta,1,state,0.051448065749521599,0.0470402262098625,-0.0044078395396590989,-0.085675515210211495
mosta,2,joint,0.0539554031592821,0.0566998686337086,0.0027444654744264996,0.050865442823669484
mosta,2,spatial,0.069758398551399897,0.045176175454463403,-0.024582223096936494,-0.35239087489692927
mosta,2,state,0.052111676890146098,0.055500893100647201,0.0033892162105011031,0.065037558043770732
arista,1,joint,0.048648540781914537,0.049924519789562763,0.0012759790076482258,0.026228515534891042
arista,1,spatial,0.033813503861111358,0.062538196905355198,0.02872469304424384,0.84950359365980643
arista,1,state,0.048585505960221022,0.053209223310118701,0.0046237173498976797,0.095166598731796878
arista,2,joint,0.062979819578004206,0.055235067056493038,-0.0077447525215111682,-0.12297197059954795
arista,2,spatial,0.045866898332342643,0.0505698836099059,0.0047029852775632569,0.10253549833447072
arista,2,state,0.063496013952317465,0.055263685391309547,-0.0082323285610079178,-0.12965110797647883
arista,3,joint,0.063715886178739661,0.064152469846168889,0.00043658366742922727,0.0068520379078538807
arista,3,spatial,0.056006121877221503,0.068659983199854197,0.012653861322632694,0.22593711006044861
arista,3,state,0.064312220664739364,0.06513013317955002,0.00081791251481065641,0.012717839725585708
admouse,1,joint,0.024466819958241199,0.0290967559606287,0.0046299360023875011,0.18923325590696521
admouse,1,spatial,0.036530583268671799,0.083049885931775994,0.046519302663104195,1.2734344349491569
admouse,1,state,0.023373560646812199,0.0250151172803794,0.0016415566335672011,0.070231346364897321
chicken_heart,1,joint,0.079322003712863701,0.13988799141343453,0.060565987700570825,0.76354586200082086
chicken_heart,1,spatial,0.060678575963213674,0.22810493271138754,0.16742635674817385,2.7592334541548227
chicken_heart,1,state,0.08076860350696094,0.13358660337399242,0.052817999867031479,0.65394221979434652
chicken_heart,2,joint,0.072243037591571982,0.27897060061536594,0.20672756302379397,2.8615569045218443
chicken_heart,2,spatial,0.063713912957899993,0.1942842091890406,0.13057029623114061,2.0493215715289228
chicken_heart,2,state,0.073438638963391464,0.28908558454782485,0.21564694558443337,2.9364235044161364
