time,pair,score_min,score_geometric_mean,ligand,receptor,ligand_n_subunits,receptor_n_subunits,is_multisubunit,score_difference,absolute_difference,symmetric_relative_difference
0.0,adcyap1a_adcyap1r1a,0.0,0.0,adcyap1a,adcyap1r1a,1,1,False,0.0,0.0,0.0
0.0,adipoqb_adipor1a,0.0,0.0,adipoqb,adipor1a,1,1,False,0.0,0.0,0.0
0.0,adipoqb_adipor1b,0.0,0.0,adipoqb,adipor1b,1,1,False,0.0,0.0,0.0
0.0,adipoqb_adipor2,0.0,0.0,adipoqb,adipor2,1,1,False,0.0,0.0,0.0
0.0,adma_calcr,0.0,0.0,adma,calcr,1,1,False,0.0,0.0,0.0
0.0,adma_calcrlb,0.0,0.0,adma,calcrlb,1,1,False,0.0,0.0,0.0
0.0,admb_calcr,0.0,0.0,admb,calcr,1,1,False,0.0,0.0,0.0
0.0,admb_calcrlb,0.0,0.0,admb,calcrlb,1,1,False,0.0,0.0,0.0
0.0,agrn_dag1,0.0,0.0,agrn,dag1,1,1,False,0.0,0.0,0.0
0.0,agt_agtr1b,0.0,0.0,agt,agtr1b,1,1,False,0.0,0.0,0.0
0.0,angpt1_tek,0.0,0.0,angpt1,tek,1,1,False,0.0,0.0,0.0
0.0,angptl3_itgav_itgb3a,0.0,0.0,angptl3,itgav_itgb3a,1,2,True,0.0,0.0,0.0
0.0,angptl3_itgav_itgb3b,0.0,0.0,angptl3,itgav_itgb3b,1,2,True,0.0,0.0,0.0
0.0,angptl4_cdh11,0.0,0.0,angptl4,cdh11,1,1,False,0.0,0.0,0.0
0.0,angptl4_itgav_itgb3a,0.0,0.0,angptl4,itgav_itgb3a,1,2,True,0.0,0.0,0.0
0.0,angptl4_itgav_itgb3b,0.0,0.0,angptl4,itgav_itgb3b,1,2,True,0.0,0.0,0.0
0.0,angptl4_sdc2,0.0,0.0,angptl4,sdc2,1,1,False,0.0,0.0,0.0
0.0,angptl4_sdc4,0.0,0.0,angptl4,sdc4,1,1,False,0.0,0.0,0.0
0.0,apln_aplnr2,0.0,0.0,apln,aplnr2,1,1,False,0.0,0.0,0.0
0.0,appa_cd74a,0.0,0.0,appa,cd74a,1,1,False,0.0,0.0,0.0
0.0,appa_cd74b,0.0,0.0,appa,cd74b,1,1,False,0.0,0.0,0.0
0.0,appb_cd74a,0.0,0.0,appb,cd74a,1,1,False,0.0,0.0,0.0
0.0,appb_cd74b,0.0,0.0,appb,cd74b,1,1,False,0.0,0.0,0.0
0.0,asgrl2_csmd2,0.0,0.0,asgrl2,csmd2,1,1,False,0.0,0.0,0.0
0.0,asgrl2_itgam_itgb2,0.0,0.0,asgrl2,itgam_itgb2,1,2,True,0.0,0.0,0.0
0.0,avp_avpr1ab,0.0,0.0,avp,avpr1ab,1,1,False,0.0,0.0,0.0
0.0,avp_avpr2aa,0.0,0.0,avp,avpr2aa,1,1,False,0.0,0.0,0.0
0.0,avp_avpr2ab,0.0,0.0,avp,avpr2ab,1,1,False,0.0,0.0,0.0
0.0,avp_oxtr,0.0,0.0,avp,oxtr,1,1,False,0.0,0.0,0.0
0.0,avp_oxtrl,0.0,0.0,avp,oxtrl,1,1,False,0.0,0.0,0.0
0.0,bdnf_ntrk2a,0.0,0.0,bdnf,ntrk2a,1,1,False,0.0,0.0,0.0
0.0,bmp15_bmpr1aa_bmpr2b,0.0,0.0,bmp15,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp15_bmpr1ab_bmpr2b,0.0,0.0,bmp15,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1aa_acvr2aa,0.0,0.0,bmp2a,bmpr1aa_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1aa_acvr2ab,0.0,0.0,bmp2a,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1aa_acvr2ba,0.0,0.0,bmp2a,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1aa_acvr2bb,0.0,0.0,bmp2a,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1aa_bmpr2b,0.0,0.0,bmp2a,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ab_acvr2aa,0.0,0.0,bmp2a,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ab_acvr2ab,0.0,0.0,bmp2a,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ab_acvr2ba,0.0,0.0,bmp2a,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ab_acvr2bb,0.0,0.0,bmp2a,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ab_bmpr2b,0.0,0.0,bmp2a,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ba_acvr2aa,0.0,0.0,bmp2a,bmpr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ba_acvr2ab,0.0,0.0,bmp2a,bmpr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ba_acvr2ba,0.0,0.0,bmp2a,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ba_acvr2bb,0.0,0.0,bmp2a,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1ba_bmpr2b,0.0,0.0,bmp2a,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1bb_acvr2aa,0.0,0.0,bmp2a,bmpr1bb_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1bb_acvr2ab,0.0,0.0,bmp2a,bmpr1bb_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1bb_acvr2ba,0.0,0.0,bmp2a,bmpr1bb_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1bb_acvr2bb,0.0,0.0,bmp2a,bmpr1bb_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2a_bmpr1bb_bmpr2b,0.0,0.0,bmp2a,bmpr1bb_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1aa_acvr2aa,3.5224212737114818e-06,4.627614008135949e-06,bmp2b,bmpr1aa_acvr2aa,1,2,True,1.1051927344244674e-06,1.1051927344244674e-06,0.23882560915439238
0.0,bmp2b_bmpr1aa_acvr2ab,0.0,0.0,bmp2b,bmpr1aa_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1aa_acvr2ba,0.0,0.0,bmp2b,bmpr1aa_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1aa_acvr2bb,0.0,0.0,bmp2b,bmpr1aa_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1aa_bmpr2b,0.0,0.0,bmp2b,bmpr1aa_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ab_acvr2aa,0.0,0.0,bmp2b,bmpr1ab_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ab_acvr2ab,0.0,0.0,bmp2b,bmpr1ab_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ab_acvr2ba,0.0,0.0,bmp2b,bmpr1ab_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ab_acvr2bb,0.0,0.0,bmp2b,bmpr1ab_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ab_bmpr2b,0.0,0.0,bmp2b,bmpr1ab_bmpr2b,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ba_acvr2aa,0.0,0.0,bmp2b,bmpr1ba_acvr2aa,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ba_acvr2ab,0.0,0.0,bmp2b,bmpr1ba_acvr2ab,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ba_acvr2ba,0.0,0.0,bmp2b,bmpr1ba_acvr2ba,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ba_acvr2bb,0.0,0.0,bmp2b,bmpr1ba_acvr2bb,1,2,True,0.0,0.0,0.0
0.0,bmp2b_bmpr1ba_bmpr2b,0.0,0.0,bmp2b,bmpr1ba_bmpr2b,1,2,True,0.0,0.0,0.0
