method,seed,time,space,w2,n_predicted,n_truth
CytoBridge,1,1.0,gene,0.999313415057832,7309,7325
CytoBridge,4,1.0,gene,0.9956480745747637,7282,7325
CytoBridge,8,1.0,gene,0.9974358204189793,7328,7325
CytoBridge,32,1.0,gene,1.0031605234223886,7286,7325
CytoBridge,256,1.0,gene,0.9977820309950621,7342,7325
CytoBridge,512,1.0,gene,0.9980458816749115,7319,7325
CytoBridge,1024,1.0,gene,1.0110584556732354,7281,7325
CytoBridge,2048,1.0,gene,0.9966693025531677,7382,7325
CytoBridge,4096,1.0,gene,1.0022354974136247,7323,7325
CytoBridge,8192,1.0,gene,1.0045032971691723,7273,7325
CytoBridge,1,2.0,gene,1.1790610924508007,9491,9432
CytoBridge,4,2.0,gene,1.1765855011871098,9413,9432
CytoBridge,8,2.0,gene,1.1753488744239216,9436,9432
CytoBridge,32,2.0,gene,1.1744060434904504,9355,9432
CytoBridge,256,2.0,gene,1.1813817503818267,9466,9432
CytoBridge,512,2.0,gene,1.185134954532898,9394,9432
CytoBridge,1024,2.0,gene,1.1810326986374882,9337,9432
CytoBridge,2048,2.0,gene,1.1824312271673096,9470,9432
CytoBridge,4096,2.0,gene,1.1788461099311875,9485,9432
CytoBridge,8192,2.0,gene,1.1765866656863986,9444,9432
CytoBridge,1,3.0,gene,1.2806166573385722,10124,10036
CytoBridge,4,3.0,gene,1.2783632689082685,10067,10036
CytoBridge,8,3.0,gene,1.2801853079582761,10048,10036
CytoBridge,32,3.0,gene,1.2771288012419235,10007,10036
CytoBridge,256,3.0,gene,1.2884422541845852,10108,10036
CytoBridge,512,3.0,gene,1.2864069425011369,10052,10036
CytoBridge,1024,3.0,gene,1.2798237248678794,9973,10036
CytoBridge,2048,3.0,gene,1.2824148865106817,10180,10036
CytoBridge,4096,3.0,gene,1.2824521087686018,10160,10036
CytoBridge,8192,3.0,gene,1.283761437294979,10111,10036
CytoBridge,1,1.0,physical,0.022511765953570507,7309,7325
CytoBridge,4,1.0,physical,0.022379425038815407,7282,7325
CytoBridge,8,1.0,physical,0.02196585668989816,7328,7325
CytoBridge,32,1.0,physical,0.022503609052645736,7286,7325
CytoBridge,256,1.0,physical,0.021981515205989545,7342,7325
CytoBridge,512,1.0,physical,0.022646135804528268,7319,7325
CytoBridge,1024,1.0,physical,0.022877775940464955,7281,7325
CytoBridge,2048,1.0,physical,0.022460328237599494,7382,7325
CytoBridge,4096,1.0,physical,0.022418434304659084,7323,7325
CytoBridge,8192,1.0,physical,0.02306728686559036,7273,7325
CytoBridge,1,2.0,physical,0.025917832444719034,9491,9432
CytoBridge,4,2.0,physical,0.025755692325963586,9413,9432
CytoBridge,8,2.0,physical,0.025098925119087186,9436,9432
CytoBridge,32,2.0,physical,0.025721832523832953,9355,9432
CytoBridge,256,2.0,physical,0.025375552150577147,9466,9432
CytoBridge,512,2.0,physical,0.026688360337469838,9394,9432
CytoBridge,1024,2.0,physical,0.028882487868599097,9337,9432
CytoBridge,2048,2.0,physical,0.025251590562967476,9470,9432
CytoBridge,4096,2.0,physical,0.025822119561825858,9485,9432
CytoBridge,8192,2.0,physical,0.026317503911983266,9444,9432
CytoBridge,1,3.0,physical,0.02781401432567332,10124,10036
CytoBridge,4,3.0,physical,0.02834521640665992,10067,10036
CytoBridge,8,3.0,physical,0.027311616663013908,10048,10036
CytoBridge,32,3.0,physical,0.02969082603431598,10007,10036
CytoBridge,256,3.0,physical,0.02726313905059114,10108,10036
CytoBridge,512,3.0,physical,0.02955595350216392,10052,10036
CytoBridge,1024,3.0,physical,0.03178539530973764,9973,10036
CytoBridge,2048,3.0,physical,0.0280847998757742,10180,10036
CytoBridge,4096,3.0,physical,0.02726345830595709,10160,10036
CytoBridge,8192,3.0,physical,0.02808715180630968,10111,10036
