method,sender_type,receiver_type,display_score,display_rank
CytoBridge D,Ex,EX-NP2,2.742855199219768,1
CytoBridge D,Ex,RG,1.7427617953028762,2
CytoBridge D,Ex,EX-NP1,1.2667536113214732,3
CytoBridge D,RG,Ex,0.6805603827643796,4
CytoBridge D,RG,EX-NP2,0.5703852916681009,5
CytoBridge D,RG,EX-NP1,0.4694463743213851,6
CytoBridge D,Ex,Inh2,0.4563905391673312,7
CytoBridge D,RG,Inh4,0.423059689492177,8
CytoBridge D,RG,Inh2,0.4135770859249833,9
CytoBridge D,RG,Inh1,0.3893297342251987,10
CytoBridge D,Ex,Inh1,0.3771242781657723,11
CytoBridge D,Ex,Inh3,0.3575832855829374,12
CytoBridge D,EX-NP1,EX-NP2,0.3097380051920916,13
CytoBridge D,Ex,Inh4,0.2993427795439308,14
CytoBridge D,RG,Inh3,0.2347610178947027,15
CytoBridge D,EX-NP1,RG,0.1873238782025958,16
CytoBridge D,EX-NP2,RG,0.1842800460607249,17
CytoBridge D,EX-NP1,Ex,0.1727817560712064,18
CytoBridge D,RG,Inh-NP,0.1714166952753603,19
CytoBridge D,EX-NP2,EX-NP1,0.1381004819129165,20
CytoBridge D,EX-NP1,Inh2,0.1218911139548314,21
CytoBridge D,EX-NP1,Inh4,0.1188124825885908,22
CytoBridge D,EX-NP1,Inh1,0.1181955769575002,23
CytoBridge D,EX-NP2,Ex,0.1122812483626482,24
CellChat,RG,EX-NP1,0.989892589188991,1
CellChat,RG,EX-NP2,0.979775260605135,2
CellChat,EX-NP1,EX-NP2,0.689040069720415,3
CellChat,RG,Ex,0.661822021603826,4
CellChat,RG,Inh1,0.608363615598172,5
CellChat,EX-NP2,EX-NP1,0.596525876666161,6
CellChat,Ex,EX-NP1,0.539080745125144,7
CellChat,Ex,EX-NP2,0.533545034766432,8
CellChat,EX-NP1,RG,0.520192541874999,9
CellChat,EX-NP1,Ex,0.486293252589337,10
CellChat,RG,Inh2,0.474284599977527,11
CellChat,EX-NP2,Ex,0.462031333281864,12
CellChat,RG,Inh4,0.447545618702382,13
CellChat,EX-NP2,RG,0.386244580901567,14
CellChat,Ex,RG,0.353158422235583,15
CellChat,EX-NP2,Inh1,0.349220399904507,16
CellChat,Ex,Inh1,0.312168682905531,17
CellChat,EX-NP2,Inh2,0.28632870708454,18
CellChat,Inh3,RG,0.278642872786348,19
CellChat,Ex,Inh2,0.2582008097508,20
CellChat,Inh3,EX-NP2,0.206912359112945,21
CellChat,Inh3,EX-NP1,0.181948455907948,22
CellChat,EX-NP1,Inh1,0.169126157550175,23
CellChat,Inh3,Ex,0.128949792596992,24
