sender_type,receiver_type,D_AB_mean,cellchat_native_significant
EX-NP1,EX-NP1,0.1928143498965696,0.697135873004753
EX-NP1,EX-NP2,0.3097380051920916,0.689040069720415
EX-NP1,Ex,0.1727817560712064,0.486293252589337
EX-NP1,Inh-NP,0.0407065618406008,0.023734883445395
EX-NP1,Inh1,0.1181955769575002,0.169126157550175
EX-NP1,Inh2,0.1218911139548314,0.0696876915171914
EX-NP1,Inh3,0.1035373046476951,0.0266618323349857
EX-NP1,Inh4,0.1188124825885908,0.0647857934663004
EX-NP1,RG,0.1873238782025958,0.520192541874999
EX-NP2,EX-NP1,0.1381004819129165,0.596525876666161
EX-NP2,EX-NP2,0.2387301735383785,0.590922366348116
EX-NP2,Ex,0.1122812483626482,0.462031333281864
EX-NP2,Inh-NP,0.0077680494215997,0.0
EX-NP2,Inh1,0.0852693029612748,0.349220399904507
EX-NP2,Inh2,0.0340249487471859,0.28632870708454
EX-NP2,Inh3,0.0201982991469308,0.0
EX-NP2,Inh4,0.0339583246175759,0.0
EX-NP2,RG,0.1842800460607249,0.386244580901567
Ex,EX-NP1,1.2667536113214732,0.539080745125144
Ex,EX-NP2,2.742855199219768,0.533545034766432
Ex,Ex,0.5954709132115605,0.413834489357462
Ex,Inh-NP,0.0574266775934064,0.0
Ex,Inh1,0.3771242781657723,0.312168682905531
Ex,Inh2,0.4563905391673312,0.2582008097508
Ex,Inh3,0.3575832855829374,0.0
Ex,Inh4,0.2993427795439308,0.0
Ex,RG,1.7427617953028762,0.353158422235583
Inh-NP,EX-NP1,0.009079542187635,0.0634357408563352
Inh-NP,EX-NP2,0.0071878197355128,0.0
Inh-NP,Ex,2.9065149165907613e-05,0.0
Inh-NP,Inh-NP,0.0,0.0
Inh-NP,Inh1,0.0,0.0
Inh-NP,Inh2,0.0,0.0
Inh-NP,Inh3,0.0,0.0
Inh-NP,Inh4,0.0,0.0
Inh-NP,RG,0.0058490519529814,0.105251289074973
Inh1,EX-NP1,0.0044603373063484,0.0
Inh1,EX-NP2,0.0020573505426067,0.0
Inh1,Ex,0.0092611697856741,0.0
Inh1,Inh-NP,0.0,0.0
Inh1,Inh1,0.0129873451632915,0.0
Inh1,Inh2,0.0043169696650187,0.0
Inh1,Inh3,0.0,0.0
Inh1,Inh4,0.000828282392774,0.0
Inh1,RG,0.0012591867421993,0.0
Inh2,EX-NP1,0.0017552226515061,0.0
Inh2,EX-NP2,0.0025167977631891,0.0
Inh2,Ex,0.0001151627975935,0.0
Inh2,Inh-NP,0.0,0.0
Inh2,Inh1,0.0002068088096353,0.0
Inh2,Inh2,0.0,0.0
Inh2,Inh3,0.0,0.0
Inh2,Inh4,0.0,0.0
Inh2,RG,0.0008366952681191,0.0
Inh3,EX-NP1,0.0016757698621785,0.181948455907948
Inh3,EX-NP2,0.0,0.206912359112945
Inh3,Ex,0.0004115271568479,0.128949792596992
Inh3,Inh-NP,0.0,0.0
Inh3,Inh1,0.0002473737255627,0.0
Inh3,Inh2,0.0,0.0
Inh3,Inh3,0.0,0.0
Inh3,Inh4,0.0,0.0
Inh3,RG,0.0028793391241043,0.278642872786348
Inh4,EX-NP1,0.0019252638958837,0.0631933969593845
Inh4,EX-NP2,0.0012404112436294,0.0934923592689576
Inh4,Ex,0.0006896166557975,0.0
Inh4,Inh-NP,0.0,0.0
Inh4,Inh1,0.000454119117364,0.0
Inh4,Inh2,0.0,0.0
Inh4,Inh3,0.0,0.0
Inh4,Inh4,0.0,0.0
Inh4,RG,0.0021757270174236,0.104867084016357
RG,EX-NP1,0.4694463743213851,0.989892589188991
RG,EX-NP2,0.5703852916681009,0.979775260605135
RG,Ex,0.6805603827643796,0.661822021603826
RG,Inh-NP,0.1714166952753603,0.0565664167457981
RG,Inh1,0.3893297342251987,0.608363615598172
RG,Inh2,0.4135770859249833,0.474284599977527
RG,Inh3,0.2347610178947027,0.0632796679351337
RG,Inh4,0.423059689492177,0.447545618702382
RG,RG,0.3124853905998804,1.04460337210315
