dataset,stage,first_checkpoint_metric,selected_checkpoint_metric,selected_epoch,configured_epochs,percent_reduction
Zebrafish,Pretrain,5.394518852233887,1.2887444496154785,74,100,76.11011316
Zebrafish,Refine,1.5127754211425781,0.8190207481384277,83,100,45.85972665
Zebrafish,Init_interaction,0.9213142395019531,0.7636479139328003,42,50,17.11319752
Zebrafish,Train_Score,1.0318400859832764,0.9986276030540466,2001,2001,3.21876261
Zebrafish,Finetune,0.9554309844970703,0.500437319278717,818,1000,47.62182435
Zebrafish,Score_Refine,1.004909873008728,0.9849752187728882,2001,2001,1.98372558
MOSTA,Pretrain,3.90301775932312,1.5955381393432617,94,100,59.12039766
MOSTA,Refine,1.8160291910171509,1.384384274482727,27,100,23.76861114
MOSTA,Init_interaction,1.5141923427581787,1.4193371534347534,12,50,6.26440820
MOSTA,Train_Score,1.0210291147232056,1.0008478164672852,2001,2001,1.97656443
MOSTA,Finetune,1.511959195137024,1.3988531827926636,38,1000,7.48075826
MOSTA,Score_Refine,1.007444977760315,0.995658278465271,2001,2001,1.16995961
ARISTA,Pretrain,1.1339032649993896,0.7441114187240601,98,100,34.37611111
ARISTA,Refine,0.7985975742340088,0.731810450553894,97,100,8.36305116
ARISTA,Init_interaction,0.8031164407730103,0.73847895860672,16,50,8.04833258
ARISTA,Train_Score,1.0204412937164307,0.9928316473960876,2001,2001,2.70565749
ARISTA,Finetune,0.86252760887146,0.6999656558036804,816,1000,18.84715937
ARISTA,Score_Refine,1.0053218603134155,1.0000368356704712,2001,2001,0.52570474
AD mouse,Pretrain,5.971985459327698,5.499776005744934,42,100,7.90707641
AD mouse,Refine,5.559666037559509,5.393184423446655,67,100,2.99445350
AD mouse,Init_interaction,54.77417850494385,54.391427993774414,28,50,0.69877910
AD mouse,Train_Score,0.9991861581802368,0.965660810470581,985,3001,3.35526543
AD mouse,Finetune,55.42269515991211,53.64569091796875,1000,1000,3.20627540
AD mouse,Score_Refine,1.0191926956176758,0.9718899130821228,2604,3001,4.64120109
Chicken heart,Pretrain,6.232633113861084,1.47597336769104,25,100,76.31862263
Chicken heart,Refine,1.6235469579696655,1.0004603862762451,63,100,38.37810595
Chicken heart,Init_interaction,1.0906956195831299,1.0906956195831299,1,50,0.00000000
Chicken heart,Train_Score,1.0172983407974243,1.0027741193771362,2001,2001,1.42772487
Chicken heart,Finetune,1.460391879081726,0.8990512490272522,556,1000,38.43767129
Chicken heart,Score_Refine,1.0076864957809448,0.9914179444313049,2001,2001,1.61444570
