stage_label,cell_type,gene,n_cells,n_detected,detected_fraction
18hpf,Somite,jam2a,375,70,0.18666666666666668
18hpf,Somite,jam3b,375,66,0.17599999999999999
18hpf,Somite,myog,375,154,0.41066666666666668
18hpf,Somite,mymk,375,44,0.11733333333333333
24hpf,Fast Muscle Cell,jam2a,482,12,0.024896265560165973
24hpf,Fast Muscle Cell,jam3b,482,43,0.089211618257261413
24hpf,Fast Muscle Cell,myog,482,61,0.12655601659751037
24hpf,Fast Muscle Cell,mymk,482,30,0.062240663900414939
24hpf,Fast Muscle Cell,mylpfa,482,482,1
24hpf,Fast Muscle Cell,acta1a,482,465,0.96473029045643155
24hpf,Fast Muscle Cell,tnnt3a,482,457,0.94813278008298751
