condition,sender_type,receiver_type,raw_attention_mean,n_directed_edges,zero_completed_no_edge,rank_from_top,n_complete_directed_type_pairs
trained,Angioblastic Mesenchymal Cell,Angioblastic Mesenchymal Cell,0.3751247211486331,389,False,49,196
trained,Angioblastic Mesenchymal Cell,Erythroid Lineage Cell,0,0,True,119,196
trained,Angioblastic Mesenchymal Cell,Forebrain,0.3834138141025471,79,False,45,196
trained,Angioblastic Mesenchymal Cell,Hatching Gland,0.23014322736046527,11,False,112,196
trained,Angioblastic Mesenchymal Cell,"Immature Eye, Midbrain",0.23811466060578818,8,False,111,196
trained,Angioblastic Mesenchymal Cell,Nervous System,0.40557631079492895,87,False,31,196
trained,Angioblastic Mesenchymal Cell,Neural Crest,0.36814590426515942,242,False,53,196
trained,Angioblastic Mesenchymal Cell,"Neural Crest, Otic Vesicle",0.38127241532007849,9,False,46,196
trained,Angioblastic Mesenchymal Cell,Notochord,0.39018502086400986,6,False,39,196
trained,Angioblastic Mesenchymal Cell,Pronephros,0,0,True,119,196
trained,Angioblastic Mesenchymal Cell,"Segmental Plate, Tail Bud",0,0,True,119,196
trained,Angioblastic Mesenchymal Cell,Somite,0.47081353408949717,7,False,15,196
trained,Angioblastic Mesenchymal Cell,Yolk Syncytial Layer,0,0,True,119,196
trained,Angioblastic Mesenchymal Cell,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Erythroid Lineage Cell,Angioblastic Mesenchymal Cell,0,0,True,119,196
trained,Erythroid Lineage Cell,Erythroid Lineage Cell,0.35705959025238243,728,False,55,196
trained,Erythroid Lineage Cell,Forebrain,0,0,True,119,196
trained,Erythroid Lineage Cell,Hatching Gland,0,0,True,119,196
trained,Erythroid Lineage Cell,"Immature Eye, Midbrain",0,0,True,119,196
trained,Erythroid Lineage Cell,Nervous System,0.25809708663395464,7,False,107,196
trained,Erythroid Lineage Cell,Neural Crest,0,0,True,119,196
trained,Erythroid Lineage Cell,"Neural Crest, Otic Vesicle",0,0,True,119,196
trained,Erythroid Lineage Cell,Notochord,0.34706305309397273,61,False,63,196
trained,Erythroid Lineage Cell,Pronephros,0.3552895170085284,49,False,58,196
trained,Erythroid Lineage Cell,"Segmental Plate, Tail Bud",0.33311784693173002,7,False,71,196
trained,Erythroid Lineage Cell,Somite,0.40067633208054215,67,False,35,196
trained,Erythroid Lineage Cell,Yolk Syncytial Layer,0,0,True,119,196
trained,Erythroid Lineage Cell,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Forebrain,Angioblastic Mesenchymal Cell,0.38804532511112017,78,False,40,196
trained,Forebrain,Erythroid Lineage Cell,0.53767645359039307,1,False,8,196
trained,Forebrain,Forebrain,0.47956779901809743,1167,False,11,196
trained,Forebrain,Hatching Gland,0.25684784166514874,16,False,108,196
trained,Forebrain,"Immature Eye, Midbrain",0.4405746375736983,23,False,18,196
trained,Forebrain,Nervous System,0.63052325521196639,175,False,4,196
trained,Forebrain,Neural Crest,0.33967318366735411,234,False,67,196
trained,Forebrain,"Neural Crest, Otic Vesicle",0.3136161852341432,13,False,81,196
trained,Forebrain,Notochord,0.37827583402395248,16,False,47,196
trained,Forebrain,Pronephros,0,0,True,119,196
trained,Forebrain,"Segmental Plate, Tail Bud",0,0,True,119,196
trained,Forebrain,Somite,0.43474715948104858,1,False,20,196
trained,Forebrain,Yolk Syncytial Layer,0,0,True,119,196
trained,Forebrain,"Yolk Syncytial Layer, Periderm",0,0,True,119,196
trained,Hatching Gland,Angioblastic Mesenchymal Cell,0.21778155456889756,11,False,114,196
trained,Hatching Gland,Erythroid Lineage Cell,0,0,True,119,196
trained,Hatching Gland,Forebrain,0.34330541239334988,13,False,66,196
trained,Hatching Gland,Hatching Gland,0.47410792812253488,66,False,13,196
trained,Hatching Gland,"Immature Eye, Midbrain",0.26963979005813599,1,False,102,196
trained,Hatching Gland,Nervous System,0.22398340702056879,2,False,113,196
trained,Hatching Gland,Neural Crest,0.3460797700099647,32,False,64,196
trained,Hatching Gland,"Neural Crest, Otic Vesicle",0.21253455430269241,2,False,115,196
trained,Hatching Gland,Notochord,0.26675823330879211,1,False,104,196
trained,Hatching Gland,Pronephros,0,0,True,119,196
trained,Hatching Gland,"Segmental Plate, Tail Bud",0,0,True,119,196
trained,Hatching Gland,Somite,0,0,True,119,196
trained,Hatching Gland,Yolk Syncytial Layer,1.1387276649475098,2,False,1,196
trained,Hatching Gland,"Yolk Syncytial Layer, Periderm",0.49743098020553589,3,False,10,196
trained,"Immature Eye, Midbrain",Angioblastic Mesenchymal Cell,0.2763074576854706,5,False,99,196
trained,"Immature Eye, Midbrain",Erythroid Lineage Cell,0,0,True,119,196
trained,"Immature Eye, Midbrain",Forebrain,0.50825871420758106,28,False,9,196
trained,"Immature Eye, Midbrain",Hatching Gland,0.17655466496944419,1,False,116,196
trained,"Immature Eye, Midbrain","Immature Eye, Midbrain",0.25833045887319661,19,False,106,196
trained,"Immature Eye, Midbrain",Nervous System,0.33026010751724239,25,False,73,196
trained,"Immature Eye, Midbrain",Neural Crest,0.29710773247129774,68,False,87,196
trained,"Immature Eye, Midbrain","Neural Crest, Otic Vesicle",0.32685571536421776,8,False,77,196
trained,"Immature Eye, Midbrain",Notochord,0,0,True,119,196
trained,"Immature Eye, Midbrain",Pronephros,0,0,True,119,196
trained,"Immature Eye, Midbrain","Segmental Plate, Tail Bud",0,0,True,119,196
trained,"Immature Eye, Midbrain",Somite,0,0,True,119,196
trained,"Immature Eye, Midbrain",Yolk Syncytial Layer,0,0,True,119,196
