dataset,target_time,space,method,sliced_w2_mean,sliced_w2_sd
admouse,1,joint,CytoBridge,0.0219664456193716,0.0005432288568368
admouse,1,spatial,CytoBridge,0.0277194701748942,0.0004106959783708
admouse,1,state,CytoBridge,0.0213635662112560,0.0005750867173069
arista,1,joint,Linear-centroid,0.0406352141618232,0.0009087087395944
arista,1,spatial,CytoBridge,0.0396010146308262,0.0002465579041024
arista,1,state,Linear-centroid,0.0400633578733190,0.0010196974037202
arista,2,joint,Linear-centroid,0.0517872703868603,0.0018287889282610
arista,2,spatial,CytoBridge,0.0350145343683941,0.0002521714532375
arista,2,state,Linear-centroid,0.0506626843946740,0.0018689493294184
arista,3,joint,Linear-centroid,0.0579330644444343,0.0023121207185496
arista,3,spatial,Linear-centroid,0.0677937479360451,0.0004178037009715
arista,3,state,Linear-centroid,0.0565570457337828,0.0025977004491904
mosta,1,joint,Linear-centroid,0.0423405965248875,0.0006465055751465
mosta,1,spatial,MOSCOT,0.0473213084322435,0.0002459635245453
mosta,1,state,Linear-centroid,0.0420122933922212,0.0006821535666366
mosta,2,joint,Linear-centroid,0.0499613701932658,0.0011837063777560
mosta,2,spatial,CytoBridge,0.0688621359150472,0.0011532834478172
mosta,2,state,Linear-centroid,0.0469183793002108,0.0012167558150539
zebrafish,1,joint,CytoBridge,0.0572133663230567,0.0017015653629168
zebrafish,1,spatial,CytoBridge,0.0533455096309766,0.0004166498384689
zebrafish,1,state,CytoBridge,0.0558271442058362,0.0018433415859611
zebrafish,2,joint,Linear-centroid,0.0398766429845370,0.0007341290464259
zebrafish,2,spatial,CytoBridge,0.0487893814991274,0.0005245114022405
zebrafish,2,state,Linear-centroid,0.0380424386371691,0.0007349520111505
zebrafish,3,joint,PASTE,0.0413325445669383,0.0016730693453434
zebrafish,3,spatial,CytoBridge,0.0660000920387275,0.0003503309143812
zebrafish,3,state,PASTE,0.0368350002334479,0.0018674002508253
