dataset,target,space,metric,full,no_lr_prior,no_interaction,no_lr_prior_minus_full,no_lr_prior_relative_to_full,no_interaction_minus_full,no_interaction_relative_to_full
admouse,1,joint,exact_w1,1.11527331425,1.10160651569,1.11752205061,-0.0136667985601,-0.0122542146265,0.00224873635654,0.00201630965953
admouse,1,joint,exact_w2,1.12589099984,1.11095417001,1.12813271281,-0.0149368298235,-0.0132666748608,0.00224171296956,0.00199105683399
admouse,1,joint,sliced_w2,0.0141768296462,0.0162564011435,0.0141873010414,0.00207957149728,0.146688050091,1.04713951034e-05,0.000738627419858
admouse,1,spatial,exact_w1,0.119413524973,0.115393795765,0.122318994561,-0.00401972920812,-0.0336622606947,0.00290546958826,0.02433116005
admouse,1,spatial,exact_w2,0.136644638239,0.133132435626,0.140613213671,-0.00351220261308,-0.0257031864429,0.00396857543221,0.029043038083
admouse,1,spatial,sliced_w2,0.0388028874169,0.0464384873684,0.0388230375474,0.00763559995157,0.19677916928,2.0150130543e-05,0.000519294616571
admouse,1,state,exact_w1,1.00674909085,0.99508584362,1.00954964244,-0.0116632472299,-0.0115850586168,0.00280055159366,0.0027817771271
admouse,1,state,exact_w2,1.01583753209,1.00427586369,1.01857505381,-0.0115616684043,-0.0113814148809,0.00273752171254,0.00269484206485
admouse,1,state,sliced_w2,0.0111217289808,0.0130854958682,0.0111384096185,0.00196376688732,0.176570287831,1.66806377178e-05,0.00149982415023
admouse,2,joint,exact_w1,1.1014463017,1.08630304294,1.1021051058,-0.0151432587562,-0.0137485220413,0.000658804102874,0.000598126392415
admouse,2,joint,exact_w2,1.11101236945,1.09554060682,1.11172794164,-0.0154717626204,-0.0139258239115,0.000715572195968,0.000644072213458
admouse,2,joint,sliced_w2,0.0122864154668,0.0163536108027,0.0122773744247,0.00406719533586,0.331031890208,-9.04104217028e-06,-0.000735856783835
admouse,2,spatial,exact_w1,0.103564486914,0.114119348864,0.10627091742,0.0105548619503,0.10191584263,0.00270643050623,0.02613280466
admouse,2,spatial,exact_w2,0.121184527016,0.132079456858,0.126207826501,0.0108949298423,0.0899036379522,0.00502329948494,0.0414516573083
admouse,2,spatial,sliced_w2,0.0373222978241,0.048990191827,0.037080993342,0.0116678940029,0.312625285235,-0.000241304482117,-0.0064654240544
admouse,2,state,exact_w1,0.99679483254,0.983977326402,0.995688830462,-0.0128175061387,-0.0128587204912,-0.00110600207806,-0.00110955839854
admouse,2,state,exact_w2,1.00519781161,0.992331008511,1.00411880907,-0.0128668031032,-0.0128002697126,-0.00107900254871,-0.00107342309766
admouse,2,state,sliced_w2,0.00979336570088,0.0133553417438,0.00981348142562,0.00356197604292,0.363713165802,2.01157247446e-05,0.00205401547936
arista,1,joint,exact_w1,1.0924378767,1.08817220302,1.09160769678,-0.00426567367857,-0.00390472883589,-0.000830179921546,-0.000759933300787
arista,1,joint,exact_w2,1.10436090462,1.1005275245,1.1037409536,-0.00383338012128,-0.00347112986819,-0.00061995101829,-0.000561366321189
arista,1,joint,sliced_w2,0.0189694406242,0.0274070575089,0.0196032919174,0.00843761688469,0.444800511087,0.000633851293138,0.0334143376019
arista,1,spatial,exact_w1,0.105250316993,0.0958194058091,0.102756117093,-0.00943091118405,-0.0896045869835,-0.00249419989997,-0.0236977899091
arista,1,spatial,exact_w2,0.125016243121,0.112897920007,0.126169235755,-0.0121183231138,-0.0969339888265,0.00115299263376,0.00922274262103
arista,1,spatial,sliced_w2,0.0274253915751,0.0297992667423,0.0231946405116,0.00237387516713,0.0865575669403,-0.00423075106354,-0.154264016685
arista,1,state,exact_w1,0.986383563524,0.989019337205,0.987873302687,0.00263577368153,0.00267215896432,0.00148973916376,0.00151030412393
arista,1,state,exact_w2,0.995724070812,0.999373753054,0.997664964627,0.00364968224218,0.00366535504078,0.00194089381502,0.0019492285784
arista,1,state,sliced_w2,0.0170239193837,0.0266349056306,0.0178126349206,0.00961098624694,0.564557786626,0.000788715536975,0.04632984445
arista,2,joint,exact_w1,1.15080207168,1.15569932283,1.15080214526,0.00489725115429,0.00425551124283,7.35856542367e-08,6.39429281957e-08
arista,2,joint,exact_w2,1.16301121924,1.16700261852,1.16289916808,0.0039913992739,0.00343195251074,-0.000112051165166,-9.63457302152e-05
arista,2,joint,sliced_w2,0.0297541430904,0.0417884613376,0.0298914146066,0.0120343182472,0.404458572733,0.00013727151619,0.00461352611545
arista,2,spatial,exact_w1,0.0896192196618,0.122294800502,0.08594691536,0.0326755808399,0.364604612305,-0.00367230430188,-0.0409767493595
arista,2,spatial,exact_w2,0.114741822848,0.157657747578,0.108188512161,0.0429159247295,0.374021639749,-0.00655331068767,-0.0571135312738
arista,2,spatial,sliced_w2,0.0417347651401,0.0474507216262,0.039991271126,0.00571595648607,0.136959114706,-0.00174349401416,-0.0417755798626
arista,2,state,exact_w1,1.05353855122,1.05878651022,1.049805689,0.00524795900528,0.00498126907575,-0.00373286221613,-0.00354316622949
arista,2,state,exact_w2,1.06541461037,1.07039889435,1.06117267839,0.00498428397373,0.0046782575771,-0.00424193198453,-0.0039814847133
arista,2,state,sliced_w2,0.0295246054942,0.0424133218126,0.0298392361539,0.0128887163184,0.436541525369,0.000314630659723,0.0106565576223
arista,3,joint,exact_w1,1.1215022569,1.132867171,1.12359564577,0.0113649141069,0.0101336524621,0.00209338887039,0.00186659354229
arista,3,joint,exact_w2,1.1333670308,1.14477144118,1.13589214377,0.0114044103783,0.0100624158533,0.00252511297317,0.00222797461418
arista,3,joint,sliced_w2,0.0189836253842,0.0361163418695,0.0181207694948,0.0171327164853,0.902499714281,-0.000862855889389,-0.0454526399424
arista,3,spatial,exact_w1,0.150362424844,0.123438737437,0.142873295709,-0.0269236874074,-0.179058614113,-0.00748912913566,-0.0498071851622
arista,3,spatial,exact_w2,0.1862656732,0.147832900979,0.180996836766,-0.038432772221,-0.206333091657,-0.00526883643417,-0.0282866743166
arista,3,spatial,sliced_w2,0.0408561332563,0.060255328925,0.0339779193325,0.0193991956687,0.474817221372,-0.00687821392378,-0.168352053305
arista,3,state,exact_w1,1.02429816881,1.02458144225,1.01842818628,0.000283273442915,0.00027655369456,-0.00586998252854,-0.00573073613454
arista,3,state,exact_w2,1.03478686479,1.03569067625,1.0283576916,0.000903811460347,0.000873427650754,-0.0064291731931,-0.00621304097669
arista,3,state,sliced_w2,0.0169579965325,0.0355936621157,0.0159470679746,0.0186356655832,1.09893085232,-0.00101092855787,-0.0596136787702
arista,4,joint,exact_w1,1.07970511722,1.09088832138,1.07067673439,0.0111832041637,0.0103576467179,-0.00902838283181,-0.00836189686223
arista,4,joint,exact_w2,1.09250069005,1.10317541224,1.08222589056,0.0106747221863,0.00977090658477,-0.010274799491,-0.00940484485228
arista,4,joint,sliced_w2,0.0153968608752,0.0312612166733,0.0138141013871,0.0158643557981,1.03036300235,-0.0015827594881,-0.102797544313
arista,4,spatial,exact_w1,0.113299021269,0.137244119638,0.140154134448,0.0239450983692,0.211344264946,0.0268551131789,0.237028642243
arista,4,spatial,exact_w2,0.137905852649,0.162678336345,0.167840111228,0.0247724836953,0.179633302136,0.0299342585786,0.217063003517
arista,4,spatial,sliced_w2,0.048894454083,0.0559536148215,0.0429786289167,0.00705916073851,0.144375489427,-0.00591582516624,-0.120991741849
arista,4,state,exact_w1,0.974225982281,0.975467191971,0.960639596071,0.00124120968973,0.00127404699967,-0.0135863862096,-0.0139458261807
arista,4,state,exact_w2,0.98452342873,0.986665545327,0.969994877886,0.00214211659696,0.00217579037172,-0.0145285508447,-0.0147569376419
arista,4,state,sliced_w2,0.0123133178819,0.0296551030049,0.0107872162343,0.017341785123,1.40837630355,-0.00152610164762,-0.12393910904
mosta,1,joint,exact_w1,1.12069942579,1.10520497642,1.11917800163,-0.0154944493691,-0.0138256958221,-0.00152142416068,-0.00135756664603
mosta,1,joint,exact_w2,1.13435432162,1.12004900728,1.1338938126,-0.0143053143416,-0.012610975309,-0.000460509015557,-0.000405965761122
mosta,1,joint,sliced_w2,0.0253426814191,0.032138010152,0.0176076448809,0.00679532873296,0.268137716787,-0.0077350365382,-0.305217763278
mosta,1,spatial,exact_w1,0.103708882145,0.102215667197,0.111338129505,-0.00149321494716,-0.0143981394484,0.00762924736045,0.0735640689851
