dataset,target,space,CytoBridge-0.015,stVCR,stvcr_minus_cytobridge,stvcr_relative_to_cytobridge
admouse,1,joint,0.0244668199582412,0.0290967559606287,0.004629936002387501,0.18923325590696521
admouse,1,spatial,0.0365305832686718,0.083049885931776,0.046519302663104195,1.2734344349491569
admouse,1,state,0.0233735606468122,0.0250151172803794,0.001641556633567201,0.07023134636489732
arista,1,joint,0.0485735044475928,0.0424558437093115,-0.006117660738281301,-0.1259464559507293
arista,1,spatial,0.033126309184606,0.0608336660756449,0.027707356891038905,0.8364154526431422
arista,1,state,0.0475603889112687,0.0420094815220454,-0.0055509073892233,-0.11671282586816902
arista,2,joint,0.0697333792140505,0.0607851152773845,-0.008948263936666,-0.12832110013195838
arista,2,spatial,0.0522358226257412,0.0624374182965596,0.010201595670818395,0.19529884202093847
arista,2,state,0.0709851248691819,0.0622072660869082,-0.008777858782273704,-0.12365772122610717
arista,3,joint,0.0747402797288737,0.0764559310077261,0.001715651278852398,0.022954841553658338
arista,3,spatial,0.0884180135099619,0.0814923313019092,-0.0069256822080527025,-0.07832886007184948
arista,3,state,0.0738833609582968,0.0756239426319779,0.001740581673681102,0.02355850696428885
chicken_heart,1,joint,0.0806279626659498,0.1767011134147749,0.0960731507488251,1.19156118512961
chicken_heart,1,spatial,0.0631539421613447,0.3586062824621002,0.2954523403007555,4.6782881668089455
chicken_heart,1,state,0.0819815494423256,0.1645398951734165,0.0825583457310909,1.0070356841592887
chicken_heart,2,joint,0.0717899846123705,0.2528782192970383,0.18108823468466778,2.522472120065945
chicken_heart,2,spatial,0.0913674630823129,0.2486859157758834,0.15731845269357048,1.7218213944699587
chicken_heart,2,state,0.0698686919508146,0.2579605317681898,0.18809183981737518,2.6920761583712776
mosta,1,joint,0.0514374029147412,0.0477289420720834,-0.0037084608426578014,-0.07209658016375106
mosta,1,spatial,0.0497369884807773,0.082949906724098,0.03321291824332069,0.6677709941396442
mosta,1,state,0.0514480657495216,0.0470402262098625,-0.004407839539659099,-0.0856755152102115
mosta,2,joint,0.0539554031592821,0.0566998686337086,0.0027444654744264996,0.050865442823669484
mosta,2,spatial,0.0697583985513999,0.0451761754544634,-0.024582223096936494,-0.3523908748969293
mosta,2,state,0.0521116768901461,0.0555008931006472,0.003389216210501103,0.06503755804377073
zebrafish,1,joint,0.0583131576306252,0.1104480398524635,0.0521348822218383,0.8940500624589369
zebrafish,1,spatial,0.0494536931548345,0.1897745260000857,0.1403208328452512,2.837418681875202
zebrafish,1,state,0.0565339432202346,0.1064509630918865,0.049917019871651896,0.8829566279711695
zebrafish,2,joint,0.0564310851883846,0.1247710431416585,0.06833995795327391,1.2110339137575288
zebrafish,2,spatial,0.0440712003259938,0.2998430164368569,0.2557718161108631,5.803604490436475
zebrafish,2,state,0.0568561932072653,0.1163835244289582,0.0595273312216929,1.0469805990121455
zebrafish,3,joint,0.06105614279424,0.070882667228182,0.009826524433941997,0.1609424373081921
zebrafish,3,spatial,0.0587325608790056,0.1341144847910313,0.0753819239120257,1.283477559701837
zebrafish,3,state,0.062311069141354,0.0712636424668186,0.008952573325464598,0.14367548894331267
