dataset,target,method,space,sliced_w2
zebrafish,1,CytoBridge-0.015,joint,0.0583131576306252
zebrafish,2,CytoBridge-0.015,joint,0.0564310851883846
zebrafish,3,CytoBridge-0.015,joint,0.06105614279424
zebrafish,1,stVCR,joint,0.1104480398524635
zebrafish,2,stVCR,joint,0.1247710431416585
zebrafish,3,stVCR,joint,0.070882667228182
zebrafish,1,CytoBridge-0.015,spatial,0.0494536931548345
zebrafish,2,CytoBridge-0.015,spatial,0.0440712003259938
zebrafish,3,CytoBridge-0.015,spatial,0.0587325608790056
zebrafish,1,stVCR,spatial,0.1897745260000857
zebrafish,2,stVCR,spatial,0.2998430164368569
zebrafish,3,stVCR,spatial,0.1341144847910313
zebrafish,1,CytoBridge-0.015,state,0.0565339432202346
zebrafish,2,CytoBridge-0.015,state,0.0568561932072653
zebrafish,3,CytoBridge-0.015,state,0.062311069141354
zebrafish,1,stVCR,state,0.1064509630918865
zebrafish,2,stVCR,state,0.1163835244289582
zebrafish,3,stVCR,state,0.0712636424668186
mosta,1,CytoBridge-0.015,joint,0.0514374029147412
mosta,2,CytoBridge-0.015,joint,0.0539554031592821
mosta,1,stVCR,joint,0.0477289420720834
mosta,2,stVCR,joint,0.0566998686337086
mosta,1,CytoBridge-0.015,spatial,0.0497369884807773
mosta,2,CytoBridge-0.015,spatial,0.0697583985513999
mosta,1,stVCR,spatial,0.082949906724098
mosta,2,stVCR,spatial,0.0451761754544634
mosta,1,CytoBridge-0.015,state,0.0514480657495216
mosta,2,CytoBridge-0.015,state,0.0521116768901461
mosta,1,stVCR,state,0.0470402262098625
mosta,2,stVCR,state,0.0555008931006472
arista,1,CytoBridge-0.015,joint,0.0485735044475928
arista,2,CytoBridge-0.015,joint,0.0697333792140505
arista,3,CytoBridge-0.015,joint,0.0747402797288737
arista,1,stVCR,joint,0.0424558437093115
arista,2,stVCR,joint,0.0607851152773845
arista,3,stVCR,joint,0.0764559310077261
arista,1,CytoBridge-0.015,spatial,0.033126309184606
arista,2,CytoBridge-0.015,spatial,0.0522358226257412
arista,3,CytoBridge-0.015,spatial,0.0884180135099619
arista,1,stVCR,spatial,0.0608336660756449
arista,2,stVCR,spatial,0.0624374182965596
arista,3,stVCR,spatial,0.0814923313019092
arista,1,CytoBridge-0.015,state,0.0475603889112687
arista,2,CytoBridge-0.015,state,0.0709851248691819
arista,3,CytoBridge-0.015,state,0.0738833609582968
arista,1,stVCR,state,0.0420094815220454
arista,2,stVCR,state,0.0622072660869082
arista,3,stVCR,state,0.0756239426319779
admouse,1,CytoBridge-0.015,joint,0.0244668199582412
admouse,1,stVCR,joint,0.0290967559606287
admouse,1,CytoBridge-0.015,spatial,0.0365305832686718
admouse,1,stVCR,spatial,0.083049885931776
admouse,1,CytoBridge-0.015,state,0.0233735606468122
admouse,1,stVCR,state,0.0250151172803794
chicken_heart,1,CytoBridge-0.015,joint,0.0806279626659498
chicken_heart,2,CytoBridge-0.015,joint,0.0717899846123705
chicken_heart,1,stVCR,joint,0.1767011134147749
chicken_heart,2,stVCR,joint,0.2528782192970383
chicken_heart,1,CytoBridge-0.015,spatial,0.0631539421613447
chicken_heart,2,CytoBridge-0.015,spatial,0.0913674630823129
chicken_heart,1,stVCR,spatial,0.3586062824621002
chicken_heart,2,stVCR,spatial,0.2486859157758834
chicken_heart,1,CytoBridge-0.015,state,0.0819815494423256
chicken_heart,2,CytoBridge-0.015,state,0.0698686919508146
chicken_heart,1,stVCR,state,0.1645398951734165
chicken_heart,2,stVCR,state,0.2579605317681898
