layout_index,time,source,n_compute,n_display,n_objective_display_hidden,input_path,coordinate_basis
0,0.0,Observed,7668,7668,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/main_run/downstream/slice_data/time_0.h5ad,accepted corrected H5AD obsm['spatial']
1,0.0,Generated,7668,7668,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_0.0__Generated.svg,corrected formal-v3 SVG PathCollection_1 geometry
2,0.5,Generated,7798,7798,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_0.5.svg,corrected formal-v3 SVG PathCollection_1 geometry
3,1.0,Observed,8106,8106,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/main_run/downstream/slice_data/time_1.h5ad,accepted corrected H5AD obsm['spatial']
4,1.0,Generated,8067,8067,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_1.0__Generated.svg,corrected formal-v3 SVG PathCollection_1 geometry
5,1.5,Generated,8573,8573,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_1.5.svg,corrected formal-v3 SVG PathCollection_1 geometry
6,2.0,Observed,9436,9436,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/main_run/downstream/slice_data/time_2.h5ad,accepted corrected H5AD obsm['spatial']
7,2.0,Generated,9252,9252,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_2.0__Generated.svg,corrected formal-v3 SVG PathCollection_1 geometry
8,2.5,Generated,9675,9675,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_2.5.svg,corrected formal-v3 SVG PathCollection_1 geometry
9,3.0,Observed,9673,9673,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/main_run/downstream/slice_data/time_3.h5ad,accepted corrected H5AD obsm['spatial']
10,3.0,Generated,9754,9754,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_3.0__Generated.svg,corrected formal-v3 SVG PathCollection_1 geometry
11,3.5,Generated,10084,10084,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_3.5.svg,corrected formal-v3 SVG PathCollection_1 geometry
12,4.0,Observed,11316,11316,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/main_run/downstream/slice_data/time_4.h5ad,accepted corrected H5AD obsm['spatial']
13,4.0,Generated,11115,11115,0,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/arista_package_native_spatialqc_z50_retrain_20260824_r1/paper_downstream_warpk1_legacy_palette_v2/snapshots/time_4.0__Generated.svg,corrected formal-v3 SVG PathCollection_1 geometry
