threshold,time,source,source_id,celltype,x,y,nearest_neighbor_distance,robust_nn_z
15.0,0.5,Generated,generated:0.5:5049,VLMC,21.40292,-150.883426,8.086366548927453,15.528584916063396
15.0,1.0,Generated,generated:1.0:5295,VLMC,43.510475,-45.478079,9.421848460348,18.32769436282103
15.0,1.0,Generated,generated:1.0:5315,VLMC,22.957014,-151.548675,8.791030529364916,17.00220426385645
15.0,2.0,Generated,generated:2.0:6339,VLMC,21.71512,-161.965749,11.748141864943412,20.93366958129553
15.0,3.0,Generated,generated:3.0:8635,VLMC,17.852727,-166.728568,16.699166676257498,35.57968940181228
15.0,3.0,Generated,generated:3.0:9289,VLMC,27.525475,-69.775476,9.471333647390162,19.539743563506256
15.0,3.0,Generated,generated:3.0:8092,VLMC,204.543515,-62.816238,7.906375077984163,16.066800761395232
15.0,3.5,Generated,generated:3.5:6657,MSN,59.322575,-36.66917,8.14281976745771,16.892054728975854
15.0,3.5,Generated,generated:3.5:9797,VLMC,29.764513,-65.318313,7.713465369356369,15.939607587931466
15.0,4.0,Generated,generated:4.0:7501,VLMC,17.852727,-155.506751,16.78301348126569,31.87081460301444
15.0,4.0,Generated,generated:4.0:8983,VLMC,130.630708,-40.382937,9.514666301919215,17.628836940482486
15.0,4.0,Generated,generated:4.0:10319,VLMC,26.975074,-62.28287,8.788457191529178,16.205865022204904
20.0,2.0,Generated,generated:2.0:6339,VLMC,21.71512,-161.965749,11.748141864943412,20.93366958129553
20.0,3.0,Generated,generated:3.0:8635,VLMC,17.852727,-166.728568,16.699166676257498,35.57968940181228
20.0,4.0,Generated,generated:4.0:7501,VLMC,17.852727,-155.506751,16.78301348126569,31.87081460301444
30.0,3.0,Generated,generated:3.0:8635,VLMC,17.852727,-166.728568,16.699166676257498,35.57968940181228
30.0,4.0,Generated,generated:4.0:7501,VLMC,17.852727,-155.506751,16.78301348126569,31.87081460301444
