s12_layout_index,time,source,row_index_within_panel,source_id,celltype,x,y,nearest_neighbor_distance,panel_nn_median,panel_nn_mad,robust_nn_z,finite_coordinates,source_id_matches_panel,canonical_palette_label,malformed_or_wrong_source,legacy_46189_roster_extra,objective_display_isolation_flag,computation_excluded,flag_z_gt_15,flag_z_gt_20,flag_z_gt_30,flag_z_gt_50,flag_z_gt_100
0,0.0,Observed,4548,Injury_2DPI_rep1_SS200000147BL_D5|CELL.5135,VLMC,-0.36689725518226624,-0.6023349761962891,0.05307299625744663,0.006643751136562626,0.0026948192270965883,11.620852519020422,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,379,Injury_2DPI_rep1_SS200000147BL_D5|CELL.494,VLMC,0.7721443176269531,0.06060433387756348,0.046770119236628285,0.006643751136562626,0.0026948192270965883,10.043295009443186,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,3985,Injury_2DPI_rep1_SS200000147BL_D5|CELL.4506,MSN,-0.13214999437332153,0.5129860639572144,0.041708441687186286,0.006643751136562626,0.0026948192270965883,8.776399367531397,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,3530,Injury_2DPI_rep1_SS200000147BL_D5|CELL.3868,sstIN,0.10191099345684052,0.026185430586338043,0.04109534290024972,0.006643751136562626,0.0026948192270965883,8.622945858562426,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,3803,Injury_2DPI_rep1_SS200000147BL_D5|CELL.4269,nptxEX,-0.17342571914196014,-0.5054993629455566,0.039180373905284366,0.006643751136562626,0.0026948192270965883,8.143645102949247,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,3693,Injury_2DPI_rep1_SS200000147BL_D5|CELL.4097,VLMC,-0.03620444983243942,-0.11403626203536987,0.03828247450987944,0.006643751136562626,0.0026948192270965883,7.918908378848927,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,4436,Injury_2DPI_rep1_SS200000147BL_D5|CELL.5012,VLMC,-0.22469983994960785,0.6268428564071655,0.035890179237465826,0.006643751136562626,0.0026948192270965883,7.320136840128311,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,68,Injury_2DPI_rep1_SS200000147BL_D5|CELL.88,VLMC,0.9096301794052124,0.1436278522014618,0.035112610166338,0.006643751136562626,0.0026948192270965883,7.125517791823695,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,3534,Injury_2DPI_rep1_SS200000147BL_D5|CELL.3876,Oligo,0.11901483684778214,0.24799884855747223,0.03458929504913079,0.006643751136562626,0.0026948192270965883,6.99453638598336,True,True,True,False,False,False,False,False,False,False,False,False
0,0.0,Observed,7613,Injury_2DPI_rep1_SS200000147BL_D5|CELL.8355,VLMC,-0.8431480526924133,0.1343322992324829,0.03395135011004438,0.006643751136562626,0.0026948192270965883,6.834864092516671,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,4548,generated:0.0:4548,VLMC,82.220971,-184.149363,6.0185393811763035,0.7534086961756187,0.3055957634280332,11.620848255986878,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,379,generated:0.0:379,obNBL,211.389602,-108.971279,5.303786160946151,0.7534086961756187,0.3055957634280332,10.043292216127348,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,3985,generated:0.0:3985,CMPN,108.841582,-57.670669,4.729784952095078,0.7534086961756187,0.3055957634280332,8.776394707616506,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,3530,generated:0.0:3530,sstIN,135.384368,-112.874423,4.660259081022222,0.7534086961756187,0.3055957634280332,8.622941802847274,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,3803,generated:0.0:3803,sstIN,104.160867,-173.168092,4.4430991811892895,0.7534086961756187,0.3055957634280332,8.143640833085403,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,3693,generated:0.0:3693,VLMC,119.721918,-128.775725,4.341276527924483,0.7534086961756187,0.3055957634280332,7.918904606502619,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,4436,generated:0.0:4436,VLMC,98.346323,-44.759177,4.069987765204825,0.7534086961756187,0.3055957634280332,7.320133990209897,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,68,generated:0.0:68,VLMC,226.980657,-99.556316,3.9818104818235827,0.7534086961756187,0.3055957634280332,7.125514921642858,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,3534,generated:0.0:3534,CMPN,137.323964,-87.720525,3.922466371226779,0.7534086961756187,0.3055957634280332,6.994534525259427,True,True,True,False,False,False,False,False,False,False,False,False
1,0.0,Generated,7613,generated:0.0:7613,VLMC,28.213581,-100.610443,3.850121828971648,0.7534086961756187,0.3055957634280332,6.8348604358601435,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,5049,generated:0.5:5049,VLMC,21.40292,-150.883426,8.086366548927453,0.657873065042144,0.32265980698149305,15.528584916063396,True,True,True,False,False,False,False,True,False,False,False,False
2,0.5,Generated,3009,generated:0.5:3009,VLMC,107.738737,-168.294444,5.6876691776784005,0.657873065042144,0.32265980698149305,10.514327866746177,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,3003,generated:0.5:3003,VLMC,113.523038,-163.35534,5.509684181927306,0.657873065042144,0.32265980698149305,10.142266542831482,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,2895,generated:0.5:2895,VLMC,135.956626,-47.267913,5.371007468294284,0.657873065042144,0.32265980698149305,9.852375580659608,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,5030,generated:0.5:5030,VLMC,41.121493,-52.074768,5.212691331516283,0.657873065042144,0.32265980698149305,9.521430204066984,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,5114,generated:0.5:5114,VLMC,21.80151,-73.041607,5.16364933261313,0.657873065042144,0.32265980698149305,9.418912399336707,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,3328,generated:0.5:3328,VLMC,91.456527,-186.390859,4.963527352691541,0.657873065042144,0.32265980698149305,9.00057573854209,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,2852,generated:0.5:2852,VLMC,125.35805,-149.085714,4.765991204528176,0.657873065042144,0.32265980698149305,8.587644522084656,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,6055,generated:0.5:6055,VLMC,103.542233,-180.58742,4.762846375284531,0.657873065042144,0.32265980698149305,8.58107054472809,True,True,True,False,False,False,False,False,False,False,False,False
2,0.5,Generated,4525,generated:0.5:4525,VLMC,78.487168,-31.951711,4.73761786800793,0.657873065042144,0.32265980698149305,8.528332662087406,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,8014,Injury_5DPI_rep1_SS200000147BL_D2|CELL.8892,VLMC,-0.4557262361049652,-0.6113216876983643,0.05302849491596236,0.006662580606693208,0.002749121266460585,11.37577346544238,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,59,Injury_5DPI_rep1_SS200000147BL_D2|CELL.90,VLMC,-0.7118325233459473,0.6880919337272644,0.048083331934018224,0.006662580606693208,0.002749121266460585,10.162488778397142,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,7890,Injury_5DPI_rep1_SS200000147BL_D2|CELL.8744,sstIN,-0.11914832144975662,-0.5968682765960693,0.04776225705920068,0.006662580606693208,0.002749121266460585,10.083713775341945,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,424,Injury_5DPI_rep1_SS200000147BL_D2|CELL.528,VLMC,-0.14693833887577057,0.5506129860877991,0.04357480030089677,0.006662580606693208,0.002749121266460585,9.056330617079109,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,71,Injury_5DPI_rep1_SS200000147BL_D2|CELL.107,VLMC,-0.6734901666641235,0.6590769290924072,0.043525082624004355,0.006662580606693208,0.002749121266460585,9.044132496153816,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,263,Injury_5DPI_rep1_SS200000147BL_D2|CELL.345,VLMC,-0.7496803402900696,0.5949256420135498,0.040263595651296065,0.006662580606693208,0.002749121266460585,8.24393395559352,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,3010,Injury_5DPI_rep1_SS200000147BL_D2|CELL.3324,VLMC,-0.9104502201080322,0.2205277532339096,0.03998222329046053,0.006662580606693208,0.002749121266460585,8.174899875623659,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,7856,Injury_5DPI_rep1_SS200000147BL_D2|CELL.8703,MCG,0.18077462911605835,-0.5635035634040833,0.03976909712604438,0.006662580606693208,0.002749121266460585,8.122609847440778,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,4799,Injury_5DPI_rep1_SS200000147BL_D2|CELL.5363,mpEX,-0.036456890404224396,-0.06449972838163376,0.03903024134812614,0.006662580606693208,0.002749121266460585,7.941333233392625,True,True,True,False,False,False,False,False,False,False,False,False
3,1.0,Observed,43,Injury_5DPI_rep1_SS200000147BL_D2|CELL.68,VLMC,-0.6296891570091248,0.6812098026275635,0.038189127421013866,0.006662580606693208,0.002749121266460585,7.734967810948126,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,5295,generated:1.0:5295,VLMC,43.510475,-45.478079,9.421848460348,0.6994609851971687,0.3209989012310263,18.32769436282103,True,True,True,False,False,False,False,True,False,False,False,False
4,1.0,Generated,5315,generated:1.0:5315,VLMC,22.957014,-151.548675,8.791030529364916,0.6994609851971687,0.3209989012310263,17.00220426385645,True,True,True,False,False,False,False,True,False,False,False,False
4,1.0,Generated,73,generated:1.0:73,VLMC,224.253471,-88.106688,6.547502830124609,0.6994609851971687,0.3209989012310263,12.288048869666241,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,693,generated:1.0:693,WSN,178.681333,-197.62389,6.400448832949844,0.6994609851971687,0.3209989012310263,11.979055406267777,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,31,generated:1.0:31,VLMC,227.005735,-148.131217,6.139456755071575,0.6994609851971687,0.3209989012310263,11.430652454885733,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,3603,generated:1.0:3603,VLMC,102.064882,-30.666019,5.832921502933676,0.6994609851971687,0.3209989012310263,10.786553069411395,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,5383,generated:1.0:5383,VLMC,22.981705,-71.531655,5.578445823357612,0.6994609851971687,0.3209989012310263,10.251842533869564,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,6285,generated:1.0:6285,VLMC,64.681121,-177.509615,5.097223722673543,0.6994609851971687,0.3209989012310263,9.240686860368623,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,147,generated:1.0:147,VLMC,216.308918,-83.372936,4.784939853255941,0.6994609851971687,0.3209989012310263,8.58450833935813,True,True,True,False,False,False,False,False,False,False,False,False
4,1.0,Generated,261,generated:1.0:261,VLMC,209.250055,-74.364515,4.753436508960754,0.6994609851971687,0.3209989012310263,8.518312740126404,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,2290,generated:1.5:2290,MCG,161.00181,-199.00674,6.720675476737807,0.5704168003845856,0.35178525394630944,11.792116352393013,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,3515,generated:1.5:3515,VLMC,104.385437,-188.67979,5.8193527009485235,0.5704168003845856,0.35178525394630944,10.063977163055497,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,2908,generated:1.5:2908,VLMC,150.568863,-42.077433,5.752028447017974,0.5704168003845856,0.35178525394630944,9.934893903722113,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,5621,generated:1.5:5621,VLMC,43.552418,-169.192497,5.715687812697972,0.5704168003845856,0.35178525394630944,9.865216673743337,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,3782,generated:1.5:3782,VLMC,104.236782,-47.389077,5.154701805975682,0.5704168003845856,0.35178525394630944,8.789617644263808,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,5770,generated:1.5:5770,VLMC,26.481855,-157.49827,4.906131082534583,0.5704168003845856,0.35178525394630944,8.3130238866897,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,3772,generated:1.5:3772,VLMC,107.181055,-43.157977,4.901390639866717,0.5704168003845856,0.35178525394630944,8.303934862236753,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,4745,generated:1.5:4745,VLMC,82.64339,-40.014936,4.89717728841932,0.5704168003845856,0.35178525394630944,8.295856449097439,True,True,True,False,False,False,False,False,False,False,False,False
5,1.5,Generated,5849,generated:1.5:5849,VLMC,31.777443,-67.878901,4.878046093575786,0.5704168003845856,0.35178525394630944,8.259175508111552,True,True,True,False,False,False,False,False,False,False,False,False
