pair,auc,peak_time,peak_score,trough_time,start_score,end_score,delta_end_start,score_range,cluster_id,shape_rank
FN1_ITGA8_ITGB1,0.07666783713445749,2.5,0.044061669177403034,4.0,0.01252752307613149,0.004091574366815452,-0.008435948709316039,0.03997009481058758,1,0
AGT_AGTR1,0.13553773911744216,2.5,0.06445323024708322,4.0,0.031220774348385442,0.010331346412850124,-0.020889427935535318,0.054121883834233095,1,1
COL6A2_ITGA1_ITGB1,0.06314308593434945,2.5,0.027932553476522976,4.0,0.013341169021586241,0.005755124703100824,-0.007586044318485418,0.022177428773422152,1,2
VWF_ITGA2B_ITGB3,0.020560153420503338,1.5,0.00949940362893629,4.0,0.005199146355585986,0.0012864429425309344,-0.003912703413055052,0.008212960686405356,1,3
VWF_ITGAV_ITGB3,0.020560153420503338,1.5,0.00949940362893629,4.0,0.005199146355585986,0.0012864429425309344,-0.003912703413055052,0.008212960686405356,1,4
COL1A1_ITGA1_ITGB1,0.12150159143661611,1.5,0.06433639679392242,4.0,0.02490012798005809,0.006831822006101102,-0.01806830597395699,0.05750457478782132,1,5
FN1_ITGA2B_ITGB3,0.07637433411878732,1.5,0.03593763100859224,4.0,0.01644874998539146,0.005328907990207335,-0.011119841995184126,0.03060872301838491,1,6
FN1_ITGAV_ITGB3,0.07637433411878732,1.5,0.03593763100859224,4.0,0.01644874998539146,0.005328907990207335,-0.011119841995184126,0.03060872301838491,1,7
COL6A1_ITGA1_ITGB1,0.10110506503376665,1.5,0.0389135361328642,4.0,0.016714588615464585,0.014401166275977487,-0.002313422339487097,0.02451236985688671,1,8
COL6A3_ITGA1_ITGB1,0.0326858086603525,1.5,0.014767483339699149,4.0,0.008198940789360476,0.002227734987392524,-0.005971205801967952,0.012539748352306625,1,9
FN1_ITGAV_ITGB6,0.09305416473852554,1.5,0.039745003399176505,4.0,0.021818432491989007,0.007543065342710001,-0.014275367149279006,0.032201938056466504,1,10
COL1A2_ITGA1_ITGB1,0.1629447204046947,1.5,0.0720040485940297,4.0,0.03756839987881189,0.010146293664033947,-0.02742210621477794,0.061857754929995755,1,11
PROS1_AXL,0.43657132394079856,1.5,0.1928063123100941,4.0,0.08685834844370251,0.041072356309911906,-0.0457859921337906,0.1517339560001822,1,12
LAMC3_ITGA1_ITGB1,0.006554976665127461,2.5,0.003250046790564209,4.0,0.0016981724456881094,0.0003826358818193319,-0.0013155365638687776,0.002867410908744877,1,13
LAMC3_ITGA7_ITGB1,0.010602809640353192,2.5,0.005430608446747408,4.0,0.0024753127816731306,0.0007377905746230602,-0.0017375222070500705,0.004692817872124348,1,14
SEMA7A_PLXNC1,0.14717332628553928,1.5,0.05550022345046394,4.0,0.025168791923528847,0.011989752562278331,-0.013179039361250516,0.043510470888185604,1,15
TNC_ITGA8_ITGB1,0.25295751196482263,2.5,0.0967902418540161,4.0,0.03959532269505637,0.025807060665834592,-0.013788262029221777,0.07098318118818152,1,16
VWF_GP1BA_GP1BB_GP5_GP9,0.0212073671611439,2.5,0.007519245349925587,4.0,0.006671267496607518,0.0016100528971895952,-0.005061214599417923,0.005909192452735992,1,17
WNT2B_FZD7_LRP5,0.08383301331582291,2.5,0.028330352435988183,4.0,0.019771145541362257,0.009362642213549915,-0.010408503327812343,0.018967710222438268,1,18
WNT2B_FZD7_LRP6,0.08383301331582291,2.5,0.028330352435988183,4.0,0.019771145541362257,0.009362642213549915,-0.010408503327812343,0.018967710222438268,1,19
WNT8B_FZD7_LRP5,0.20411512268963888,0.5,0.06717626710232902,4.0,0.04544898127689938,0.02858422828920939,-0.01686475298768999,0.03859203881311963,1,20
WNT8B_FZD7_LRP6,0.20411512268963888,0.5,0.06717626710232902,4.0,0.04544898127689938,0.02858422828920939,-0.01686475298768999,0.03859203881311963,1,21
CDH5_CDH5,0.04678573823168136,0.0,0.027882597233201925,4.0,0.027882597233201925,0.003275648803434442,-0.024606948429767482,0.024606948429767482,2,22
CLDN11_CLDN11,0.05371874248920712,0.5,0.029470276325725277,3.5,0.023611821093087328,0.007466326770979505,-0.016145494322107823,0.022531202109519845,2,23
FGF9_FGFR1,0.42691737638215377,0.5,0.21992232719322988,3.0,0.12608442050125898,0.07518608930296422,-0.05089833119829476,0.18117851091592557,2,24
