raw_gene,variance,rank
AMEX60DD021526,0.4159920230059465,1
NPTXR,0.289075835654513,2
AMEX60DDU001033882,0.14795125498833356,3
AMEX60DDU001010113,0.10461267952508886,4
HBD,0.10328757330468447,5
AMEX60DD002299,0.07920783410818856,6
VIM,0.06756766675834389,7
FABP7[nr] | AMEX60DD034100,0.06691109238190747,8
B2M,0.0664633728365393,9
GLUL,0.06533249636381469,10
TMSB15A,0.06244113087751053,11
RPS3,0.048887957206561715,12
RPS18,0.03983429347474616,13
RPL7,0.03572745870450618,14
RPS4X,0.033664397037074564,15
ACVR2A,0.03364980674646337,16
DDIT4,0.03068564979916091,17
RPL30,0.029596080666693933,18
SLC1A3,0.028485421350026914,19
CCK,0.027910780071715997,20
LGALS1,0.026194368653890805,21
HBG2,0.025294803666545535,22
AMEX60DD017849,0.025124978648790586,23
TAC1,0.024467309044000067,24
AMEX60DD017847,0.02421042177135733,25
DBI,0.02076739076161288,26
RPL26,0.01855252693483281,27
SNCA,0.016789214754118775,28
TRH,0.016705734267585065,29
S100A10,0.016688572339893164,30
ARPP21,0.0165799741314896,31
ECM1,0.0165402130315062,32
RASL11B,0.016452614529722607,33
RPL13,0.016216525532977772,34
SCGN,0.015800386430776733,35
AMEX60DD054004,0.014830882692465821,36
RPL34,0.013856360039339983,37
MYL4,0.013668423627493308,38
nan | AMEX60DD021534,0.01365795587109351,39
AMEX60DD022072,0.013326321450588189,40
AMEX60DD035705,0.012518730220056546,41
GLUD1,0.012419223479567122,42
LMO3,0.012379750094241616,43
DKK3,0.011908653029263687,44
IGSF21,0.011395913319625936,45
PCP4L1[nr] | AMEX60DD015740,0.01104613689838127,46
COL3A1,0.010999309091046551,47
GPX3,0.010713386767741728,48
SELENOP,0.01038695820350269,49
PSAP,0.010220931151169512,50
CARTPT,0.00945065945698169,51
GFAP,0.009432981801530065,52
GRM2,0.009132211444860967,53
AGT,0.009040124596669481,54
SST,0.008977724148857254,55
L1CAM,0.008796456890995947,56
GAL,0.008444009333222792,57
RBP4,0.008130173659373931,58
NEUROD6,0.007597541425918934,59
ERBB4,0.007562107640704892,60
C11ORF96,0.0075289965153318185,61
SLC6A11,0.007501754658206464,62
QKI[nr] | AMEX60DD034890,0.007348952426536306,63
TAGLN2,0.007322587565050003,64
nan | AMEX60DD024268,0.007308759252180993,65
CNTN1,0.007158549682862313,66
CLU,0.007002628285026226,67
PTN[nr] | AMEX60DD007022,0.006916505297269453,68
CPLX3,0.006819965819697441,69
CHGA,0.0067443708685692985,70
SRSF7,0.006537087609226468,71
PENK,0.00627672665276392,72
NELL2,0.006208726473298867,73
ARF5,0.0057299885310622255,74
AMEX60DDU001001926,0.0054767610185524245,75
CCN1,0.005094866168436861,76
D9C73_000132[nr] | AMEX60DD013960,0.005006972903883929,77
SV2A,0.004928728664388528,78
CHRM4,0.004821002457524844,79
NPTX2,0.0047465014005149105,80
IGFBP5__2,0.004457697106811782,81
RRAD,0.004415990745791865,82
CD99L2,0.004321114856811987,83
EDNRB,0.004131505960486688,84
SCG5,0.004110819399870375,85
TMBIM6,0.004039419075116466,86
NPAS4,0.003856584583481191,87
CSTB,0.0037656525649182333,88
CHGA__2,0.0037639648483026697,89
LOC115097464[nr] | AMEX60DD013520,0.0037038395281410678,90
SDC3,0.0036793155239709047,91
SPARC,0.003670556491769039,92
ZIC1,0.003491539475344699,93
FSTL1,0.0034911831835508686,94
CAMKV,0.003381564849893307,95
SLC26A5,0.0033274392815170017,96
DOCK4,0.0032211871681049418,97
COL1A2,0.003135872506648262,98
CD74,0.003061700490703365,99
SLC6A1,0.002986451203563889,100
AMEX60DD053529,0.0029676918996536313,101
SSR3,0.0029648569378284907,102
PLPP3,0.0029438078867013214,103
NRXN3,0.0029333091264622402,104
nan | AMEX60DD016339,0.0029159353774013577,105
NCAM2,0.002905687330040654,106
UCN,0.0028830157600397976,107
SV2B,0.002867027922390624,108
NRXN2,0.0028457080378809425,109
ADCYAP1,0.002838119426960224,110
KRT18,0.0028167004526632217,111
NRCAM,0.002703222177635044,112
NLGN1,0.0026367154203847773,113
LUM,0.002631154056710897,114
KRT19,0.0026029673098682243,115
HIF3A,0.0025867983252860893,116
ANXA2,0.002562633950555418,117
HBZ,0.0024803389885201445,118
TGFBI,0.002436149231818773,119
SLC7A5,0.00239710157213318,120
MLC1,0.002358664670794156,121
RTN4RL2,0.0023466501091204003,122
WIPF3[nr] | AMEX60DD022821,0.0023380742121051432,123
PMP2[nr] | AMEX60DD039992,0.0022607438085510316,124
AMEX60DD009830,0.0022544923264923773,125
CNR1,0.0022216775001258327,126
GAD2,0.0022189402276269663,127
COL1A1,0.002190427673246488,128
ZFP36L2,0.002145853272776289,129
AMEX60DD055398,0.0021352980092860002,130
LOC115478996[nr] | AMEX60DD003305,0.0021338183011527416,131
UNC5D,0.002103635848669867,132
AMEX60DD054256,0.002077349497278271,133
RPH3A,0.0020667640861713864,134
PDYN,0.002063139409257708,135
AMEX60DD040542,0.0020460597104922946,136
NME3,0.002020394384516021,137
EPHA5,0.0020032155863643655,138
AMEX60DD027994,0.001988161910598602,139
LOC115083494[nr] | AMEX60DD043350,0.0019714397620950327,140
AMEX60DD034076,0.0019434794938094763,141
TMEM163,0.0019131976797110834,142
PLXNB2,0.0018901212939769023,143
NRP2,0.0018499172535497734,144
EFNA5,0.00182155424435605,145
CALB2,0.0018086202921406393,146
NXPH1,0.001757204257240655,147
SLC4A4,0.001754232787252111,148
SHISA6,0.0017475190509083434,149
LGALS3BP,0.0017046582763361531,150
ZIC2,0.001667590594477067,151
AMEX60DD009514,0.0016462440544928458,152
PHACTR2,0.0015767601135168398,153
SEMA5B,0.0015628736916979112,154
IFITM2,0.001547908952903348,155
SCG3,0.0015255102217203351,156
NDUFB2,0.0015120915553591063,157
NPY__2,0.0015003516928108025,158
AMEX60DD010632,0.0014456186128790766,159
GRIK2,0.0014350344080819879,160
AMEX60DD029717,0.0013651642039416165,161
LYPLA2,0.001358325298755136,162
AGRN,0.0013249316590161558,163
SELENOK,0.0013067841536936224,164
AMEX60DD054908,0.0012984473583998834,165
NRP1,0.001280314854336578,166
SEMA5A,0.001274219216854928,167
NFASC,0.001270263642015022,168
NECTIN1,0.0012652796727245284,169
RGR,0.001249515200455721,170
C1QB,0.0012114391218796437,171
LOC115072993[nr] | AMEX60DD005903,0.0012020527722820503,172
CRABP2,0.001201298906104033,173
SULF2,0.0011746994576564028,174
BAIAP3,0.0011715783336697112,175
COL6A1,0.0011684408204058994,176
FGFBP3,0.0011650172166645227,177
CSMD2,0.0011647514629224618,178
MYT1L,0.0011611796541995205,179
DAD1,0.0011460724174971212,180
FOXP1,0.0011338967307736828,181
PLPPR3,0.0011324953587854988,182
HID1,0.0011002323065525876,183
FOSL2,0.0010956633595604105,184
LRRTM1,0.0010863348876914954,185
GRIN2B,0.0010798869476856445,186
ST6GALNAC6,0.0010732165841706325,187
BHMT,0.001072383862470494,188
LAMP5,0.0010622752654830883,189
NPY,0.0010479160664048975,190
KRTCAP2,0.0010367629958678124,191
CA14,0.001035920235919106,192
PMEPA1,0.001035819769148834,193
CDH2,0.001027594613357778,194
BCAN,0.0010251938994486917,195
PAX6,0.001020833242345111,196
MFAP2,0.0010138485863830265,197
CCND1,0.0010113616808223496,198
NEFM,0.0010087347299795027,199
FSTL4,0.0010058605004681358,200
NPPC,0.0010023313002495847,201
NTRK3,0.0009928642021838022,202
NCOA4,0.0009879572743983775,203
CD9,0.0009846921889014911,204
NEGR1,0.0009771676443514543,205
CNKSR2,0.0009623470349769946,206
RALYL,0.000960543505291363,207
nan | AMEX60DD000274,0.0009586496123904149,208
HBE1__2,0.00095831167589875,209
MMP2__2,0.0009197410187658846,210
MCHR2,0.0009054088575724101,211
TENM2,0.0008881076937533138,212
GRN,0.0008876402498528894,213
PABPN1,0.0008736236483046887,214
SWAP70,0.0008706886011468442,215
NTSR1,0.0008558306059345998,216
MCM3,0.0008276605581425683,217
LOC108699649[nr] | AMEX60DD014991,0.000817735275553845,218
SLC16A1,0.0008142471578832618,219
SELENOH,0.0008108275728042657,220
nan | AMEX60DD016350,0.0008096578548004694,221
BGN,0.0008014453577296204,222
EPHA3,0.000798201238459595,223
COL6A2,0.0007933890545314786,224
LFNG,0.0007905326205739283,225
GJA1,0.0007845369070001336,226
ETS2,0.0007843566912028221,227
NLGN3,0.0007827420000771358,228
