raw_gene,variance,rank,display_gene,gene_symbol
AMEX60DD021526,0.4159920230059465,1,AMEX60DD021526,
NPTXR,0.289075835654513,2,NPTXR,NPTXR
AMEX60DDU001033882,0.14795125498833356,3,AMEX60DDU001033882,
AMEX60DDU001010113,0.10461267952508886,4,AMEX60DDU001010113,
HBD,0.10328757330468447,5,HBD,HBD
AMEX60DD002299,0.07920783410818856,6,AMEX60DD002299,
VIM,0.06756766675834389,7,VIM,VIM
FABP7[nr] | AMEX60DD034100,0.06691109238190747,8,FABP7,FABP7
B2M,0.0664633728365393,9,B2M,B2M
GLUL,0.06533249636381469,10,GLUL,GLUL
TMSB15A,0.06244113087751053,11,TMSB15A,TMSB15A
RPS3,0.048887957206561715,12,RPS3,RPS3
RPS18,0.03983429347474616,13,RPS18,RPS18
RPL7,0.03572745870450618,14,RPL7,RPL7
RPS4X,0.033664397037074564,15,RPS4X,RPS4X
ACVR2A,0.03364980674646337,16,ACVR2A,ACVR2A
DDIT4,0.03068564979916091,17,DDIT4,DDIT4
RPL30,0.029596080666693933,18,RPL30,RPL30
