raw_gene,variance,rank,display_gene,gene_symbol,raw_cluster,pattern
AMEX60DD021526,0.4159920230059465,1,AMEX60DD021526,,1,2
NPTXR,0.289075835654513,2,NPTXR,NPTXR,1,2
AMEX60DDU001033882,0.14795125498833356,3,AMEX60DDU001033882,,2,1
AMEX60DDU001010113,0.10461267952508886,4,AMEX60DDU001010113,,2,1
HBD,0.10328757330468447,5,HBD,HBD,1,2
AMEX60DD002299,0.07920783410818856,6,AMEX60DD002299,,1,2
VIM,0.06756766675834389,7,VIM,VIM,1,2
FABP7[nr] | AMEX60DD034100,0.06691109238190747,8,FABP7,FABP7,1,2
B2M,0.0664633728365393,9,B2M,B2M,1,2
GLUL,0.06533249636381469,10,GLUL,GLUL,1,2
TMSB15A,0.06244113087751053,11,TMSB15A,TMSB15A,1,2
RPS3,0.048887957206561715,12,RPS3,RPS3,1,2
RPS18,0.03983429347474616,13,RPS18,RPS18,1,2
RPL7,0.03572745870450618,14,RPL7,RPL7,1,2
RPS4X,0.033664397037074564,15,RPS4X,RPS4X,1,2
ACVR2A,0.03364980674646337,16,ACVR2A,ACVR2A,2,1
DDIT4,0.03068564979916091,17,DDIT4,DDIT4,1,2
RPL30,0.029596080666693933,18,RPL30,RPL30,1,2
SLC1A3,0.028485421350026914,19,SLC1A3,SLC1A3,1,2
CCK,0.027910780071715997,20,CCK,CCK,1,2
LGALS1,0.026194368653890805,21,LGALS1,LGALS1,1,2
HBG2,0.025294803666545535,22,HBG2,HBG2,1,2
AMEX60DD017849,0.025124978648790586,23,AMEX60DD017849,,1,2
TAC1,0.024467309044000067,24,TAC1,TAC1,1,2
AMEX60DD017847,0.02421042177135733,25,AMEX60DD017847,,2,1
DBI,0.02076739076161288,26,DBI,DBI,1,2
RPL26,0.01855252693483281,27,RPL26,RPL26,1,2
SNCA,0.016789214754118775,28,SNCA,SNCA,1,2
TRH,0.016705734267585065,29,TRH,TRH,2,1
S100A10,0.016688572339893164,30,S100A10,S100A10,1,2
ARPP21,0.0165799741314896,31,ARPP21,ARPP21,2,1
ECM1,0.0165402130315062,32,ECM1,ECM1,1,2
RASL11B,0.016452614529722607,33,RASL11B,RASL11B,1,2
RPL13,0.016216525532977772,34,RPL13,RPL13,1,2
SCGN,0.015800386430776733,35,SCGN,SCGN,2,1
AMEX60DD054004,0.014830882692465821,36,AMEX60DD054004,,2,1
RPL34,0.013856360039339983,37,RPL34,RPL34,1,2
MYL4,0.013668423627493308,38,MYL4,MYL4,1,2
nan | AMEX60DD021534,0.01365795587109351,39,AMEX60DD021534,,2,1
AMEX60DD022072,0.013326321450588189,40,AMEX60DD022072,,1,2
AMEX60DD035705,0.012518730220056546,41,AMEX60DD035705,,1,2
GLUD1,0.012419223479567122,42,GLUD1,GLUD1,1,2
LMO3,0.012379750094241616,43,LMO3,LMO3,1,2
DKK3,0.011908653029263687,44,DKK3,DKK3,1,2
IGSF21,0.011395913319625936,45,IGSF21,IGSF21,2,1
