pattern,term,term_name,term_id,query_size,background_size,set_size_in_background,overlap_count,gene_ratio,p_value,fold_enrichment,overlap_genes,adjusted_p_value,significant
1,Axon Guidance (GO:0007411),Axon Guidance,GO:0007411,330,1538,64,27,0.08181818181818182,0.00010821327390184533,1.966193181818182,CNTN1;EFNA3;EFNB2;EPHA3;EPHA5;EPHA8;EPHB3;NFASC;NRCAM;NRXN1;NRXN3;PLXNA3;PLXNB2;PLXNB3;PTPRM;RELN;RET;SEMA3A;SEMA3C;SEMA3F;SEMA4C;SEMA5A;SEMA5B;SEMA6A;TNR;TUBB3;VEGFA,0.07112731968059623,False
1,Neuron Projection Guidance (GO:0097485),Neuron Projection Guidance,GO:0097485,330,1538,53,23,0.0696969696969697,0.00021544622429622192,2.022527158376215,CNTN1;EFNA3;EFNB2;EPHA3;EPHA5;EPHA8;EPHB3;NFASC;NRCAM;NRXN1;NRXN3;PLXNA3;RELN;RET;SEMA3A;SEMA3C;SEMA3F;SEMA4C;SEMA5A;SEMA5B;SEMA6A;TNR;TUBB3,0.07112731968059623,False
1,Chemical Synaptic Transmission (GO:0007268),Chemical Synaptic Transmission,GO:0007268,330,1538,54,23,0.0696969696969697,0.00030231092820579263,1.9850729517396184,CACNA1E;CBLN2;CNP;GABRA3;GABRB2;GRIK2;GRIN2B;GRM2;HTR2A;KCNK3;KCNQ3;LRP6;NPTX2;NRXN1;NRXN2;NTSR1;PENK;PLP1;SLC17A6;SLC6A1;SST;SYT10;TH,0.07112731968059623,False
1,Axonogenesis (GO:0007409),Axonogenesis,GO:0007409,330,1538,61,25,0.07575757575757576,0.0003411630829636085,1.9100844510680575,AUTS2;CNTN1;EFNA3;EFNB2;EPHA3;EPHA5;EPHA8;EPHB3;NFASC;NRCAM;NRXN1;NRXN3;PLXNA3;RELN;RET;SEMA3A;SEMA3C;SEMA3F;SEMA4C;SEMA5A;SEMA5B;SEMA6A;SLITRK3;TNR;TUBB3,0.07112731968059623,False
1,Anterograde Trans-Synaptic Signaling (GO:0098916),Anterograde Trans-Synaptic Signaling,GO:0098916,330,1538,42,19,0.05757575757575758,0.0004083083793375214,2.1083694083694082,CACNA1E;CNP;GABRB2;GRIK2;GRIN2B;GRM2;HTR2A;KCNK3;KCNQ3;LRP6;NPTX2;NRXN1;NRXN2;NTSR1;PENK;PLP1;SLC6A1;SST;SYT10,0.07112731968059623,False
1,Nervous System Development (GO:0007399),Nervous System Development,GO:0007399,330,1538,85,31,0.09393939393939393,0.0007881975721133912,1.6997504456327985,ACVR1C;ADGRV1;ADORA1;BRINP2;CDH1;CDH2;CHST8;CLN5;CRMP1;DLX6;ERBB2;ERBB4;FGF17;GFRA2;MYT1L;NFASC;NRCAM;NRG1;NRXN1;NRXN2;PAX6;PTN;RELN;SDK2;SEMA5A;SEMA6A;SHANK2;SOX6;SRRM4;UGT8;VEGFA,0.11442001421846061,False
1,Regulation Of Neuron Projection Development (GO:0010975),Regulation Of Neuron Projection Development,GO:0010975,330,1538,36,16,0.048484848484848485,0.00149504431015314,2.0713804713804715,CDH2;CRMP1;DAB2IP;EFNB2;EPHA3;EPHB3;PLXNB2;PLXNB3;PPFIA2;PTN;RELN;RET;SEMA3A;SETX;TNR;WNT3A,0.1860262277347693,False
1,Regulation Of Cytosolic Calcium Ion Concentration (GO:0051480),Regulation Of Cytosolic Calcium Ion Concentration,GO:0051480,330,1538,8,6,0.01818181818181818,0.0017683123694713294,3.4954545454545456,CALB2;CAV2;PLN;SCGN;TRPC3;TRPC4,0.19252500922619098,False
1,Regulation Of GTPase Activity (GO:0043087),Regulation Of GTPase Activity,GO:0043087,330,1538,44,18,0.05454545454545454,0.0024240687365897585,1.9066115702479338,ADCYAP1;CAV2;CCL19;CCL3L1;CHN2;DAB2IP;DOCK10;EPHA3;EPHA5;EPHB3;ERBB2;PLXNA3;PLXNB2;PLXNB3;PRKG1;RGS9;THY1;VAV3,0.22608454231264735,False
1,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),Positive Regulation Of Stress-Activated MAPK Cascade,GO:0032874,330,1538,19,10,0.030303030303030304,0.0025956893491693154,2.452950558213716,CCL19;DAB2IP;EDAR;MAP3K10;RASSF2;RELL2;SEMA3A;SEMA4C;TGFB2;VEGFA,0.22608454231264735,False
