historical_order,pair,time,score,strict_estimable,display_status,strict_cluster,non_estimable_reason
1,FN1_ITGA8_ITGB1,0.0,0.010259138989223,True,curve,2.0,
1,FN1_ITGA8_ITGB1,0.5,0.0114058875846517,True,curve,2.0,
1,FN1_ITGA8_ITGB1,1.0,0.0064794474110437,True,curve,2.0,
1,FN1_ITGA8_ITGB1,1.5,0.0317129714517939,True,curve,2.0,
1,FN1_ITGA8_ITGB1,2.0,0.0539818756671721,True,curve,2.0,
1,FN1_ITGA8_ITGB1,2.5,0.1565376753983081,True,curve,2.0,
1,FN1_ITGA8_ITGB1,3.0,0.0541278717230073,True,curve,2.0,
1,FN1_ITGA8_ITGB1,3.5,0.0990169894771933,True,curve,2.0,
1,FN1_ITGA8_ITGB1,4.0,0.0086791481854871,True,curve,2.0,
2,AGT_AGTR1,0.0,0.0141006467672291,True,curve,2.0,
2,AGT_AGTR1,0.5,0.0214278320677689,True,curve,2.0,
2,AGT_AGTR1,1.0,0.0106238175188416,True,curve,2.0,
2,AGT_AGTR1,1.5,0.036108314051482,True,curve,2.0,
2,AGT_AGTR1,2.0,0.0737977872685078,True,curve,2.0,
2,AGT_AGTR1,2.5,0.1826852711208698,True,curve,2.0,
2,AGT_AGTR1,3.0,0.0414172697957489,True,curve,2.0,
2,AGT_AGTR1,3.5,0.0847215761834814,True,curve,2.0,
2,AGT_AGTR1,4.0,0.0130812941125741,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,0.0,0.0124108626722683,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,0.5,0.010213659039302,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,1.0,0.0044629959745234,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,1.5,0.0204500393458957,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,2.0,0.0544544851434329,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,2.5,0.1033747178777324,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,3.0,0.0510611902540353,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,3.5,0.0691499779478529,True,curve,2.0,
3,COL6A2_ITGA1_ITGB1,4.0,0.0038450247842151,True,curve,2.0,
4,VWF_ITGA2B_ITGB3,0.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,0.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,1.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,1.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,2.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,2.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,3.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,3.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
4,VWF_ITGA2B_ITGB3,4.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,0.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,0.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,1.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,1.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,2.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,2.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,3.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,3.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,4.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
6,COL1A1_ITGA1_ITGB1,0.0,0.0143099596459585,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,0.5,0.0224924555612244,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,1.0,0.005744975552695,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,1.5,0.0601708247711801,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,2.0,0.1467162133865531,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,2.5,0.1947803076786399,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,3.0,0.0502351216439977,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,3.5,0.087960395433859,True,curve,2.0,
6,COL1A1_ITGA1_ITGB1,4.0,0.0043661580506699,True,curve,2.0,
7,FN1_ITGA2B_ITGB3,0.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,0.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,1.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,1.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,2.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,2.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,3.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,3.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,4.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,0.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,0.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,1.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,1.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,2.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,2.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,3.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,3.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,4.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
9,COL6A1_ITGA1_ITGB1,0.0,0.0111406700694725,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,0.5,0.0148115687330743,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,1.0,0.0099794952907077,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,1.5,0.0283451798349461,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,2.0,0.0558405993931233,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,2.5,0.1028011284987999,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,3.0,0.0551620125801382,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,3.5,0.1003809698730982,True,curve,2.0,
9,COL6A1_ITGA1_ITGB1,4.0,0.0072658152410557,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,0.0,0.0082769906957316,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,0.5,0.008002152566722,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,1.0,0.0053001928534785,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,1.5,0.0166127063758689,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,2.0,0.0275642570374411,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,2.5,0.0502088670358501,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,3.0,0.0243990279527969,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,3.5,0.0303164199378578,True,curve,2.0,
10,COL6A3_ITGA1_ITGB1,4.0,0.0018438049413381,True,curve,2.0,
11,FN1_ITGAV_ITGB6,0.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,0.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,1.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,1.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,2.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,2.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,3.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,3.5,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,4.0,,False,N/E,,not_scoreable_in_uniform_active_pca_universe
12,COL1A2_ITGA1_ITGB1,0.0,0.030462995818929,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,0.5,0.0326172823903792,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,1.0,0.0162887977647908,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,1.5,0.0768053724803988,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,2.0,0.1707474698441816,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,2.5,0.2507065954915088,True,curve,2.0,
12,COL1A2_ITGA1_ITGB1,3.0,0.1592150912385202,True,curve,2.0,
