historical_order,pair,historical_cluster,historical_shape_rank,strict_estimable,display_status,strict_cluster,requested_subunits,missing_pca_subunits,inactive_pca_subunits,non_estimable_reason
4,VWF_ITGA2B_ITGB3,1,3,False,N/E,,ITGA2B;ITGB3;VWF,ITGA2B,,not_scoreable_in_uniform_active_pca_universe
5,VWF_ITGAV_ITGB3,1,4,False,N/E,,ITGAV;ITGB3;VWF,ITGAV,,not_scoreable_in_uniform_active_pca_universe
7,FN1_ITGA2B_ITGB3,1,6,False,N/E,,FN1;ITGA2B;ITGB3,ITGA2B,,not_scoreable_in_uniform_active_pca_universe
8,FN1_ITGAV_ITGB3,1,7,False,N/E,,FN1;ITGAV;ITGB3,ITGAV,,not_scoreable_in_uniform_active_pca_universe
11,FN1_ITGAV_ITGB6,1,10,False,N/E,,FN1;ITGAV;ITGB6,ITGAV,,not_scoreable_in_uniform_active_pca_universe
16,SEMA7A_PLXNC1,1,15,False,N/E,,PLXNC1;SEMA7A,SEMA7A,,not_scoreable_in_uniform_active_pca_universe
18,VWF_GP1BA_GP1BB_GP5_GP9,1,17,False,N/E,,GP1BA;GP1BB;GP5;GP9;VWF,GP1BA;GP1BB;GP5,,not_scoreable_in_uniform_active_pca_universe
42,TNC_ITGA2B_ITGB3,2,41,False,N/E,,ITGA2B;ITGB3;TNC,ITGA2B,,not_scoreable_in_uniform_active_pca_universe
43,TNC_ITGAV_ITGB3,2,42,False,N/E,,ITGAV;ITGB3;TNC,ITGAV,,not_scoreable_in_uniform_active_pca_universe
46,GHRH_VIPR1,2,45,False,N/E,,GHRH;VIPR1,GHRH,,not_scoreable_in_uniform_active_pca_universe
47,TNC_ITGAV_ITGB6,2,46,False,N/E,,ITGAV;ITGB6;TNC,ITGAV,,not_scoreable_in_uniform_active_pca_universe
53,PTN_ITGAV_ITGB3,2,52,False,N/E,,ITGAV;ITGB3;PTN,ITGAV;PTN,,not_scoreable_in_uniform_active_pca_universe
54,ANGPTL4_ITGAV_ITGB3,2,53,False,N/E,,ANGPTL4;ITGAV;ITGB3,ITGAV,,not_scoreable_in_uniform_active_pca_universe
55,SPP1_ITGAV_ITGB3,2,54,False,N/E,,ITGAV;ITGB3;SPP1,ITGAV;SPP1,,not_scoreable_in_uniform_active_pca_universe
57,SEMA7A_ITGB1_ITGA1,2,56,False,N/E,,ITGA1;ITGB1;SEMA7A,SEMA7A,,not_scoreable_in_uniform_active_pca_universe
59,SPP1_ITGA8_ITGB1,2,58,False,N/E,,ITGA8;ITGB1;SPP1,SPP1,,not_scoreable_in_uniform_active_pca_universe
66,SPP1_ITGAV_ITGB6,2,65,False,N/E,,ITGAV;ITGB6;SPP1,ITGAV;SPP1,,not_scoreable_in_uniform_active_pca_universe
