pair,cluster
ADIPOQ_ADIPOR1,1
ADIPOQ_ADIPOR2,2
ADM_CALCR,1
ADM_CALCRL,2
AGRN_DAG1,2
AGT_AGTR1,2
ANGPT1_TEK,2
ANGPT2_ITGA5_ITGB1,2
ANGPT2_TEK,2
ANGPTL1_ITGA1_ITGB1,1
ANGPTL2_ITGA5_ITGB1,2
ANGPTL4_CDH5,2
ANGPTL4_ITGA5_ITGB1,1
ANGPTL4_SDC2,2
ANGPTL4_SDC3,2
ANGPTL4_SDC4,2
BAG6_NCR3,2
BMP5_BMPR1A_ACVR2A,1
BMP5_BMPR1A_BMPR2,1
BMP6_BMPR1A_ACVR2A,1
BMP6_BMPR1A_BMPR2,1
BMP7_BMPR1A_ACVR2A,2
BMP7_BMPR1A_BMPR2,2
BTC_ERBB2_ERBB4,1
BTC_ERBB4,1
CALCB_CALCR,2
CALCB_CALCRL,2
CCK_CCKAR,2
CCL19_ACKR4,2
CD34_SELP,1
CD40LG_ITGA5_ITGB1,1
CD40LG_ITGAM_ITGB2,2
CDH15_CDH15,1
CDH1_CDH1,1
CDH1_ITGAE_ITGB7,1
CDH2_CDH2,2
CDH5_CDH5,2
CLDN11_CLDN11,2
CNTN1_NRCAM,2
CNTN2_CNTN2,2
CNTN2_L1CAM,2
COL1A1_CD44,2
COL1A1_ITGA10_ITGB1,2
COL1A1_ITGA1_ITGB1,2
COL1A1_ITGA3_ITGB1,2
COL1A1_ITGA9_ITGB1,2
COL1A1_SDC4,2
COL1A2_CD44,2
COL1A2_ITGA10_ITGB1,2
COL1A2_ITGA1_ITGB1,2
COL1A2_ITGA3_ITGB1,2
COL1A2_ITGA9_ITGB1,2
COL1A2_SDC4,2
COL4A1_CD44,1
COL4A1_ITGA10_ITGB1,2
COL4A1_ITGA1_ITGB1,2
COL4A1_ITGA3_ITGB1,2
COL4A1_ITGA9_ITGB1,2
COL4A1_SDC4,2
COL4A2_CD44,1
COL4A2_ITGA10_ITGB1,2
COL4A2_ITGA1_ITGB1,2
COL4A2_ITGA3_ITGB1,2
COL4A2_ITGA9_ITGB1,2
COL4A2_SDC4,2
COL6A1_CD44,2
COL6A1_ITGA10_ITGB1,2
COL6A1_ITGA1_ITGB1,2
COL6A1_ITGA3_ITGB1,2
COL6A1_ITGA9_ITGB1,2
COL6A1_SDC4,2
COL6A2_CD44,2
COL6A2_ITGA10_ITGB1,2
COL6A2_ITGA1_ITGB1,2
COL6A2_ITGA3_ITGB1,2
COL6A2_ITGA9_ITGB1,2
COL6A2_SDC4,2
COL6A3_CD44,2
COL6A3_ITGA10_ITGB1,2
COL6A3_ITGA1_ITGB1,2
COL6A3_ITGA3_ITGB1,2
COL6A3_ITGA9_ITGB1,2
COL6A3_SDC4,2
COL6A6_CD44,1
COL6A6_ITGA10_ITGB1,2
COL6A6_ITGA1_ITGB1,2
