pair,pair_id,ligand,receptor,auc,peak_time,peak_score,start_score,end_score,delta_end_start,score_range,pair_id_identity,ligand_identity,receptor_identity,cluster
WNT7B_FZD6_LRP5,"[""WNT7B"",""FZD6_LRP5""]",WNT7B,FZD6_LRP5,6.590427065356942,0.0,2.3294806795322702,2.3294806795322702,1.8996673145564624,-0.429813364975808,1.284096134030695,"[""WNT7B"",""FZD6_LRP5""]",WNT7B,FZD6_LRP5,1
LAMB3_ITGA6_ITGB1,"[""LAMB3"",""ITGA6_ITGB1""]",LAMB3,ITGA6_ITGB1,0.2022202446909172,0.0,0.0862081260924883,0.0862081260924883,0.0644100877490801,-0.0217980383434082,0.0606881797548852,"[""LAMB3"",""ITGA6_ITGB1""]",LAMB3,ITGA6_ITGB1,1
FGF18_FGFR1,"[""FGF18"",""FGFR1""]",FGF18,FGFR1,0.1762687803514097,0.0,0.0708271805574641,0.0708271805574641,0.017018908516674,-0.0538082720407901,0.0538082720407901,"[""FGF18"",""FGFR1""]",FGF18,FGFR1,1
VEGFA_KDR,"[""VEGFA"",""KDR""]",VEGFA,KDR,0.1449084860455984,0.0,0.0532433133871386,0.0532433133871386,0.0329439691970319,-0.0202993441901066,0.0448624167466407,"[""VEGFA"",""KDR""]",VEGFA,KDR,1
WNT7B_FZD5_LRP5,"[""WNT7B"",""FZD5_LRP5""]",WNT7B,FZD5_LRP5,3.511163223899844,1.0,1.3351293069330945,0.5236535917758663,0.8578564929601651,0.3342029011842987,0.8114757151572282,"[""WNT7B"",""FZD5_LRP5""]",WNT7B,FZD5_LRP5,1
WNT7B_FZD5_LRP6,"[""WNT7B"",""FZD5_LRP6""]",WNT7B,FZD5_LRP6,3.4617020668459646,1.0,1.2362069928253356,0.5236535917758663,0.8578564929601651,0.3342029011842987,0.7125534010494693,"[""WNT7B"",""FZD5_LRP6""]",WNT7B,FZD5_LRP6,1
CDH1_CDH1,"[""CDH1"",""CDH1""]",CDH1,CDH1,0.7880714911785258,1.0,0.2970335683587705,0.2656952907340437,0.1860935912984875,-0.0796016994355561,0.2887522886014059,"[""CDH1"",""CDH1""]",CDH1,CDH1,1
WNT7A_FZD5_LRP5,"[""WNT7A"",""FZD5_LRP5""]",WNT7A,FZD5_LRP5,0.7068993114834281,1.0,0.2593014734865801,0.0923571267694925,0.1787855602267453,0.0864284334572527,0.1669443467170875,"[""WNT7A"",""FZD5_LRP5""]",WNT7A,FZD5_LRP5,1
WNT4_FZD5_LRP5,"[""WNT4"",""FZD5_LRP5""]",WNT4,FZD5_LRP5,0.097895906437833,1.0,0.0389446265330534,0.0056511286320691,0.019477953282238,0.0138268246501688,0.0332934979009842,"[""WNT4"",""FZD5_LRP5""]",WNT4,FZD5_LRP5,1
WNT4_FZD5_LRP6,"[""WNT4"",""FZD5_LRP6""]",WNT4,FZD5_LRP6,0.0963751920645929,1.0,0.0359031977865733,0.0056511286320691,0.019477953282238,0.0138268246501688,0.0302520691545041,"[""WNT4"",""FZD5_LRP6""]",WNT4,FZD5_LRP6,1
WNT10B_FZD5_LRP5,"[""WNT10B"",""FZD5_LRP5""]",WNT10B,FZD5_LRP5,0.0767175816498592,1.0,0.0331571383171675,0.0099402448036973,0.0176154928807795,0.0076752480770821,0.0232168935134702,"[""WNT10B"",""FZD5_LRP5""]",WNT10B,FZD5_LRP5,1
WNT10B_FZD5_LRP6,"[""WNT10B"",""FZD5_LRP6""]",WNT10B,FZD5_LRP6,0.0754858673809698,1.0,0.0306937097793887,0.0099402448036973,0.0176154928807795,0.0076752480770821,0.0207534649756914,"[""WNT10B"",""FZD5_LRP6""]",WNT10B,FZD5_LRP6,1
WNT3A_FZD5_LRP5,"[""WNT3A"",""FZD5_LRP5""]",WNT3A,FZD5_LRP5,0.0702850344070251,1.0,0.0252427423958446,0.0037085072856108,0.011924091921663,0.0082155846360522,0.0215342351102337,"[""WNT3A"",""FZD5_LRP5""]",WNT3A,FZD5_LRP5,1
LAMA3_ITGA6_ITGB1,"[""LAMA3"",""ITGA6_ITGB1""]",LAMA3,ITGA6_ITGB1,0.0700378992125702,1.0,0.0262177845722549,0.0056000480220602,0.0124742972004506,0.0068742491783903,0.0206177365501946,"[""LAMA3"",""ITGA6_ITGB1""]",LAMA3,ITGA6_ITGB1,1
LAMA3_ITGA6_ITGB4,"[""LAMA3"",""ITGA6_ITGB4""]",LAMA3,ITGA6_ITGB4,0.0626305246753858,1.0,0.0254918695610322,0.0052846067277743,0.0057398746539945,0.0004552679262202,0.0202072628332578,"[""LAMA3"",""ITGA6_ITGB4""]",LAMA3,ITGA6_ITGB4,1
LAMA3_ITGA9_ITGB1,"[""LAMA3"",""ITGA9_ITGB1""]",LAMA3,ITGA9_ITGB1,0.0068923858343707,1.0,0.0029317674808645,0.000165525607908,0.0006864675095924,0.0005209419016844,0.0027662418729565,"[""LAMA3"",""ITGA9_ITGB1""]",LAMA3,ITGA9_ITGB1,1
LAMA3_CD44,"[""LAMA3"",""CD44""]",LAMA3,CD44,0.0042091420697595,1.0,0.0019618401921885,6.52179424246279e-05,0.001258336864745,0.0011931189223204,0.0018966222497638,"[""LAMA3"",""CD44""]",LAMA3,CD44,1
CDH15_CDH15,"[""CDH15"",""CDH15""]",CDH15,CDH15,0.0008781410565648,1.0,0.0005240904051506,7.355048942407286e-07,0.0001668701990517,0.0001661346941575,0.0005233549002563,"[""CDH15"",""CDH15""]",CDH15,CDH15,1
NRXN2_NLGN3,"[""NRXN2"",""NLGN3""]",NRXN2,NLGN3,23.6785642673873,1.5,8.875836055766765,3.354086375102707,7.701133533597947,4.34704715849524,5.868042091342332,"[""NRXN2"",""NLGN3""]",NRXN2,NLGN3,1
NRXN3_NLGN1,"[""NRXN3"",""NLGN1""]",NRXN3,NLGN1,20.776021032482923,1.5,7.759273714461259,3.228162916249523,4.586741876651823,1.3585789604023,5.119530183684482,"[""NRXN3"",""NLGN1""]",NRXN3,NLGN1,1
NRXN2_NLGN1,"[""NRXN2"",""NLGN1""]",NRXN2,NLGN1,19.98278056172498,1.5,9.198112241114377,2.322686265920121,4.720736564060925,2.3980502981408036,6.875425975194256,"[""NRXN2"",""NLGN1""]",NRXN2,NLGN1,1
NRXN1_NLGN1,"[""NRXN1"",""NLGN1""]",NRXN1,NLGN1,9.412454939972896,1.5,4.020176406516514,1.2886244932664388,2.4582243440087557,1.1695998507423169,2.857930685081159,"[""NRXN1"",""NLGN1""]",NRXN1,NLGN1,1
SEMA5A_PLXNA1,"[""SEMA5A"",""PLXNA1""]",SEMA5A,PLXNA1,7.077661531550436,1.5,2.777324739348257,1.2814114649506037,1.7353336251913327,0.453922160240729,2.0632205114383355,"[""SEMA5A"",""PLXNA1""]",SEMA5A,PLXNA1,1
SEMA5A_PLXNA3,"[""SEMA5A"",""PLXNA3""]",SEMA5A,PLXNA3,5.988559474026118,1.5,2.5231930993621567,1.1339100959135324,1.5582296139157872,0.4243195180022547,1.989778646398543,"[""SEMA5A"",""PLXNA3""]",SEMA5A,PLXNA3,1
NRG3_ERBB4,"[""NRG3"",""ERBB4""]",NRG3,ERBB4,4.827577150587086,1.5,1.9960284389983989,0.8199025532052755,1.4278200617715306,0.6079175085662551,1.5523487737962771,"[""NRG3"",""ERBB4""]",NRG3,ERBB4,1
NRG1_ERBB4,"[""NRG1"",""ERBB4""]",NRG1,ERBB4,4.0699822796165765,1.5,1.8067135171096,1.040980887856528,0.876753160599898,-0.16422772725663,1.510310257796763,"[""NRG1"",""ERBB4""]",NRG1,ERBB4,1
SEMA4A_PLXNB2,"[""SEMA4A"",""PLXNB2""]",SEMA4A,PLXNB2,3.710374808605528,1.5,1.365006912481503,0.668476659012483,1.1225503761562914,0.4540737171438084,1.041057168852014,"[""SEMA4A"",""PLXNB2""]",SEMA4A,PLXNB2,1
EFNA3_EPHA3,"[""EFNA3"",""EPHA3""]",EFNA3,EPHA3,3.4004255452879812,1.5,1.449992808051216,0.45835535038588,0.838563875608069,0.380208525222189,1.0300497176700123,"[""EFNA3"",""EPHA3""]",EFNA3,EPHA3,1
SEMA5A_PLXNB3,"[""SEMA5A"",""PLXNB3""]",SEMA5A,PLXNB3,3.0656739685484236,1.5,1.2519716708022226,0.8117779795817057,0.914871191529906,0.1030932119482002,0.9807000647466062,"[""SEMA5A"",""PLXNB3""]",SEMA5A,PLXNB3,1
SEMA4C_PLXNB2,"[""SEMA4C"",""PLXNB2""]",SEMA4C,PLXNB2,2.9573675218753652,1.5,1.007310339266708,0.8880569172173243,0.7184200304449673,-0.169636886772357,0.671909189026547,"[""SEMA4C"",""PLXNB2""]",SEMA4C,PLXNB2,1
HBEGF_ERBB4,"[""HBEGF"",""ERBB4""]",HBEGF,ERBB4,0.7978045200132743,1.5,0.2909483489176019,0.2432401245333525,0.1019172438133284,-0.141322880720024,0.2052552550243735,"[""HBEGF"",""ERBB4""]",HBEGF,ERBB4,1
EFNA3_EPHA8,"[""EFNA3"",""EPHA8""]",EFNA3,EPHA8,0.6027414745597313,1.5,0.2745094825631372,0.0486012824175619,0.1798115473203191,0.1312102649027572,0.2259082001455752,"[""EFNA3"",""EPHA8""]",EFNA3,EPHA8,1
WNT3A_FZD2_LRP6,"[""WNT3A"",""FZD2_LRP6""]",WNT3A,FZD2_LRP6,0.3994023569424537,1.5,0.1423315774423029,0.0336614250533164,0.0988474765654722,0.0651860515121557,0.1086701523889864,"[""WNT3A"",""FZD2_LRP6""]",WNT3A,FZD2_LRP6,1
WNT3A_FZD3_LRP6,"[""WNT3A"",""FZD3_LRP6""]",WNT3A,FZD3_LRP6,0.3941171195422593,1.5,0.1413158595591096,0.034713196505828,0.0989935896943537,0.0642803931885257,0.1066026630532816,"[""WNT3A"",""FZD3_LRP6""]",WNT3A,FZD3_LRP6,1
SEMA4G_PLXNB2,"[""SEMA4G"",""PLXNB2""]",SEMA4G,PLXNB2,0.3903284998760409,1.5,0.164932549190345,0.0425766397441726,0.1273011440559662,0.0847245043117935,0.1223559094461724,"[""SEMA4G"",""PLXNB2""]",SEMA4G,PLXNB2,1
WNT3A_FZD2_LRP5,"[""WNT3A"",""FZD2_LRP5""]",WNT3A,FZD2_LRP5,0.3592779833756675,1.5,0.1341754484397551,0.0344632035635505,0.0849143965167113,0.0504511929531607,0.0997122448762045,"[""WNT3A"",""FZD2_LRP5""]",WNT3A,FZD2_LRP5,1
WNT3A_FZD3_LRP5,"[""WNT3A"",""FZD3_LRP5""]",WNT3A,FZD3_LRP5,0.3522495223876997,1.5,0.1341754484397551,0.0344695345780042,0.0849143965167113,0.0504448619387071,0.0997059138617508,"[""WNT3A"",""FZD3_LRP5""]",WNT3A,FZD3_LRP5,1
PTPRM_PTPRM,"[""PTPRM"",""PTPRM""]",PTPRM,PTPRM,0.2753653620877402,1.5,0.1000076106848816,0.0319179672350127,0.0823814953894568,0.050463528154444,0.0680896434498689,"[""PTPRM"",""PTPRM""]",PTPRM,PTPRM,1
WNT3A_FZD8_LRP5,"[""WNT3A"",""FZD8_LRP5""]",WNT3A,FZD8_LRP5,0.2578730036095861,1.5,0.0948598869562375,0.0219054445587942,0.0842630258969175,0.0623575813381233,0.0729544423974433,"[""WNT3A"",""FZD8_LRP5""]",WNT3A,FZD8_LRP5,1
WNT3A_FZD8_LRP6,"[""WNT3A"",""FZD8_LRP6""]",WNT3A,FZD8_LRP6,0.2442052357091328,1.5,0.0948598869562375,0.0211552907474553,0.0842768402244095,0.0631215494769541,0.0737045962087821,"[""WNT3A"",""FZD8_LRP6""]",WNT3A,FZD8_LRP6,1
NRG4_ERBB4,"[""NRG4"",""ERBB4""]",NRG4,ERBB4,0.2180207514315616,1.5,0.0895444162151991,0.0781251136306562,0.0337451465833788,-0.0443799670472774,0.0733431729814285,"[""NRG4"",""ERBB4""]",NRG4,ERBB4,1
LAMA3_DAG1,"[""LAMA3"",""DAG1""]",LAMA3,DAG1,0.1927977209270984,1.5,0.0654272100844989,0.0112566724199317,0.0268843567446328,0.0156276843247011,0.0541705376645672,"[""LAMA3"",""DAG1""]",LAMA3,DAG1,1
WNT3A_FZD6_LRP6,"[""WNT3A"",""FZD6_LRP6""]",WNT3A,FZD6_LRP6,0.1628708338643643,1.5,0.058838530716125,0.0244518708249987,0.0360149842913379,0.0115631134663391,0.0343866598911262,"[""WNT3A"",""FZD6_LRP6""]",WNT3A,FZD6_LRP6,1
WNT3A_FZD6_LRP5,"[""WNT3A"",""FZD6_LRP5""]",WNT3A,FZD6_LRP5,0.1628605064976346,1.5,0.058838530716125,0.0246790871769853,0.0359205120427018,0.0112414248657165,0.0341594435391396,"[""WNT3A"",""FZD6_LRP5""]",WNT3A,FZD6_LRP5,1
BMP6_BMPR1A_ACVR2A,"[""BMP6"",""BMPR1A_ACVR2A""]",BMP6,BMPR1A_ACVR2A,0.1619288189657495,1.5,0.0589484044679709,0.0424941548997832,0.0234176182128473,-0.0190765366869359,0.0355307862551236,"[""BMP6"",""BMPR1A_ACVR2A""]",BMP6,BMPR1A_ACVR2A,1
BMP6_BMPR1A_BMPR2,"[""BMP6"",""BMPR1A_BMPR2""]",BMP6,BMPR1A_BMPR2,0.1619288189657495,1.5,0.0589484044679709,0.0424941548997832,0.0234176182128473,-0.0190765366869359,0.0355307862551236,"[""BMP6"",""BMPR1A_BMPR2""]",BMP6,BMPR1A_BMPR2,1
LAMA3_SV2B,"[""LAMA3"",""SV2B""]",LAMA3,SV2B,0.1457792211654641,1.5,0.0556422210793468,0.0079075763432813,0.0182951247982673,0.0103875484549859,0.0477346447360654,"[""LAMA3"",""SV2B""]",LAMA3,SV2B,1
BTC_ERBB4,"[""BTC"",""ERBB4""]",BTC,ERBB4,0.1328850368689936,1.5,0.0713994563874262,0.0276340902367758,0.0382949026009518,0.0106608123641759,0.0620588640951109,"[""BTC"",""ERBB4""]",BTC,ERBB4,1
TNN_SDC4,"[""TNN"",""SDC4""]",TNN,SDC4,0.0784340545696877,1.5,0.0318972247182,0.0154183480065745,0.0093953684434337,-0.0060229795631408,0.0244491464611708,"[""TNN"",""SDC4""]",TNN,SDC4,1
WNT3A_FZD5_LRP6,"[""WNT3A"",""FZD5_LRP6""]",WNT3A,FZD5_LRP6,0.0694788946656196,1.5,0.0251114525817246,0.0037085072856108,0.011924091921663,0.0082155846360522,0.0214029452961137,"[""WNT3A"",""FZD5_LRP6""]",WNT3A,FZD5_LRP6,1
CD40LG_ITGA5_ITGB1,"[""CD40LG"",""ITGA5_ITGB1""]",CD40LG,ITGA5_ITGB1,0.0543657713455382,1.5,0.0193376860487953,0.011856568294518,0.0092388556683639,-0.002617712626154,0.0147118602608595,"[""CD40LG"",""ITGA5_ITGB1""]",CD40LG,ITGA5_ITGB1,1
IHH_PTCH1_SMO,"[""IHH"",""PTCH1_SMO""]",IHH,PTCH1_SMO,0.0408923783415785,1.5,0.0168703039887605,0.0050887940401895,0.0061657636329027,0.0010769695927131,0.0122641678413699,"[""IHH"",""PTCH1_SMO""]",IHH,PTCH1_SMO,1
