noise_sigma,replicate,adjusted_rand_index,cluster_counts
0.01,0,0.9774668338557373,1:311;2:220
0.01,1,0.9849488168712209,1:219;2:312
0.01,2,0.9849475333856349,1:217;2:314
0.01,3,1.0,1:217;2:314
0.01,4,0.9849488168712209,1:219;2:312
0.01,5,0.970013891493422,1:221;2:310
0.01,6,0.970013891493422,1:310;2:221
0.01,7,0.992459864284325,1:313;2:218
0.01,8,1.0,1:314;2:217
0.01,9,0.9774668338557373,1:220;2:311
0.01,10,0.992459864284325,1:218;2:313
0.01,11,1.0,1:217;2:314
0.01,12,0.992459864284325,1:218;2:313
0.01,13,0.9700114423105233,1:219;2:312
0.01,14,0.9625899662000755,1:309;2:222
0.01,15,1.0,1:217;2:314
0.01,16,0.970013891493422,1:221;2:310
0.01,17,0.992459864284325,1:218;2:313
0.01,18,0.970013891493422,1:310;2:221
0.01,19,0.970013891493422,1:221;2:310
0.01,20,0.9924592077359208,1:216;2:315
0.01,21,1.0,1:217;2:314
0.01,22,0.992459864284325,1:218;2:313
0.01,23,1.0,1:217;2:314
0.01,24,0.9849488168712209,1:219;2:312
0.02,0,0.9849475333856349,1:217;2:314
0.02,1,0.9774668338557373,1:220;2:311
0.02,2,0.94782509354444,1:222;2:309
0.02,3,0.9774649528799447,1:218;2:313
0.02,4,0.9551915361500377,1:221;2:310
0.02,5,0.9774668338557373,1:311;2:220
0.02,6,0.94782509354444,1:222;2:309
0.02,7,0.9849475333856349,1:217;2:314
0.02,8,0.970013891493422,1:310;2:221
0.02,9,0.94782509354444,1:222;2:309
0.02,10,0.970013891493422,1:221;2:310
0.02,11,0.9551915361500377,1:221;2:310
0.02,12,0.9849475333856349,1:314;2:217
0.02,13,0.992459864284325,1:313;2:218
0.02,14,0.9849475333856349,1:314;2:217
0.02,15,0.933179112945719,1:307;2:224
0.02,16,0.955180072042231,1:316;2:215
0.02,17,0.9551950345515066,1:308;2:223
0.02,18,0.970013891493422,1:310;2:221
0.02,19,0.9259047815079926,1:304;2:227
0.02,20,0.9774629906673555,1:216;2:315
0.02,21,0.9625869779296647,1:311;2:220
0.02,22,0.9551950345515066,1:223;2:308
0.02,23,0.9774668338557373,1:220;2:311
0.02,24,0.9774668338557373,1:220;2:311
0.05,0,0.9478120263685986,1:216;2:315
0.05,1,0.9186234409553559,1:218;2:313
0.05,2,0.9042055929195295,1:220;2:311
0.05,3,0.9185933361924031,1:321;2:210
0.05,4,0.94782509354444,1:309;2:222
0.05,5,0.9258882232830782,1:221;2:310
0.05,6,0.9404920592905288,1:225;2:306
0.05,7,0.9113845995806394,1:316;2:215
0.05,8,0.933157279138407,1:315;2:216
0.05,9,0.9331630988825633,1:218;2:313
0.05,10,0.9331630988825633,1:313;2:218
0.05,11,0.882786748532162,1:310;2:221
0.05,12,0.9042132442552505,1:222;2:309
0.05,13,0.8899199499612035,1:305;2:226
0.05,14,0.89702291743405,1:217;2:314
0.05,15,0.9478165701790638,1:313;2:218
0.05,16,0.8899119485312612,1:224;2:307
0.05,17,0.9042341287578106,1:303;2:228
0.05,18,0.9042055929195295,1:220;2:311
0.05,19,0.897055813849151,1:225;2:306
0.05,20,0.8970401075091977,1:221;2:310
0.05,21,0.8970481460583506,1:223;2:308
0.05,22,0.9041975963974417,1:218;2:313
0.05,23,0.9478209258730077,1:220;2:311
0.05,24,0.8969840800127354,1:322;2:209
0.1,0,0.8064639120248136,1:226;2:305
0.1,1,0.8131439315534759,1:211;2:320
0.1,2,0.8407337667149478,1:225;2:306
0.1,3,0.8476572387843381,1:309;2:222
0.1,4,0.799622930248848,1:217;2:314
0.1,5,0.83383896055929,1:228;2:303
0.1,6,0.84767993076027,1:305;2:226
0.1,7,0.8199660319639686,1:210;2:321
0.1,8,0.8338698159669959,1:234;2:297
0.1,9,0.8064196181242883,1:311;2:220
0.1,10,0.813281237418559,1:302;2:229
0.1,11,0.7079523478075523,1:231;2:300
0.1,12,0.7795554553486634,1:226;2:305
0.1,13,0.7662549046721896,1:307;2:224
0.1,14,0.7728187269393357,1:217;2:314
0.1,15,0.8064498443944965,1:224;2:307
0.1,16,0.8407219037802445,1:223;2:308
0.1,17,0.7335512042898583,1:306;2:225
0.1,18,0.8269377097149032,1:225;2:306
0.1,19,0.8200888071071349,1:226;2:305
0.1,20,0.786300305602039,1:296;2:235
0.1,21,0.7997507321423232,1:296;2:235
0.1,22,0.826949977234022,1:227;2:304
0.1,23,0.7596973609976244,1:229;2:302
0.1,24,0.7271883307704483,1:236;2:295
