time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver,cluster,representativeness_rank_within_pattern,distance_to_pattern_prototype,display_order
0.0,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.126343475939979,0.054770473555081,135,18,18,0,324,reaEGC,reaEGC,1,1,0.35864235954813983,1
0.5,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.2289436434841726,0.0644591423835587,120,19,19,0,361,wntEGC,wntEGC,1,1,0.35864235954813983,1
1.0,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.2276064780442107,0.0584113722134928,139,19,19,0,361,sfrpEGC,wntEGC,1,1,0.35864235954813983,1
1.5,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.3639574234263223,0.100117199003719,126,19,19,0,361,wntEGC,wntEGC,1,1,0.35864235954813983,1
2.0,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.2525057935387411,0.0587757182894015,190,18,18,0,324,sfrpEGC,tlNBL,1,1,0.35864235954813983,1
2.5,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.3361671372404871,0.0974720206952382,191,22,22,0,484,sfrpEGC,sfrpEGC,1,1,0.35864235954813983,1
3.0,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.1950668900493826,0.0480483536327183,218,21,21,0,441,reaEGC,sfrpEGC,1,1,0.35864235954813983,1
3.5,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.4571585115884593,0.1006571176048859,197,21,21,0,441,sfrpEGC,sfrpEGC,1,1,0.35864235954813983,1
4.0,"[""TNC"",""ITGA9_ITGB1""]",TNC,ITGA9_ITGB1,TNC_ITGA9_ITGB1,0.261212591062433,0.0902534684589399,150,20,20,0,400,sfrpEGC,wntEGC,1,1,0.35864235954813983,1
0.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1116116919915794,0.0449680892026783,155,18,18,0,324,wntEGC,wntEGC,1,2,0.35950607054334044,2
0.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1647866732564141,0.0809140476026372,120,19,19,0,361,wntEGC,wntEGC,1,2,0.35950607054334044,2
1.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2011283693894368,0.0965992724605124,128,19,19,0,361,wntEGC,wntEGC,1,2,0.35950607054334044,2
1.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2572851565404874,0.1223211942944173,126,19,19,0,361,wntEGC,wntEGC,1,2,0.35950607054334044,2
2.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1624467292845578,0.0345858950849152,183,18,18,0,324,sfrpEGC,sfrpEGC,1,2,0.35950607054334044,2
2.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2499754584393754,0.0870772777979699,191,22,22,0,484,sfrpEGC,sfrpEGC,1,2,0.35950607054334044,2
3.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.1706963911106311,0.0472235099561703,208,21,21,0,441,wntEGC,sfrpEGC,1,2,0.35950607054334044,2
3.5,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.3819813711129195,0.1214334919498432,197,21,21,0,441,sfrpEGC,sfrpEGC,1,2,0.35950607054334044,2
4.0,"[""WNT11"",""FZD8""]",WNT11,FZD8,WNT11_FZD8,0.2734106599986484,0.1695481169143421,152,20,20,0,400,wntEGC,wntEGC,1,2,0.35950607054334044,2
0.0,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,2.762161437953698,0.8274065302570545,164,18,18,0,324,sfrpEGC,wntEGC,1,3,0.3632090786672153,3
0.5,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,3.003570920351599,1.1039341375031415,120,19,19,0,361,wntEGC,wntEGC,1,3,0.3632090786672153,3
1.0,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,3.2383423699741587,0.9697119720920728,140,19,19,0,361,sfrpEGC,wntEGC,1,3,0.3632090786672153,3
1.5,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,4.641433256646856,1.753686567908696,126,19,19,0,361,wntEGC,wntEGC,1,3,0.3632090786672153,3
2.0,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,3.625236347187968,1.2208467676884045,190,18,18,0,324,sfrpEGC,sfrpEGC,1,3,0.3632090786672153,3
2.5,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,4.0663237082137655,1.3953834845151478,191,22,22,0,484,sfrpEGC,sfrpEGC,1,3,0.3632090786672153,3
3.0,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,2.304140027442791,0.8373001459361897,224,21,21,0,441,wntEGC,wntEGC,1,3,0.3632090786672153,3
3.5,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,5.48164747225035,1.6386768294020062,197,21,21,0,441,sfrpEGC,sfrpEGC,1,3,0.3632090786672153,3
4.0,"[""WNT7B"",""FZD3_LRP6""]",WNT7B,FZD3_LRP6,WNT7B_FZD3_LRP6,5.003610264070431,1.6905242920734938,163,20,20,0,400,sfrpEGC,sfrpEGC,1,3,0.3632090786672153,3
0.0,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.3931300174985752,0.1468863139498212,159,18,18,0,324,sfrpEGC,sfrpEGC,1,4,0.3705180888825945,4
0.5,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.3584611368715986,0.1050097255097979,120,19,19,0,361,wntEGC,wntEGC,1,4,0.3705180888825945,4
1.0,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.3909681222310373,0.1968101594094159,140,19,19,0,361,sfrpEGC,sfrpEGC,1,4,0.3705180888825945,4
1.5,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.5399227347875334,0.1668261027613131,126,19,19,0,361,wntEGC,wntEGC,1,4,0.3705180888825945,4
2.0,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.3469031431360131,0.1819760210440204,171,18,18,0,324,sfrpEGC,sfrpEGC,1,4,0.3705180888825945,4
2.5,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.445977416309016,0.1398482874781458,191,22,22,0,484,sfrpEGC,sfrpEGC,1,4,0.3705180888825945,4
3.0,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.2094083649206402,0.0514289133353732,224,21,21,0,441,wntEGC,reaEGC,1,4,0.3705180888825945,4
3.5,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.7868291022549119,0.2004942800196065,197,21,21,0,441,sfrpEGC,sfrpEGC,1,4,0.3705180888825945,4
4.0,"[""FGF9"",""FGFR1""]",FGF9,FGFR1,FGF9_FGFR1,0.4559712509739367,0.1686982673826407,157,20,20,0,400,wntEGC,wntEGC,1,4,0.3705180888825945,4
0.0,"[""LAMA5"",""ITGA9_ITGB1""]",LAMA5,ITGA9_ITGB1,LAMA5_ITGA9_ITGB1,0.0192433771866294,0.0060893773764091,135,18,18,0,324,reaEGC,reaEGC,1,5,0.3783936520551338,5
0.5,"[""LAMA5"",""ITGA9_ITGB1""]",LAMA5,ITGA9_ITGB1,LAMA5_ITGA9_ITGB1,0.0513375550312108,0.0162452195809523,120,19,19,0,361,wntEGC,wntEGC,1,5,0.3783936520551338,5
