gene_symbol,n_feature_rows,var_names,n_detected_cells_t1
ACKR3,1,ACKR3 | AMEX60DD055467,92
ACKR4,1,ACKR4 | AMEX60DD022575,16
ACVR1B,1,ACVR1B | AMEX60DD030011,651
ACVR1C,1,ACVR1C | AMEX60DD055813,59
ACVR2A,1,ACVR2A | AMEX60DD055885,4807
ADIPOQ,1,ADIPOQ | AMEX60DD002657,24
ADIPOR1,1,ADIPOR1 | AMEX60DDU001008757,114
ADIPOR2,2,ADIPOR2[hs] | AMEX60DD006914;ADIPOR2.S[nr]|ADIPOR2[hs] | AMEX60DDU001030400,536
ADM,1,ADM | AMEX60DD004799,135
AGRN,1,AGRN | AMEX60DD051219,2157
AGT,1,AGT | AMEX60DD035333,595
AGTR1,1,AGTR1 | AMEX60DD001963,15
ANGPT1,2,ANGPT4[nr]|ANGPT1[hs] | AMEX60DD027140;ANGPT1 | AMEX60DD040289,242
ANGPT2,1,ANGPT2 | AMEX60DD033437,103
ANGPTL1,1,ANGPTL1 | AMEX60DD018261,64
ANGPTL2,1,ANGPTL2 | AMEX60DD050490,402
ANGPTL4,1,ANGPTL4 | AMEX60DD014684,354
AXL,1,AXL | AMEX60DD024484,337
BAG6,1,BAG6 | AMEX60DD010625,1950
BMP5,1,BMP5 | AMEX60DD033480,25
BMP6,1,BMP6 | AMEX60DD038339,96
BMP7,1,BMP7 | AMEX60DD027336,266
BMPR1A,1,BMPR1A | AMEX60DD051963,298
BMPR2,1,BMPR2 | AMEX60DD054991,1518
BTC,1,BTC | AMEX60DD044182,19
CALCB,1,CALCB | AMEX60DD004731,34
CALCR,1,CALCR | AMEX60DD022256,542
CALCRL,1,CALCRL | AMEX60DD055297,416
CCK,1,CCK | AMEX60DD022038,965
CCKAR,2,CCKAR | AMEX60DD045738;LOC115459616[nr]|CCKAR[hs] | AMEX60DD049969,352
CCL19,1,LOC102358238[nr]|CCL19[hs] | AMEX60DD041528,49
CD34,1,CD34 | AMEX60DD008964,262
CD40LG,1,CD40LG | AMEX60DD037441,112
CD44,1,CD44 | AMEX60DDU001040132,27
CDH1,1,XB5750836.S[nr]|CDH1[hs] | AMEX60DD017039,387
CDH15,1,CDH15 | AMEX60DD017091,10
CDH2,1,CDH2 | AMEX60DD039579,2219
CDH5,1,CDH5 | AMEX60DD015366,94
CLDN11,1,CLDN11 | AMEX60DD001559,82
CNTN1,1,CNTN1 | AMEX60DD006340,4251
CNTN2,1,CNTN2 | AMEX60DD009063,209
CNTNAP1,1,CNTNAP1 | AMEX60DD010010,15
COL1A1,1,COL1A1 | AMEX60DD009937,259
COL1A2,1,COL1A2 | AMEX60DD022398,477
COL4A1,1,COL4A1 | AMEX60DD047873,269
COL4A2,1,COL4A2 | AMEX60DD047874,170
COL6A1,1,COL6A1 | AMEX60DD055540,319
COL6A2,1,COL6A2 | AMEX60DD055538,148
COL6A3,1,COL6A3 | AMEX60DD055459,158
COL6A6,2,COL6A6 | AMEX60DD022615;COL6A6 | AMEX60DD022617,83
COL9A2,1,COL9A2 | AMEX60DD006010,93
COMP,1,COMP | AMEX60DD014166,298
CRHR2,2,LOC104515353[nr]|CRHR2[hs] | AMEX60DD021298;CRHR2 | AMEX60DD021300,85
CSPG4,1,CSPG4 | AMEX60DD003939,72
CXCL12,1,CXCL12 | AMEX60DD052412,90
CXCR4,1,CXCR4.S[nr]|CXCR4[hs] | AMEX60DD055954,446
DAG1,1,DAG1 | AMEX60DD024138,1408
DLL1,1,DELTA-1[nr]|DLL1[hs] | AMEX60DD034517,116
DLL4,1,DLL4 | AMEX60DD011563,46
EDN1,1,EDN1 | AMEX60DD038838,15
EDN2,1,EDN2 | AMEX60DD005420,14
EDNRA,1,EDNRA | AMEX60DD045012,83
EDNRB,1,EDNRB | AMEX60DD048805,2054
EFNA1,1,EFNA1 | AMEX60DD014862,174
EFNA3,1,LOC108699476[nr]|EFNA3[hs] | AMEX60DD014867,1097
EFNA5,1,EFNA5 | AMEX60DD042697,934
EFNB1,1,EFNB1 | AMEX60DD036933,1226
EFNB2,1,EFNB2 | AMEX60DD047713,880
EFNB3,1,EFNB3 | AMEX60DD013025,852
EPHA2,2,EPHA2 | AMEX60DD051388;EPHA2 | AMEX60DD052346,120
EPHA3,1,EPHA3 | AMEX60DD048317,1278
EPHA4,1,EPHA4 | AMEX60DD002138,1063
EPHA5,1,EPHA5 | AMEX60DD043966,2457
EPHA8,1,EPHA8 | AMEX60DD052078,282
EPHB1,1,LOC115478342[nr]|EPHB1[hs] | AMEX60DD002331,600
EPHB2,1,EPHB2 | AMEX60DD052063,635
EPHB3,1,EPHB3 | AMEX60DD001552,85
ERBB2,1,ERBB2 | AMEX60DD010312,368
ERBB3,1,ERBB3 | AMEX60DD029929,44
ERBB4,1,ERBB4 | AMEX60DD055396,2511
ESAM,1,ESAM | AMEX60DD054001,117
F2R,1,F2R | AMEX60DD042352,351
F2RL2,1,F2RL2 | AMEX60DD042354,33
FGF10,1,FGF10 | AMEX60DD042028,157
FGF17,1,FGF17 | AMEX60DD002799,518
FGF18,1,LOC115462129[nr]|FGF18[hs] | AMEX60DD046672,9
FGF2,1,FGF-2[nr]|FGF2[hs] | AMEX60DD044865,332
FGF7,1,FGF7 | AMEX60DD003767,82
FGF8,1,FGF8 | AMEX60DD052891,27
FGF9,1,FGF9 | AMEX60DD049338,176
FGFR1,1,FGFR1 | AMEX60DD002586,894
FGFR3,1,FGFR3 | AMEX60DD046037,182
FGFR4,1,FGFR4 | AMEX60DD027855,90
FLT1,1,FLT1 | AMEX60DD049282,64
FLT4,1,FLT4 | AMEX60DD030160,22
FN1,1,FN1 | AMEX60DD055420,224
FZD10,1,FZD10 | AMEX60DD000016,104
FZD2,1,FZD2 | AMEX60DD009877,1011
FZD3,1,FZD3 | AMEX60DD032782,766
FZD4,1,FZD4 | AMEX60DD049635,16
FZD5,1,FZD5 | AMEX60DD055073,62
FZD6,1,FZD6 | AMEX60DD040248,201
FZD7,1,FZD7 | AMEX60DD054983,124
FZD8,1,FZD8 | AMEX60DD021741,212
GAL,2,GAL | AMEX60DD004335;LOC115080303[nr]|GAL[hs] | AMEX60DD016396,440
GALR1,1,GALR1 | AMEX60DD039189,441
GALR2,3,GALR3[nr]|GALR2[hs] | AMEX60DD029369;GALR2 | AMEX60DD030798;LOC102684017[nr]|GALR2[hs] | AMEX60DD031506,651
GAS6,1,GAS6 | AMEX60DD048261,258
GDF10,1,GDF10 | AMEX60DD052441,213
GDF5,1,GDF5 | AMEX60DD028514,17
GDNF,1,GDNF | AMEX60DD041932,16
GFRA1,2,GFRA4[nr]|GFRA1[hs] | AMEX60DD046226;GFRA1 | AMEX60DD053205,1697
GFRA2,1,GFRA2 | AMEX60DD002821,1224
GPR37L1,1,GPR37L1 | AMEX60DD008635,724
GPR83,1,GPR83.2.L[nr]|GPR83[hs] | AMEX60DD049565,22
GRN,1,GRN | AMEX60DD009887,1580
HBEGF,1,HBEGF | AMEX60DD029059,27
HSPG2,2,HSPG2 | AMEX60DD052144;HSPG2 | AMEX60DD052146,223
IGSF11,1,IGSF11 | AMEX60DD047013,1533
IHH,1,IHH[hs] | AMEX60DD056311,89
INHBB,1,INHBB | AMEX60DD056132,49
ITGA1,1,ITGA1 | AMEX60DD042069,45
ITGA10,1,ITGA10 | AMEX60DD015201,11
ITGA3,1,ITGA3 | AMEX60DD009947,339
ITGA4,1,ITGA4 | AMEX60DD055551,30
ITGA5,1,ITGA5 | AMEX60DDU001005665,142
ITGA6,1,ITGA6 | AMEX60DD055675,295
ITGA7,1,ITGA7 | AMEX60DD029894,71
ITGA8,1,ITGA8 | AMEX60DD022164,51
ITGA9,1,ITGA9 | AMEX60DD037986,104
ITGAE,1,ITGAE | AMEX60DD054756,21
ITGAM,1,LOC115474732[nr]|ITGAM[hs] | AMEX60DD028004,31
ITGB1,1,ITGB1 | AMEX60DD021794,1157
ITGB2,1,ITGB2 | AMEX60DD055359,234
ITGB4,1,ITGB4 | AMEX60DD030862,331
ITGB7,1,ITGB7 | AMEX60DD029582,36
JAG1,2,LOC115073224[nr]|JAG1[hs] | AMEX60DD024741;JAG1 | AMEX60DD035775,427
JAG2,1,JAG2 | AMEX60DD011035,443
JAM2,1,JAM2 | AMEX60DD047412,502
JAM3,1,JAM3 | AMEX60DD053518,442
KDR,1,KDR | AMEX60DD045536,68
L1CAM,1,L1CAM | AMEX60DD025587,4227
LAMA1,1,LAMA1 | AMEX60DD039130,121
LAMA2,1,LAMA2 | AMEX60DD034687,243
LAMA3,1,LAMA3 | AMEX60DD039516,37
LAMA4,1,LAMA4 | AMEX60DD035117,334
LAMA5,1,LAMA5 | AMEX60DD026932,292
LAMB3,1,LAMB3 | AMEX60DD008951,24
LAMC1,1,LAMC1 | AMEX60DD018598,342
LAMC3,2,LAMC3 | AMEX60DD050385;LAMC3 | AMEX60DD050389,38
LRP5,1,LRP5 | AMEX60DD004352,464
LRP6,1,LRP6 | AMEX60DD006973,990
LRRC4C,1,LRRC4C | AMEX60DD005162,1754
MAG,1,LOC115082339[nr]|MAG[hs] | AMEX60DD015898,13
MERTK,1,MERTK | AMEX60DD035090,29
MPZ,1,MPZ | AMEX60DD015748,130
MRC1,1,MRC1 | AMEX60DD022098,25
MSTN,1,MSTN | AMEX60DD055189,44
NCAM1,1,AB205_0167070[nr]|NCAM1[hs] | AMEX60DD015952,48
NCAM2,1,NCAM2 | AMEX60DD047429,2143
NCR3,1,PARPI_0017872[nr]|NCR3[hs] | AMEX60DD010606,36
NEGR1,2,NEGR1[hs] | AMEX60DD019264;NEGR1 | AMEX60DD019267,2013
NFASC,1,NFASC | AMEX60DD009064,1738
NLGN1,1,LOC102462789[nr]|NLGN1[hs] | AMEX60DD001582,2527
NLGN2,1,NLGN2 | AMEX60DD012742,1754
NLGN3,1,NLGN3 | AMEX60DD036828,1969
NMB,1,NMB | AMEX60DD003796,740
NMBR,1,NMBR | AMEX60DD035558,605
NMU,1,NMU | AMEX60DD045521,39
NMUR1,1,NMUR1 | AMEX60DD003039,185
NOTCH3,1,NOTCH3 | AMEX60DD031637,32
NPB,1,NPB | AMEX60DD031487,21
NPBWR1,1,NPBWR1 | AMEX60DD039704,37
NPFF,1,NPFF | AMEX60DD029535,17
NPFFR2,1,NPFFR2 | AMEX60DD044169,330
NPPC,1,NPPC4[nr]|NPPC[hs] | AMEX60DD003057,497
NPR2,1,NPR2 | AMEX60DD041435,104
NPW,1,NPW | AMEX60DD020831,111
NPY,2,LOC115074257[nr]|NPY[hs] | AMEX60DD009927;NPY | AMEX60DD022071,1625
NPY1R,1,NPY1R | AMEX60DD045196,1253
NPY2R,1,NPY2R | AMEX60DD045112,281
NRCAM,1,NRCAM | AMEX60DD006339,2654
NRG1,1,NRG1 | AMEX60DD043761,755
NRG3,1,NRG3 | AMEX60DD052019,717
NRG4,1,NRG4 | AMEX60DD004116,40
NRP1,1,NRP1 | AMEX60DD021789,1153
NRP2,1,NRP2 | AMEX60DD055040,1898
NRTN,1,NRTN | AMEX60DD014565,13
NRXN1,2,NRXN1 | AMEX60DD035865;NRXN1 | AMEX60DD035868,1660
NRXN2,2,NRXN2 | AMEX60DD025259;NRXN2 | AMEX60DD025260,4726
NRXN3,1,NRXN3 | AMEX60DD011291,2638
NTNG1,1,NTNG1 | AMEX60DD019201,584
NTS,1,NTS | AMEX60DD007681,1313
NTSR1,1,NTSR1 | AMEX60DD026968,1272
PDGFA,1,PDGFA | AMEX60DD020701,326
PDGFC,1,PDGFC | AMEX60DD045141,291
PDGFD,1,PDGFD | AMEX60DD049470,519
PDGFRA,1,PDGFRA | AMEX60DD045542,114
PDGFRB,1,PDGFRB | AMEX60DD030144,49
PECAM1,1,PECAM1 | AMEX60DD031091,99
PLG,1,PLG | AMEX60DD034920,17
PLXNA1,1,PLXNA1 | AMEX60DD023416,1803
PLXNA3,1,PLXNA3 | AMEX60DD025642,1880
PLXNA4,1,PLXNA4 | AMEX60DD008073,1930
PLXNB2,1,PLXNB2 | AMEX60DD006266,1354
PLXNB3,1,PLXNB3 | AMEX60DD025567,402
PLXND1,2,PLXND1 | AMEX60DD023498;PLXND1 | AMEX60DD023499,102
PROS1,1,PROS1 | AMEX60DD048309,275
PRSS1,1,LOC115076178[nr]|PRSS1[hs] | AMEX60DD018148,47
PSAP,1,PSAP | AMEX60DD051892,5540
PTCH1,1,PTCH1 | AMEX60DD043057,320
PTCH2,1,PTCH2 | AMEX60DD019887,133
PTH1R,1,PTH1R | AMEX60DD020537,172
PTHLH,1,PTHLH | AMEX60DD006827,18
PTPRC,1,PTPRC | AMEX60DD018338,116
PTPRM,2,PTPRM | AMEX60DD039263;PTPRM | AMEX60DD039264,975
RELN,1,RELN | AMEX60DD006405,509
RET,1,RET | AMEX60DD052250,59
SDC2,1,SDC2 | AMEX60DD040162,1501
SDC3,1,SDC3 | AMEX60DD005444,2664
SDC4,1,SDC4 | AMEX60DD028507,877
SELP,1,SELE[nr]|SELP[hs] | AMEX60DD018415,80
SEMA3A,1,SEMA3A | AMEX60DD006239,822
SEMA3C,1,SEMA3C | AMEX60DD006224,211
SEMA3E,1,SEMA3E | AMEX60DD006238,59
SEMA3F,1,SEMA3F | AMEX60DDU001005418,341
SEMA3G,1,SEMA3G | AMEX60DD024084,157
SEMA4A,1,SEMA4A | AMEX60DD016790,628
SEMA4C,1,SEMA4C | AMEX60DD001241,562
SEMA4G,1,AB205_0040550[nr]|SEMA4G[hs] | AMEX60DD052951,79
SEMA5A,1,SEMA5A[hs] | AMEX60DD038767,1421
SEMA5B,1,SEMA5B | AMEX60DD056098,2557
SEMA6A,1,SEMA6A | AMEX60DD042813,1723
SEMA6D,1,SEMA6D | AMEX60DD003739,1369
SMO,1,SMO | AMEX60DD008017,81
SORT1,1,SORT1 | AMEX60DD009197,2060
SST,1,SST | AMEX60DD003175,3031
SSTR2,1,SSTR2.L[nr]|SSTR2[hs] | AMEX60DD031255,172
SSTR4,1,SSTR4.L[nr]|SSTR4[hs] | AMEX60DD035680,43
SSTR5,1,LOC115476750[nr]|SSTR5[hs] | AMEX60DD020731,601
SV2A,1,SV2A | AMEX60DD015149,2826
SV2B,1,LOC108711469[nr]|SV2B[hs] | AMEX60DD003452,2320
TAC1,1,TAC1 | AMEX60DD022344,666
TACR1,1,TACR1 | AMEX60DD002935,132
TEK,2,LOC107721041[nr]|TEK[hs] | AMEX60DD044572;TEK | AMEX60DD044621,65
TGFB2,2,LOC102352268[nr]|TGFB2[hs] | AMEX60DD025328;TGFB2 | AMEX60DD036126,193
TGFB3,1,TGFB3 | AMEX60DD011161,24
TGFBR1,1,TGFBR1 | AMEX60DD038999,500
TGFBR2,1,TGFBR2 | AMEX60DD022702,107
THBS1,1,TSP-1[nr]|THBS1[hs] | AMEX60DD012285,724
THBS2,1,THBS2 | AMEX60DD034565,43
THBS3,1,THBS3 | AMEX60DD014849,216
THY1,1,THY1 | AMEX60DD053830,105
TNC,1,TNC | AMEX60DD050822,1156
TNN,1,TNN | AMEX60DD018225,18
TNR,1,LOC104384078[nr]|TNR[hs] | AMEX60DD018230,550
TYRO3,1,TYRO3 | AMEX60DD011946,1108
UCN,1,UCN | AMEX60DD032570,1271
UTS2B,1,UTS2B.L[nr]|UTS2B[hs] | AMEX60DD003208,11
VEGFA,1,VEGFA | AMEX60DD036418,218
VEGFC,2,VEGFC | AMEX60DD030148;VEGFC | AMEX60DD045327,72
VEGFD,1,VEGFD | AMEX60DD048295,384
VIP,2,GHRH[nr]|VIP[hs] | AMEX60DD028629;VIP | AMEX60DD034746,215
VIPR1,1,VIPR1 | AMEX60DD021330,413
VIPR2,1,VIPR2 | AMEX60DD021663,51
VSIR,1,PARPI_0003339[nr]|VSIR[hs] | AMEX60DD051898,255
WNT10B,1,WNT10B | AMEX60DD029981,100
WNT11,1,WNT11 | AMEX60DD049747,187
WNT2B,1,WNT2B | AMEX60DD008914,120
WNT3A,1,WNT3A | AMEX60DD020503,117
WNT4,1,WNT4 | AMEX60DD052091,83
WNT7A,1,WNT7A | AMEX60DD023665,297
WNT7B,1,WNT7B | AMEX60DD006490,1193
WNT8B,1,WNT8B | AMEX60DD051636,343
WNT9A,1,WNT9A | AMEX60DD020504,37
