niche,time,dpi,condition,n_group_cells,n_eligible_source_cells,n_roster_celltype_pairs,n_selected_edges,selected_attention_sum,attention_per_eligible_source_cell
N1_sfrpEGC_VLMC,0.0,2,inj,1824,721,15,1901,2908.807775720954,4.034407455923653
N2_reaEGC_wntEGC,0.0,2,inj,1824,178,4,675,1031.0240024924278,5.792269676923752
N1_sfrpEGC_VLMC,0.0,2,uninj,2080,387,15,936,1591.1188311576843,4.111418168366109
N2_reaEGC_wntEGC,0.0,2,uninj,2080,160,4,1446,3358.3361506462097,20.98960094153881
N1_sfrpEGC_VLMC,1.0,5,inj,2035,937,15,2180,3083.9337684065104,3.2912847048095095
N2_reaEGC_wntEGC,1.0,5,inj,2035,354,4,1284,2363.2725516557693,6.675911162869405
N1_sfrpEGC_VLMC,1.0,5,uninj,2391,255,15,607,931.7595528960228,3.653959030964795
N2_reaEGC_wntEGC,1.0,5,uninj,2391,190,4,921,2144.4314997792244,11.286481577785391
N1_sfrpEGC_VLMC,2.0,10,inj,2322,818,15,4034,7814.14304676652,9.552742110961516
N2_reaEGC_wntEGC,2.0,10,inj,2322,378,4,2518,5321.08818256855,14.076952863937963
N1_sfrpEGC_VLMC,2.0,10,uninj,2581,656,15,3761,6530.1183616817,9.954448722075762
N2_reaEGC_wntEGC,2.0,10,uninj,2581,196,4,1518,3261.273344963789,16.639149719203004
N1_sfrpEGC_VLMC,3.0,15,inj,2164,688,15,4528,8934.816540777683,12.986651948804772
N2_reaEGC_wntEGC,3.0,15,inj,2164,502,4,4089,8411.097744524479,16.7551747898894
N1_sfrpEGC_VLMC,3.0,15,uninj,2691,608,15,1404,2084.588817536831,3.428600028843472
N2_reaEGC_wntEGC,3.0,15,uninj,2691,241,4,1977,4336.732524335384,17.994740764877115
N1_sfrpEGC_VLMC,4.0,20,inj,3113,591,15,1885,3414.0086400806904,5.776664365618766
N2_reaEGC_wntEGC,4.0,20,inj,3113,406,4,6106,18211.701201558113,44.856406900389445
N1_sfrpEGC_VLMC,4.0,20,uninj,2484,573,15,2511,5020.148025214672,8.761165838070982
N2_reaEGC_wntEGC,4.0,20,uninj,2484,203,4,1516,3616.549326658249,17.81551392442487
