niche,time,dpi,pathway,interaction_class,inj,uninj,log2_inj_over_uninj
N1_sfrpEGC_VLMC,0.0,2,ACTIVIN,Secreted Signaling,0.022625572510424012,0.11029267585615649,-2.285310786544042
N1_sfrpEGC_VLMC,0.0,2,ADIPONECTIN,Secreted Signaling,0.00288664766469766,0.0,31.426747881902795
N1_sfrpEGC_VLMC,0.0,2,AGRN,ECM-Receptor,6.164037137914688,10.37384315323918,-0.7510030030957018
N1_sfrpEGC_VLMC,0.0,2,AGT,Secreted Signaling,0.1221969610571001,0.014347426141436918,3.09034455407348
N1_sfrpEGC_VLMC,0.0,2,ANGPT,Secreted Signaling,0.007215155125941549,0.009055980804120782,-0.32784048705041846
N1_sfrpEGC_VLMC,0.0,2,ANGPTL,Secreted Signaling,23.904696276301447,6.968856241828137,1.7783002760635798
N1_sfrpEGC_VLMC,0.0,2,BAG,Secreted Signaling,0.006488572857888935,0.0015008828947976293,2.112089779727088
N1_sfrpEGC_VLMC,0.0,2,BMP,Secreted Signaling,0.10994453194004791,0.03531495088013532,1.6384248589636727
N1_sfrpEGC_VLMC,0.0,2,CALCR,Secreted Signaling,0.05681706661952542,0.017348817463647647,1.7114870205422814
N1_sfrpEGC_VLMC,0.0,2,CCK,Secreted Signaling,0.013563977403627386,0.0,33.65906123505713
N1_sfrpEGC_VLMC,0.0,2,CCL,Secreted Signaling,0.007268651672766633,0.0,32.75904062473669
N1_sfrpEGC_VLMC,0.0,2,CD34,Cell-Cell Contact,0.05079513382125363,0.013320641044346881,1.9310267806797738
N1_sfrpEGC_VLMC,0.0,2,CD40,Secreted Signaling,0.00739716487495594,0.0032590574521803367,1.1825176472382064
N1_sfrpEGC_VLMC,0.0,2,CD45,Cell-Cell Contact,0.0016918378001468813,0.0,30.655944115885145
N1_sfrpEGC_VLMC,0.0,2,CDH,Cell-Cell Contact,12.922334804202166,11.875504926023298,0.12187790370338022
N1_sfrpEGC_VLMC,0.0,2,CDH1,Cell-Cell Contact,0.0,0.0,0.0
N1_sfrpEGC_VLMC,0.0,2,CDH5,Cell-Cell Contact,0.11777335983408284,0.06584937816408486,0.8387715186560186
N1_sfrpEGC_VLMC,0.0,2,CLDN,Cell-Cell Contact,0.016979593435196727,0.00933449670815652,0.8631577715968833
N1_sfrpEGC_VLMC,0.0,2,CNTN,Cell-Cell Contact,6.7619936721921565,13.5082212994587,-0.9983171484277311
N1_sfrpEGC_VLMC,0.0,2,COLLAGEN,ECM-Receptor,6.69337925066306,2.390899240102727,1.4851814288432759
N1_sfrpEGC_VLMC,0.0,2,CSPG4,Cell-Cell Contact,0.007966172391525654,0.006802218082354622,0.22788144029542237
N1_sfrpEGC_VLMC,0.0,2,CXCL,Secreted Signaling,0.028224948341929023,0.09017753143459817,-1.6757970768755386
N1_sfrpEGC_VLMC,0.0,2,EDN,Secreted Signaling,0.08036186149537317,0.39550203933855865,-2.299102245675948
N1_sfrpEGC_VLMC,0.0,2,EGF,Secreted Signaling,1.1673997493129873,0.03447106386991257,5.081769028414548
N1_sfrpEGC_VLMC,0.0,2,EPHA,Cell-Cell Contact,6.735311478598239,3.6591595800726213,0.8802323309391609
N1_sfrpEGC_VLMC,0.0,2,EPHB,Cell-Cell Contact,9.87728653755965,11.852914262386394,-0.2630551485791388
N1_sfrpEGC_VLMC,0.0,2,ESAM,Cell-Cell Contact,0.05027739152940476,0.017574998168993848,1.5163852633516766
N1_sfrpEGC_VLMC,0.0,2,FGF,Secreted Signaling,2.2174038486116934,3.0817714450240143,-0.47488832296677325
N1_sfrpEGC_VLMC,0.0,2,FN1,ECM-Receptor,1.2586620014659182,0.38829398203243515,1.6966696637229535
N1_sfrpEGC_VLMC,0.0,2,GALANIN,Secreted Signaling,0.00013657062652721127,0.0,27.025071993258443
N1_sfrpEGC_VLMC,0.0,2,GAS,Secreted Signaling,0.9445049507879574,0.12625119284427827,2.903261339987554
N1_sfrpEGC_VLMC,0.0,2,GDF,Secreted Signaling,0.5229365792871169,0.34120960535999345,0.6159777294794918
N1_sfrpEGC_VLMC,0.0,2,GDNF,Secreted Signaling,0.0009491564126339091,0.0,29.822070610918168
N1_sfrpEGC_VLMC,0.0,2,GPR,Secreted Signaling,0.06383109933407158,0.049596906263059175,0.3640093633468496
N1_sfrpEGC_VLMC,0.0,2,GRN,Secreted Signaling,4.465260098668529,3.963674188857833,0.1719058349848707
N1_sfrpEGC_VLMC,0.0,2,HH,Secreted Signaling,0.0038875590903304723,0.0061463036762441445,-0.6608544449912397
N1_sfrpEGC_VLMC,0.0,2,HSPG,ECM-Receptor,0.3565951369868084,0.14601284181343716,1.2881917689958582
N1_sfrpEGC_VLMC,0.0,2,JAM,Cell-Cell Contact,2.7407211387529093,6.003197782522856,-1.1311756548961327
N1_sfrpEGC_VLMC,0.0,2,L1CAM,Cell-Cell Contact,10.183870504060513,5.035646683905815,1.0160370115601738
N1_sfrpEGC_VLMC,0.0,2,LAMININ,ECM-Receptor,15.55849751260419,20.106262405646707,-0.36994217534149565
N1_sfrpEGC_VLMC,0.0,2,MAG,Cell-Cell Contact,2.7260039808918443e-05,0.0001957587991430158,-2.8442175368954956
N1_sfrpEGC_VLMC,0.0,2,MPZ,Cell-Cell Contact,0.026027274309954523,0.008834081650844202,1.5588721622452262
N1_sfrpEGC_VLMC,0.0,2,MSTN,Secreted Signaling,0.007110996395901178,0.017805750287583202,-1.3242195980657376
N1_sfrpEGC_VLMC,0.0,2,NCAM,Cell-Cell Contact,5.093882940242946,3.919467093316331,0.378108293211738
N1_sfrpEGC_VLMC,0.0,2,NEGR,Cell-Cell Contact,0.4120361402160743,0.7769669012317459,-0.9150822575891407
N1_sfrpEGC_VLMC,0.0,2,NGL,Cell-Cell Contact,0.420507822463482,0.30739020458058075,0.45206144608611865
