niche,time,dpi,condition,pathway,interaction_class,lr_score
N1_sfrpEGC_VLMC,0.0,2,inj,ACTIVIN,Secreted Signaling,0.022625572510424012
N1_sfrpEGC_VLMC,0.0,2,inj,ADIPONECTIN,Secreted Signaling,0.00288664766469766
N1_sfrpEGC_VLMC,0.0,2,inj,AGRN,ECM-Receptor,6.164037137914688
N1_sfrpEGC_VLMC,0.0,2,inj,AGT,Secreted Signaling,0.1221969610571001
N1_sfrpEGC_VLMC,0.0,2,inj,ANGPT,Secreted Signaling,0.007215155125941549
N1_sfrpEGC_VLMC,0.0,2,inj,ANGPTL,Secreted Signaling,23.904696276301447
N1_sfrpEGC_VLMC,0.0,2,inj,BAG,Secreted Signaling,0.006488572857888935
N1_sfrpEGC_VLMC,0.0,2,inj,BMP,Secreted Signaling,0.10994453194004791
N1_sfrpEGC_VLMC,0.0,2,inj,CALCR,Secreted Signaling,0.05681706661952542
N1_sfrpEGC_VLMC,0.0,2,inj,CCK,Secreted Signaling,0.013563977403627386
N1_sfrpEGC_VLMC,0.0,2,inj,CCL,Secreted Signaling,0.007268651672766633
N1_sfrpEGC_VLMC,0.0,2,inj,CD34,Cell-Cell Contact,0.05079513382125363
N1_sfrpEGC_VLMC,0.0,2,inj,CD40,Secreted Signaling,0.00739716487495594
N1_sfrpEGC_VLMC,0.0,2,inj,CD45,Cell-Cell Contact,0.0016918378001468813
N1_sfrpEGC_VLMC,0.0,2,inj,CDH,Cell-Cell Contact,12.922334804202166
N1_sfrpEGC_VLMC,0.0,2,inj,CDH1,Cell-Cell Contact,0.0
N1_sfrpEGC_VLMC,0.0,2,inj,CDH5,Cell-Cell Contact,0.11777335983408284
N1_sfrpEGC_VLMC,0.0,2,inj,CLDN,Cell-Cell Contact,0.016979593435196727
N1_sfrpEGC_VLMC,0.0,2,inj,CNTN,Cell-Cell Contact,6.7619936721921565
N1_sfrpEGC_VLMC,0.0,2,inj,COLLAGEN,ECM-Receptor,6.69337925066306
N1_sfrpEGC_VLMC,0.0,2,inj,CSPG4,Cell-Cell Contact,0.007966172391525654
N1_sfrpEGC_VLMC,0.0,2,inj,CXCL,Secreted Signaling,0.028224948341929023
N1_sfrpEGC_VLMC,0.0,2,inj,EDN,Secreted Signaling,0.08036186149537317
N1_sfrpEGC_VLMC,0.0,2,inj,EGF,Secreted Signaling,1.1673997493129873
N1_sfrpEGC_VLMC,0.0,2,inj,EPHA,Cell-Cell Contact,6.735311478598239
N1_sfrpEGC_VLMC,0.0,2,inj,EPHB,Cell-Cell Contact,9.87728653755965
N1_sfrpEGC_VLMC,0.0,2,inj,ESAM,Cell-Cell Contact,0.05027739152940476
N1_sfrpEGC_VLMC,0.0,2,inj,FGF,Secreted Signaling,2.2174038486116934
N1_sfrpEGC_VLMC,0.0,2,inj,FN1,ECM-Receptor,1.2586620014659182
N1_sfrpEGC_VLMC,0.0,2,inj,GALANIN,Secreted Signaling,0.00013657062652721127
N1_sfrpEGC_VLMC,0.0,2,inj,GAS,Secreted Signaling,0.9445049507879574
