gene,variance,cluster
AMEX60DD021526,0.41599202156066895,2
NPTXR,0.2890758216381073,2
AMEX60DDU001033882,0.14795121550559998,1
AMEX60DDU001010113,0.10461267828941345,1
HBD,0.10328757017850876,2
AMEX60DD002299,0.07920783758163452,2
VIM,0.06756766140460968,2
FABP7[nr] | AMEX60DD034100,0.06691109389066696,2
B2M,0.06646337360143661,2
GLUL,0.06533249467611313,1
TMSB15A,0.062441129237413406,2
RPS3,0.0488879568874836,2
RPS18,0.03983429819345474,2
RPL7,0.03572745993733406,2
RPS4X,0.03366440162062645,2
ACVR2A,0.033649805933237076,1
DDIT4,0.030685650184750557,1
RPL30,0.029596082866191864,2
SLC1A3,0.02848542481660843,2
CCK,0.027910782024264336,2
LGALS1,0.026194369420409203,2
HBG2,0.025294804945588112,2
AMEX60DD017849,0.025124970823526382,1
TAC1,0.024467308074235916,2
AMEX60DD017847,0.02421042136847973,1
DBI,0.020767390727996826,2
RPL26,0.018552526831626892,2
SNCA,0.016789216548204422,1
TRH,0.01670573465526104,1
S100A10,0.016688572242856026,2
ARPP21,0.016579972580075264,1
ECM1,0.01654021255671978,2
RASL11B,0.016452616080641747,1
RPL13,0.016216527670621872,2
SCGN,0.015800386667251587,1
AMEX60DD054004,0.014830881729722023,1
RPL34,0.01385636068880558,2
MYL4,0.01366842444986105,2
nan | AMEX60DD021534,0.013657955452799797,1
AMEX60DD022072,0.01332632265985012,2
AMEX60DD035705,0.012518730014562607,2
GLUD1,0.01241922378540039,2
LMO3,0.012379750609397888,2
DKK3,0.011908653192222118,2
IGSF21,0.011395912617444992,1
PCP4L1[nr] | AMEX60DD015740,0.011046136729419231,1
COL3A1,0.01099930889904499,2
GPX3,0.010713385418057442,2
SELENOP,0.010386958718299866,2
PSAP,0.01022092904895544,2
CARTPT,0.009450659155845642,1
GFAP,0.009432981722056866,2
GRM2,0.009132212027907372,1
AGT,0.009040124714374542,2
SST,0.008977723307907581,1
L1CAM,0.008796457201242447,2
GAL,0.008444009348750114,2
RBP4,0.00813017413020134,2
NEUROD6,0.007597541436553001,1
ERBB4,0.007562107872217894,1
C11ORF96,0.0075289965607225895,2
SLC6A11,0.007501755375415087,1
QKI[nr] | AMEX60DD034890,0.007348952814936638,1
TAGLN2,0.007322587538510561,2
nan | AMEX60DD024268,0.00730875926092267,2
CNTN1,0.007158549968153238,1
CLU,0.007002628408372402,2
PTN[nr] | AMEX60DD007022,0.006916505750268698,1
CPLX3,0.006819965783506632,1
CHGA,0.006744370795786381,2
SRSF7,0.006537087261676788,2
PENK,0.006276726722717285,1
NELL2,0.006208727601915598,2
ARF5,0.0057299877516925335,2
AMEX60DDU001001926,0.00547676021233201,2
CCN1,0.005094865802675486,1
D9C73_000132[nr] | AMEX60DD013960,0.005006972700357437,2
SV2A,0.004928728565573692,1
CHRM4,0.004821001552045345,2
NPTX2,0.004746501334011555,1
IGFBP5__2,0.004457696806639433,2
RRAD,0.00441599078476429,2
CD99L2,0.0043211146257817745,2
EDNRB,0.004131506197154522,1
SCG5,0.004110819660127163,1
TMBIM6,0.004039419814944267,2
NPAS4,0.0038565846625715494,2
CSTB,0.003765653120353818,2
CHGA__2,0.00376396463252604,1
LOC115097464[nr] | AMEX60DD013520,0.003703839611262083,2
SDC3,0.00367931486107409,2
SPARC,0.003670556005090475,2
ZIC1,0.0034915395081043243,2
FSTL1,0.003491183277219534,2
CAMKV,0.003381564747542143,1
SLC26A5,0.0033274393063038588,1
DOCK4,0.0032211870420724154,1
COL1A2,0.0031358725391328335,2
CD74,0.003061700612306595,2
SLC6A1,0.002986451145261526,2
AMEX60DD053529,0.00296769174747169,1
