trajectory_kind,pair_id,ligand,receptor,pair,cell_type,expected_n_times,observed_n_times,requested_times,observed_times,missing_times,complete_time_grid,total_score,nonzero_n_times,requested_subunits,missing_pca_subunits,inactive_pca_subunits,retained,drop_reason,expression_unavailable_times,n_expression_unavailable_times
pair,"[""ADCYAP1"",""ADCYAP1R1""]",ADCYAP1,ADCYAP1R1,ADCYAP1_ADCYAP1R1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ADCYAP1;ADCYAP1R1,,ADCYAP1R1,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ADGRE5"",""CD55""]",ADGRE5,CD55,ADGRE5_CD55,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ADGRE5;CD55,ADGRE5;CD55,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AGT"",""MAS1""]",AGT,MAS1,AGT_MAS1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AGT;MAS1,MAS1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ALCAM"",""CD6""]",ALCAM,CD6,ALCAM_CD6,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ALCAM;CD6,ALCAM;CD6,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AMH"",""AMHR2_ACVR1""]",AMH,AMHR2_ACVR1,AMH_AMHR2_ACVR1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR1;AMH;AMHR2,ACVR1;AMH;AMHR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AMH"",""AMHR2_BMPR1A""]",AMH,AMHR2_BMPR1A,AMH_AMHR2_BMPR1A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AMH;AMHR2;BMPR1A,AMH;AMHR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL1"",""LILRB3""]",ANGPTL1,LILRB3,ANGPTL1_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL1;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL2"",""LILRB3""]",ANGPTL2,LILRB3,ANGPTL2_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL2;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL2"",""TLR4""]",ANGPTL2,TLR4,ANGPTL2_TLR4,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL2;TLR4,TLR4,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL3"",""ITGAV_ITGB3""]",ANGPTL3,ITGAV_ITGB3,ANGPTL3_ITGAV_ITGB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL3;ITGAV;ITGB3,ANGPTL3;ITGAV,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""CDH11""]",ANGPTL4,CDH11,ANGPTL4_CDH11,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;CDH11,CDH11,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""ITGAV_ITGB3""]",ANGPTL4,ITGAV_ITGB3,ANGPTL4_ITGAV_ITGB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;ITGAV;ITGB3,ITGAV,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL4"",""SDC1""]",ANGPTL4,SDC1,ANGPTL4_SDC1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL4;SDC1,SDC1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANGPTL7"",""LILRB3""]",ANGPTL7,LILRB3,ANGPTL7_LILRB3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANGPTL7;LILRB3,LILRB3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR1""]",ANXA1,FPR1,ANXA1_FPR1,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR1,ANXA1;FPR1,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR2""]",ANXA1,FPR2,ANXA1_FPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR2,ANXA1;FPR2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ANXA1"",""FPR2_FPR3""]",ANXA1,FPR2_FPR3,ANXA1_FPR2_FPR3,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ANXA1;FPR2;FPR3,ANXA1;FPR2;FPR3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""APELA"",""APLNR""]",APELA,APLNR,APELA_APLNR,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,APELA;APLNR,APELA,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""APLN"",""APLNR""]",APLN,APLNR,APLN_APLNR,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,APLN;APLNR,APLN,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""APP"",""CD74""]",APP,CD74,APP_CD74,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,APP;CD74,APP,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AREG"",""EGFR""]",AREG,EGFR,AREG_EGFR,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AREG;EGFR,AREG;EGFR,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AREG"",""EGFR_ERBB2""]",AREG,EGFR_ERBB2,AREG_EGFR_ERBB2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AREG;EGFR;ERBB2,AREG;EGFR,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ARTN"",""GFRA1_RET""]",ARTN,GFRA1_RET,ARTN_GFRA1_RET,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ARTN;GFRA1;RET,ARTN,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""ARTN"",""GFRA3_RET""]",ARTN,GFRA3_RET,ARTN_GFRA3_RET,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ARTN;GFRA3;RET,ARTN;GFRA3,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AVP"",""AVPR1A""]",AVP,AVPR1A,AVP_AVPR1A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AVP;AVPR1A,AVP,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AVP"",""AVPR1B""]",AVP,AVPR1B,AVP_AVPR1B,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AVP;AVPR1B,AVP;AVPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""AVP"",""AVPR2""]",AVP,AVPR2,AVP_AVPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,AVP;AVPR2,AVP,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BDNF"",""NTRK2""]",BDNF,NTRK2,BDNF_NTRK2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BDNF;NTRK2,NTRK2,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP10"",""ACVRL1_ACVR2A""]",BMP10,ACVRL1_ACVR2A,BMP10_ACVRL1_ACVR2A,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVR2A;ACVRL1;BMP10,ACVRL1;BMP10,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP10"",""ACVRL1_BMPR2""]",BMP10,ACVRL1_BMPR2,BMP10_ACVRL1_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,ACVRL1;BMP10;BMPR2,ACVRL1;BMP10,,False,not_scoreable_in_uniform_active_pca_universe,,
pair,"[""BMP15"",""BMPR1B_BMPR2""]",BMP15,BMPR1B_BMPR2,BMP15_BMPR1B_BMPR2,,9,0,"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",[],"[0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0]",False,0.0,0,BMP15;BMPR1B;BMPR2,BMP15;BMPR1B,,False,not_scoreable_in_uniform_active_pca_universe,,
