time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0021588830936837855,0.001217336432426415,84,18,18,0,324,wntEGC,wntEGC
0.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.001651621171615054,0.0005424861327602919,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0012601957378044224,0.0007929276638230229,97,19,19,0,361,wntEGC,wntEGC
1.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0014446761402335001,0.0005034420571935216,126,19,19,0,361,wntEGC,wntEGC
2.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.002273222073595498,0.002121989202208161,39,18,18,0,324,wntEGC,wntEGC
2.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0012374728048199241,0.00024342897863636806,191,22,22,0,484,sfrpEGC,sfrpEGC
3.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0005377933962929587,9.630866029568311e-05,123,21,21,0,441,CP,sfrpEGC
3.5,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.0031187340357310455,0.0005694187340892373,197,21,21,0,441,sfrpEGC,sfrpEGC
4.0,"[""ADIPOQ"",""ADIPOR1""]",ADIPOQ,ADIPOR1,ADIPOQ_ADIPOR1,0.001408617921018762,0.00037613666060638373,93,20,20,0,400,sfrpEGC,wntEGC
0.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,0.00909508764727599,0.0029063211977684612,100,18,18,0,324,wntEGC,wntEGC
0.5,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,0.005037198828272204,0.0018351175416575546,120,19,19,0,361,wntEGC,wntEGC
1.0,"[""ADIPOQ"",""ADIPOR2""]",ADIPOQ,ADIPOR2,ADIPOQ_ADIPOR2,0.0027951827473579227,0.0016991953277816206,101,19,19,0,361,wntEGC,wntEGC
