source_obs_id,time_point_processed,Annotation,Batch,CellID
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.8,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.8
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.9,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.9
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.10,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.10
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.11,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.11
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.12,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.12
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.13,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.13
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.14,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.14
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.15,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.15
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.16,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.16
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.17,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.17
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.18,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.18
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.19,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.19
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.20,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.20
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.21,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.21
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.22,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.22
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.25,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.25
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.26,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.26
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.27,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.27
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.28,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.28
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.29,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.29
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.30,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.30
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.31,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.31
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.32,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.32
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.33,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.33
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.34,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.34
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.35,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.35
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.36,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.36
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.37,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.37
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.38,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.38
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.39,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.39
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.40,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.40
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.41,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.41
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.42,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.42
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.43,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.43
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.44,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.44
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.45,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.45
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.46,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.46
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.47,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.47
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.49,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.49
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.50,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.50
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.52,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.52
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.53,0.0,obNBL,Injury_2DPI_rep1_SS200000147BL_D5,CELL.53
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.54,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.54
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.55,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.55
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.56,0.0,reaEGC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.56
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.57,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.57
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.58,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.58
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.59,0.0,reaEGC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.59
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.60,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.60
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.61,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.61
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.62,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.62
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.63,0.0,reaEGC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.63
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.64,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.64
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.65,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.65
Batch=Injury_2DPI_rep1_SS200000147BL_D5|CellID=CELL.66,0.0,VLMC,Injury_2DPI_rep1_SS200000147BL_D5,CELL.66
