variant,reference,timepoint,velocity_key,celltype,n_cells,mean_cosine_rigid_adjusted,median_cosine_rigid_adjusted
baseline_repeat,accepted_baseline,D4,full,Cardiomyocytes-1,1,0.9991734909320062,0.9991734909320062
baseline_repeat,accepted_baseline,D4,full,Endocardial cells,32,0.9983488081334867,0.9993096889590194
baseline_repeat,accepted_baseline,D4,full,Epi-epithelial cells,2,0.999714812309187,0.999714812309187
baseline_repeat,accepted_baseline,D4,full,Immature myocardial cells,61,0.9989483805661351,0.9998165111416625
baseline_repeat,accepted_baseline,D4,full,TMSB4X high cells,5,0.9999462214144073,0.9999903988919101
baseline_repeat,accepted_baseline,D4,full,Valve cells,46,0.9958707792772973,0.999774854711495
baseline_repeat,accepted_baseline,D4,interaction,Cardiomyocytes-1,1,0.9979573395818678,0.9979573395818678
baseline_repeat,accepted_baseline,D4,interaction,Endocardial cells,32,0.960338877142211,0.9966363606143223
baseline_repeat,accepted_baseline,D4,interaction,Epi-epithelial cells,2,0.4505463667861596,0.4505463667861596
baseline_repeat,accepted_baseline,D4,interaction,Immature myocardial cells,61,0.9577039731602148,0.9969276586060859
baseline_repeat,accepted_baseline,D4,interaction,TMSB4X high cells,5,0.9991663002007092,0.9999851885035986
baseline_repeat,accepted_baseline,D4,interaction,Valve cells,46,0.9561948034656558,0.9968617697515387
baseline_repeat,accepted_baseline,D7,full,Cardiomyocytes-1,79,0.998855209992277,0.9996166214436583
baseline_repeat,accepted_baseline,D7,full,Cardiomyocytes-2,10,0.9970360373493785,0.99984799819357
baseline_repeat,accepted_baseline,D7,full,Endocardial cells,89,0.9822715059201126,0.9997715402318639
baseline_repeat,accepted_baseline,D7,full,Epi-epithelial cells,36,0.9984078880037726,0.999708694461672
baseline_repeat,accepted_baseline,D7,full,Erythrocytes,34,0.9988700818081201,0.9996531116931888
baseline_repeat,accepted_baseline,D7,full,Fibroblast cells,1,0.9999568545196552,0.9999568545196552
baseline_repeat,accepted_baseline,D7,full,Immature myocardial cells,202,0.9915701704125446,0.9995240778039263
baseline_repeat,accepted_baseline,D7,full,MT-enriched cardiomyocytes,18,0.9989925313005913,0.9994553626699769
baseline_repeat,accepted_baseline,D7,full,Macrophages,3,0.9982024354732358,0.998415490531814
baseline_repeat,accepted_baseline,D7,full,Valve cells,54,0.9983454146723012,0.999732651104001
baseline_repeat,accepted_baseline,D7,full,Vascular endothelial cells,2,0.9997635846052062,0.9997635846052062
baseline_repeat,accepted_baseline,D7,interaction,Cardiomyocytes-1,79,0.9828346682461874,0.9998715520012461
baseline_repeat,accepted_baseline,D7,interaction,Cardiomyocytes-2,10,0.9976492142500699,0.9990757527435568
baseline_repeat,accepted_baseline,D7,interaction,Endocardial cells,89,0.9983544628517577,0.9996550165054734
baseline_repeat,accepted_baseline,D7,interaction,Epi-epithelial cells,36,0.9946148567247707,0.9999180879076551
baseline_repeat,accepted_baseline,D7,interaction,Erythrocytes,34,0.9972447310324919,0.9997915425229582
baseline_repeat,accepted_baseline,D7,interaction,Fibroblast cells,1,0.9999981277505561,0.9999981277505561
baseline_repeat,accepted_baseline,D7,interaction,Immature myocardial cells,202,0.9964927503908011,0.999639676538048
baseline_repeat,accepted_baseline,D7,interaction,MT-enriched cardiomyocytes,18,0.9994883723044432,0.9999831929214831
baseline_repeat,accepted_baseline,D7,interaction,Macrophages,2,0.9999916421249683,0.9999916421249683
baseline_repeat,accepted_baseline,D7,interaction,Valve cells,54,0.9951124922507172,0.9987730948272093
baseline_repeat,accepted_baseline,D7,interaction,Vascular endothelial cells,2,0.995318732269673,0.995318732269673
baseline_repeat,accepted_baseline,D10,full,Cardiomyocytes-1,225,0.9986356553691847,0.9995684073730425
baseline_repeat,accepted_baseline,D10,full,Endocardial cells,65,0.9977689353496111,0.9994562556948877
