benchmark,split,method,space,projection_repeat,projection_seed,projection_sha256,n_projections,primary_metric,primary_value,sliced_w2,exact_w1,exact_w2,n_predicted,n_observed,predicted_weight_sum,exact_ot_predicted_points,exact_ot_observed_points,target,dataset
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),joint,0,3323641888,deba40bb5fb35cc6917040a47b8fff9c7830e31f96b7b61da589a109cf3dd8a1,1024,sliced_w2,0.0940883126099167,0.0940883126099167,1.2846728554770377,1.3147295733436113,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),joint,1,1279561156,b0dc79ecc8c04b37b1f4ff014533be90381e153e46e2b945df98ebaf03b155a7,1024,sliced_w2,0.0927768576283489,0.0927768576283489,1.2846728554770377,1.3147295733436113,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),joint,2,1274144783,bad78545978894c632cfa91ae19e8d5a95cf8d8545b70ba5aa8c06952e37c9aa,1024,sliced_w2,0.091835701922823,0.091835701922823,1.2846728554770377,1.3147295733436113,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),joint,3,3999179654,7685c8f4a4b5183f529c5a45d5e847efcae297ed492c883a0bfd95d11cea6a4b,1024,sliced_w2,0.0921241584548388,0.0921241584548388,1.2846728554770377,1.3147295733436113,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),joint,4,1981785170,456d0594c2728bd1052b408bbfa127d3c74afc467bb0b4c61156bb24079f454f,1024,sliced_w2,0.0930957912336118,0.0930957912336118,1.2846728554770377,1.3147295733436113,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),state,0,2944740532,ddc77d26e159e25468621ed7680da7fb0e7febc3188601d87ec5618071d5e8e8,1024,sliced_w2,0.0809092266635022,0.0809092266635022,1.1644455404301397,1.194544611214776,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),state,1,3713777787,34026c1cc5142e1b2152a0b26b46e822a1323cceec0f409f59d0a735d5bb2983,1024,sliced_w2,0.0835592738241727,0.0835592738241727,1.1644455404301397,1.194544611214776,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),state,2,1888183804,2f8fcf41cba29f819f49c0080c51b9e226feedd5ef78ae914c8aecda88eb7ac4,1024,sliced_w2,0.0815681635538699,0.0815681635538699,1.1644455404301397,1.194544611214776,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),state,3,4283625793,cb9dbfbaf6bef10533d09579f3e541a00a56a899112fc56b16196c97eac24f86,1024,sliced_w2,0.0798829454235895,0.0798829454235895,1.1644455404301397,1.194544611214776,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),state,4,2587407863,d14abcd4a530d93275485cca370cad7a20291201203ce6cc91ceccd66cc37a11,1024,sliced_w2,0.0813088919328939,0.0813088919328939,1.1644455404301397,1.194544611214776,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),spatial,0,1063295513,e2e93f1d17671b349872a551d52b9a25e796b637bcc8d5a6c430e778e86eafe3,1024,sliced_w2,0.2522921454315996,0.2522921454315996,0.3591752054835098,0.3835362059443273,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),spatial,1,1475483039,a5060969418aef8c460237047005fccdf09b33ed0df9090d2b3d60b21421af33,1024,sliced_w2,0.2524676451794811,0.2524676451794811,0.3591752054835098,0.3835362059443273,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),spatial,2,26201262,1a4bc2fa02ad35fd5cbd7cfdf4611f41999ccf14bf9990d8d4cbc29ef9d1c230,1024,sliced_w2,0.2537262273265379,0.2537262273265379,0.3591752054835098,0.3835362059443273,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),spatial,3,1504073328,44216100fca66847373e8d9f714571e418867ee48360be98b378cc0d848434bf,1024,sliced_w2,0.2521904016312047,0.2521904016312047,0.3591752054835098,0.3835362059443273,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t1,SpaTrack (PCA/Euclidean),spatial,4,2829479438,ebabc3a63d16f789bfffc4804d55202bdf9bf676706d090d7afb977df7d0116e,1024,sliced_w2,0.2530852182098764,0.2530852182098764,0.3591752054835098,0.3835362059443273,5000,1036,5000.0,800,800,1,zebrafish
zebrafish,loto_t2,SpaTrack (PCA/Euclidean),joint,0,802572536,36a3f6a28087e8b79c227f1dbe744fe09d0de917fabb266950fbf1efcc6b24ba,1024,sliced_w2,0.0884903631403664,0.0884903631403664,1.2492735569513531,1.280968142875534,5000,2081,5000.0,800,800,2,zebrafish
