panel,source_archive,source_checksum_manifest,source_checksum_manifest_sha256,source_pdf,source_pdf_sha256,delivered_pdf,delivered_pdf_sha256,delivered_svg,delivered_svg_sha256,numerical_truth,style_truth,qa_status,status
Fig. 4a,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_main_fig4_completion_20260825_v1/archive_v1,SHA256SUMS.txt,7fdfa857a2ae99ac63cc966ce8432b97345385b22ac87c2b8298319d85f30cbb,output/mosta_main_fig4_completion_20260825_v1/archive_v1/panels/fig4a/figures/fig4a.pdf,46714b8a416c634ff132f2706cfbf2d5f5d1106ac36eeba1216bdecf2cc589f7,figures/main/Fig4a.pdf,46714b8a416c634ff132f2706cfbf2d5f5d1106ac36eeba1216bdecf2cc589f7,figures/main/Fig4a.svg,6cf2272f8fd0d498cf331d6332b3f567915e7db3b08382d6a780a921bfcc6da0,"Latest accepted package-native corrected MOSTA model output; global t0, 50,000 particles.",Submitted Fig. 4a / original code and AI layout.,Calculation gate PASS; exact-layout style gate PASS; Poppler PDF QA PASS.,ACCEPTED_PASS
Fig. 4b,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_main_fig4_completion_20260825_v1/archive_v1,SHA256SUMS.txt,7fdfa857a2ae99ac63cc966ce8432b97345385b22ac87c2b8298319d85f30cbb,output/mosta_main_fig4_completion_20260825_v1/archive_v1/panels/fig4b/figures/fig4b.pdf,b6f565b16b1c603f5f51df65ad2fb3edca9b17c38ce17cf6c002a927fbba5350,figures/main/Fig4b.pdf,b6f565b16b1c603f5f51df65ad2fb3edca9b17c38ce17cf6c002a927fbba5350,figures/main/Fig4b.svg,348706ed6438b7d78230b9454f9623aace79aaa0b47bd11b212e37816a9f3274,Latest accepted package-native corrected MOSTA spatial annotation result.,Submitted Fig. 4b / original code and AI layout.,"Calculation, biological-interpretation, style, and Poppler PDF gates PASS.",ACCEPTED_PASS
Fig. 4c,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_main_fig4_completion_20260825_v1/archive_v1,SHA256SUMS.txt,7fdfa857a2ae99ac63cc966ce8432b97345385b22ac87c2b8298319d85f30cbb,output/mosta_main_fig4_completion_20260825_v1/archive_v1/panels/fig4c/figures/fig4c.pdf,bc387a82c0409c976cf977f44d91f7b6d0fda54fa2a6b01d31429aea70dc1737,figures/main/Fig4c.pdf,bc387a82c0409c976cf977f44d91f7b6d0fda54fa2a6b01d31429aea70dc1737,figures/main/Fig4c.svg,c8ea47101d249cb9b9b3497bfa44c0f22022c3327432cb1b9ffed07a4d989c38,"Latest package classifier, k=10; accepted E15.0 to E15.5 cartilage-lineage interval.",Submitted Fig. 4c / historical lineage-transition plotting grammar.,Classifier/transition audit PASS; exact-old-style and Poppler PDF gates PASS.,ACCEPTED_PASS
Fig. 4d,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_main_fig4_completion_20260825_v1/archive_v1,SHA256SUMS.txt,7fdfa857a2ae99ac63cc966ce8432b97345385b22ac87c2b8298319d85f30cbb,output/mosta_main_fig4_completion_20260825_v1/archive_v1/panels/fig4d/figures/fig4d.pdf,52c84b237a1944fea2f1cbf0352b64b5b82a2307317752337161b168105c8992,figures/main/Fig4d.pdf,52c84b237a1944fea2f1cbf0352b64b5b82a2307317752337161b168105c8992,figures/main/Fig4d.svg,3f4328299174744489c155385e94fd70903e86ac3275ce5c2016bf0e8aa369eb,Latest accepted package-native corrected MOSTA downstream result.,Submitted Fig. 4d and historical notebook layout.,"Numerical, style, and Poppler PDF gates PASS.",ACCEPTED_PASS
Fig. 4e,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_main_fig4_completion_20260825_v1/archive_v1,SHA256SUMS.txt,7fdfa857a2ae99ac63cc966ce8432b97345385b22ac87c2b8298319d85f30cbb,output/mosta_main_fig4_completion_20260825_v1/archive_v1/panels/fig4e/figures/fig4e.pdf,de1ae3596088fb560f2bf0f817c4cca2b3984dcd7d191793c198d097d78083a5,figures/main/Fig4e.pdf,de1ae3596088fb560f2bf0f817c4cca2b3984dcd7d191793c198d097d78083a5,figures/main/Fig4e.svg,7ec1599860027c5a963389d88ccb0140da4e4324cf3d329fb4fa70311e63b8b5,Latest accepted package-native corrected brain velocity/interaction-velocity result.,Original MOSTA brain velocity notebooks and submitted AI geometry.,Velocity component/basis/annotation audit PASS; exact-source render and Poppler PDF gates PASS.,ACCEPTED_PASS
Fig. S4,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_s4_20260825_v1/archive_v1,CHECKSUMS.sha256,60c69c3dc3cf5c75c5d845fbef75db6e533eeac561caca16664b140d00a64771,output/mosta_si_s4_20260825_v1/archive_v1/figures/Figure_S4_MOSTA_latest_package_global_t0_50k_exact_old_rasterized_points.pdf,347560a2749ab16950727d9c583cba56fc19cc69637b267c03703caf2b89fd7e,figures/si/Figure_S4.pdf,347560a2749ab16950727d9c583cba56fc19cc69637b267c03703caf2b89fd7e,figures/si/Figure_S4.svg,905ff7b14ead941b39a84742955abaffa418b49f565bff3000b1e95a01cc9272,"Shared latest package global-t0 trajectory, 50,000 particles, 13 dense time points.",Exact submitted S4 spatial montage; dense point layers intentionally rasterized inside vector PDF/SVG.,Native geometry/composition audit PASS; 240-dpi Poppler visual QA PASS.,ACCEPTED_PASS
Fig. S5,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_s5_growth_20260825_v1/archive_v1,CHECKSUMS.sha256,96464cc16dd6476e1a91a52c8b2a5da62f65daef061c9328b11282354a8e8914,output/mosta_si_s5_growth_20260825_v1/archive_v1/figures/Figure_S5_MOSTA_latest_package_global_t0_growth_exact_submitted_style.pdf,4fbe2b269ee144e00dda328548875cde823b519b9a7b8a18b108c56281a79ebf,figures/si/Figure_S5.pdf,4fbe2b269ee144e00dda328548875cde823b519b9a7b8a18b108c56281a79ebf,figures/si/Figure_S5.svg,f564ad5670f99a705295f40ce1ba9a58d09883b5581b969e5851b5c8baf1b866,Shared latest package global-t0 result with corrected package-native growth analysis.,Exact submitted growth-panel grammar; dense spatial point layer intentionally rasterized.,Growth/state-alignment/residual audits PASS; 240-dpi Poppler visual QA PASS.,ACCEPTED_PASS
Fig. S6,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_s6_composition_20260825_v1/archive_v1,CHECKSUMS.sha256,ce90886e950cf4bcb5ec8954f033e84d10c9eea5c0821fa1cafb1d2e02c6e821,output/mosta_si_s6_composition_20260825_v1/archive_v1/figures/Figure_S6_MOSTA_latest_package_global_t0_50k_exact_submitted_style.pdf,c7d64bcef512c96cfad54d7ada5f3e8bd273067b2729cf454fa9d5a5ed70c9ac,figures/si/Figure_S6.pdf,c7d64bcef512c96cfad54d7ada5f3e8bd273067b2729cf454fa9d5a5ed70c9ac,figures/si/Figure_S6.svg,fe81ea3b70278acc170c52034bc7f1060d6250f2a4af907b24909c4ac0620567,"Shared latest package global-t0 50,000-particle cell-composition result.",Exact submitted counts/percentage composition grammar and fixed submitted label order.,Composition/growth cross-check PASS; fully vector PDF; 240-dpi Poppler visual QA PASS.,ACCEPTED_PASS
Fig. S7,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_s7_lineage_20260826_v2,SHA256SUMS.txt,36d4e8323e5891a604d3f88e70c73310d62aa90a78a44a20abf63a961056dcfe,output/mosta_si_s7_lineage_20260826_v2/figures/Figure_S7_MOSTA_latest_package_global_t0_fixed_particle_k10_exact_old_plotly_style_Arial.pdf,2f8e498e4161324d7655142024ee14a88b96f6a105dba091783eb5a19950845c,figures/si/Figure_S7.pdf,2f8e498e4161324d7655142024ee14a88b96f6a105dba091783eb5a19950845c,figures/si/Figure_S7.svg,835f92d41db94c98bc9f86c6d57def3ecd3d6e63b9373b991fb6447fbf512542,Latest package global-t0 fixed-particle lineage; latest classifier k=10.,Exact historical Plotly Sankey grammar and Arial typography.,Particle identity/interval/filter audits PASS; 180-dpi Poppler visual QA PASS.,ACCEPTED_PASS
Fig. S8,/Users/zhenyizhang/Desktop/CytoBridge-ST-1104/output/mosta_si_s8_gene_programs_20260826_v1/archive_v1,CHECKSUMS.sha256,161fd22f7a4ec328fa08fab0531ed57d28bb02f2ade349b7f37f4d6724ee94d0,output/mosta_si_s8_gene_programs_20260826_v1/archive_v1/figures/Figure_S8_MOSTA_latest_package_brain_gene_programs_exact_submitted_style.pdf,fe3fbb7d502311f653c6cfcbee42770fdcb2c957c006a2a1e99da318e1e3fc52,figures/si/Figure_S8.pdf,fe3fbb7d502311f653c6cfcbee42770fdcb2c957c006a2a1e99da318e1e3fc52,figures/si/Figure_S8.svg,6210997a1769571c843d2532ee04a1f62c1165cbf1e674c7d39d107f328f9011,Latest package brain gene-program downstream analysis.,Exact submitted brain gene-program heatmap/trajectory grammar.,Gene-program numerical/interpretability audit PASS; 200-dpi Poppler visual QA PASS.,ACCEPTED_PASS
