n_initial,time,n_output,n_labels,range_x,range_y,range_aspect,range_area,q99_x,q99_y,q99_area,covariance_area
30000,0.0,51365,23,2.2455286979675293,3.3353365063667297,0.6732540161033536,7.489593842425251,2.0948917293548583,3.1646683484315874,6.629637549280432,0.4495749021220561
30000,1.0,77369,19,2.662730574607849,3.8250346705317497,0.6961324024385067,10.18503676615995,2.4796788978576663,3.6070414566993714,8.944304583875208,0.6285339213441046
30000,2.0,102519,26,3.0423333644866943,4.658652558922768,0.65305006673221,14.173174113562052,2.8153548169136053,4.366982706338168,12.294605797667574,0.8414809410152406
30000,3.0,113350,26,3.031773090362549,4.725768864154816,0.6415407053355262,14.327458873617758,2.8439492362737657,4.502385548651219,12.804555942496673,0.9171339606695936
30000,0.5,38046,25,2.482773184776306,3.6067589968442917,0.6883668099112226,8.954764521315697,2.220277467370033,3.362897491455078,7.466565525352919,0.5323629456107354
30000,1.5,52021,26,3.0041059255599976,4.190085053443909,0.7169558343668626,12.587459337651225,2.525994217395783,3.792024627327919,9.578632280852723,0.6895003615985051
30000,2.5,60467,27,3.5351405143737793,4.83720526099205,0.7308229284545115,17.100200294474988,2.8169076824188224,4.228276761882007,11.910665293938408,0.8295583480198224
40000,0.0,51365,23,2.2455286979675293,3.3353365063667297,0.6732540161033536,7.489593842425251,2.0948917293548583,3.1646683484315874,6.629637549280432,0.4495749021220561
40000,1.0,77369,19,2.662730574607849,3.8250346705317497,0.6961324024385067,10.18503676615995,2.4796788978576663,3.6070414566993714,8.944304583875208,0.6285339213441046
40000,2.0,102519,26,3.0423333644866943,4.658652558922768,0.65305006673221,14.173174113562052,2.8153548169136053,4.366982706338168,12.294605797667574,0.8414809410152406
40000,3.0,113350,26,3.031773090362549,4.725768864154816,0.6415407053355262,14.327458873617758,2.8439492362737657,4.502385548651219,12.804555942496673,0.9171339606695936
40000,0.5,50829,25,2.4827730655670166,3.605107918381691,0.6886820372027911,8.950664838220437,2.2190194725990295,3.3608427995443346,7.457775616533115,0.5302483745238556
40000,1.5,69405,27,2.991796612739563,4.188899293541908,0.7142202290114882,12.53233471752583,2.5050879240036013,3.781153303384781,9.47212147911554,0.6844834509056369
40000,2.5,80883,28,3.467015027999878,4.789240926504135,0.7239174393614387,16.604370264901895,2.7939210712909666,4.2140660507977,11.773767935135604,0.8209936989846359
50000,0.0,51365,23,2.2455286979675293,3.3353365063667297,0.6732540161033536,7.489593842425251,2.0948917293548583,3.1646683484315874,6.629637549280432,0.4495749021220561
50000,1.0,77369,19,2.662730574607849,3.8250346705317497,0.6961324024385067,10.18503676615995,2.4796788978576663,3.6070414566993714,8.944304583875208,0.6285339213441046
50000,2.0,102519,26,3.0423333644866943,4.658652558922768,0.65305006673221,14.173174113562052,2.8153548169136053,4.366982706338168,12.294605797667574,0.8414809410152406
50000,3.0,113350,26,3.031773090362549,4.725768864154816,0.6415407053355262,14.327458873617758,2.8439492362737657,4.502385548651219,12.804555942496673,0.9171339606695936
50000,0.5,63533,25,2.4959150552749634,3.631265938282013,0.6873401997254448,9.063331325065242,2.217752547264099,3.3647423076629637,7.46216582370682,0.5301748185154496
50000,1.5,86610,26,2.995893716812134,4.211803995072842,0.7113089118859438,12.61811712528297,2.4997902667522434,3.7878275648504505,9.468774478749008,0.6853475137873346
50000,2.5,100871,29,3.492523193359375,4.825396418571472,0.7237795385924612,16.85280890901413,2.796200460195541,4.2196697764098605,11.799042570670467,0.8232744738304608
