time,pair_id,ligand,receptor,pair,cell_type,ligand_mean_as_sender,receptor_mean_as_receiver,incoming,outgoing,total,n_cells,n_compute_cells,n_display_cells,expression_supported_as_sender,expression_supported_as_receiver
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Choroid plexus,0.17719846963882446,0.06811472028493881,0.22473766859384353,0.35764034405093903,0.5823780126447826,462,462,462,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Epidermis,0.0330553837120533,0.20572710037231445,0.12733090360185959,0.18785609611941545,0.31518699972127506,1433,1433,1433,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Meninges,0.004668311215937138,0.09415308386087418,0.11759010357110818,0.01465268177045011,0.13224278534155828,5353,5353,5353,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Jaw and tooth,0.005177232436835766,0.2186741679906845,0.07148900164115082,0.05755499335628304,0.12904399499743385,2651,2651,2651,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cartilage primordium,0.0023204274475574493,0.2643163502216339,0.0396434171099254,0.028916519100637705,0.06855993621056311,3670,3670,3670,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Cavity,0.006966204848140478,0.09909687936306,0.03698168404119998,0.02231975045290245,0.05930143449410243,6431,6431,6431,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Connective tissue,0.001982305897399783,0.19814270734786987,0.03315678683355677,0.018128446826696433,0.051285233660253206,2738,2738,2738,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Muscle,0.0017594293458387256,0.183630108833313,0.030104126054031344,0.019341232244509753,0.049445358298541096,5416,5416,5416,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Mucosal epithelium,0.005671093240380287,0.16626812517642975,0.016542315995506086,0.027554817876132672,0.04409713387163876,600,600,600,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Brain,0.004046232905238867,0.05539463087916374,0.031118740574142278,0.0020921318973607383,0.03321087247150302,11525,11525,11525,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Mesothelium,0.001302088494412601,0.20694556832313538,0.009395846211710378,0.011428631921005756,0.020824478132716134,632,632,632,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Lung primordium,0.0015369639731943607,0.2471616268157959,0.010056212788738663,0.010284511724918378,0.02034072451365704,576,576,576,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Mesentery,0.0013923296937718987,0.1379539668560028,0.008464467068175498,0.008231010479077908,0.016695477547253406,824,824,824,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Urogenital ridge,0.0009663903620094061,0.22845786809921265,0.007614044486775816,0.007443003170350288,0.015057047657126104,1022,1022,1022,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,GI tract,0.0011750253615900874,0.21195538341999054,0.007984836090002253,0.006329443104822072,0.014314279194824324,1497,1497,1497,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Dorsal root ganglion,0.002734517212957144,0.1345275193452835,0.00782853475792923,0.005684288991580381,0.01351282374950961,1348,1348,1348,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Heart,0.0005802289233542979,0.08417846262454987,0.0041444536742748376,0.004462272912229341,0.008606726586504179,1560,1560,1560,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Blood vessel,0.0,0.17154569923877716,0.0048725480601755815,0.0,0.0048725480601755815,1355,1355,1355,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Liver,0.0005932506755925715,0.044163767248392105,0.0008440333483631713,0.0009270707865912948,0.0017711041349544661,1429,1429,1429,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Pancreas,0.0,0.4485943019390106,0.0003645112760236323,0.0,0.0003645112760236323,65,65,65,True,True
0.0,"[""Wnt3a"",""Fzd7_Lrp6""]",Wnt3a,Fzd7_Lrp6,Wnt3a_Fzd7_Lrp6,Kidney,0.0,0.22017186880111694,0.00035191065804570336,0.0,0.00035191065804570336,266,266,266,True,True
