time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,74.76852583781131,31.912075897555045,193,23,23,0,529,Brain,Brain
0.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,89.10460216700872,27.70783723095991,229,25,25,0,625,Brain,Brain
1.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,77.36192829910345,25.703699364515334,205,23,23,0,529,Brain,Brain
1.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,69.98694687596588,25.91876951388938,206,24,24,0,576,Brain,Brain
2.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,62.769116569663424,24.867785038483152,218,27,27,0,729,Brain,Brain
2.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,49.82727016968135,19.755494198655104,235,26,26,0,676,Brain,Brain
3.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,43.31651562919261,16.63960071755459,254,27,27,0,729,Brain,Brain
0.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,10.665626450766878,2.5964080648656402,193,23,23,0,529,Muscle,Muscle
0.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,6.1134688865645614,1.5402649919515408,229,25,25,0,625,Muscle,Muscle
1.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,3.3944276681730736,0.6490955953393274,205,23,23,0,529,Muscle,Muscle
1.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.5587050614497118,0.23731734488589482,206,24,24,0,576,Cavity,Cavity
2.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.1975359841183284,0.30449661192950994,218,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9290769852408647,0.3409166603592863,235,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9707745204237088,0.30163624035982317,254,27,27,0,729,Connective tissue,Connective tissue
0.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,40.344003806996746,6.198012955733972,193,23,23,0,529,Muscle,Muscle
0.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,25.24871882507791,4.59633332553046,229,25,25,0,625,Muscle,Muscle
1.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,14.83603311299476,2.6566255520588946,205,23,23,0,529,Muscle,Liver
1.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,11.471124230487206,2.502376519762487,206,24,24,0,576,Liver,Liver
2.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,9.064153285844316,1.692712920768922,218,27,27,0,729,Liver,Liver
2.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,7.404763708872468,1.3265746167075834,235,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,7.043694006905282,1.3690459450830788,254,27,27,0,729,Liver,Liver
