pair_id,center_time,normalized_prominence
"[""Adcyap1"",""Adcyap1r1""]",0.5,0.28477658894486
"[""Adgre5"",""Cd55b""]",0.5,-0.10491077473115756
"[""Adipoq"",""Adipor1""]",0.5,-0.07030864424304595
"[""Adipoq"",""Adipor2""]",0.5,-0.03802114069524298
"[""Adm"",""Calcr""]",0.5,0.14150232184667033
"[""Adm"",""Calcrl""]",0.5,-0.08924869112021516
"[""Agrn"",""Dag1""]",0.5,0.009803915398834406
"[""Agt"",""Agtr1a""]",0.5,0.008826659366511391
"[""Agt"",""Agtr1b""]",0.5,0.015807871036924714
"[""Agt"",""Mas1""]",0.5,0.06462106547572288
"[""Alcam"",""Cd6""]",0.5,-0.09965942446487658
"[""Amh"",""Amhr2_Acvr1""]",0.5,-0.15554809166302586
"[""Amh"",""Amhr2_Bmpr1a""]",0.5,-0.15554809166302586
"[""Angpt1"",""Tek""]",0.5,-0.09880632122456828
"[""Angpt2"",""Itga5_Itgb1""]",0.5,-0.09574163596089613
"[""Angpt2"",""Tek""]",0.5,-0.0753966760903545
"[""Angptl1"",""Itga1_Itgb1""]",0.5,-0.09358373281208876
"[""Angptl1"",""Pirb""]",0.5,-0.04424909224951523
"[""Angptl2"",""Itga5_Itgb1""]",0.5,-0.09477917176533357
"[""Angptl2"",""Pirb""]",0.5,-0.011210730808748348
"[""Angptl2"",""Tlr4""]",0.5,-0.019766761504559693
"[""Angptl3"",""Itgav_Itgb3""]",0.5,-0.09687487781835147
"[""Angptl4"",""Cdh11""]",0.5,-0.16133868609385488
"[""Angptl4"",""Cdh5""]",0.5,-0.07244520560956691
"[""Angptl4"",""Itga5_Itgb1""]",0.5,-0.08655680267370336
"[""Angptl4"",""Itgav_Itgb3""]",0.5,-0.06809952417055576
"[""Angptl4"",""Sdc1""]",0.5,-0.07016201402030331
"[""Angptl4"",""Sdc2""]",0.5,-0.10776424157721248
"[""Angptl4"",""Sdc3""]",0.5,0.15298984154636686
"[""Angptl4"",""Sdc4""]",0.5,0.03922791078966559
"[""Angptl7"",""Pirb""]",0.5,0.05007158877993023
"[""Anxa1"",""Fpr1""]",0.5,0.2895816074399251
"[""Anxa1"",""Fpr2""]",0.5,0.36678106620103446
"[""Anxa1"",""Fpr2_Fpr3""]",0.5,0.36678106620103446
"[""Apela"",""Aplnr""]",0.5,-0.07788300796386127
"[""Apln"",""Aplnr""]",0.5,-0.047532617173173586
"[""App"",""Cd74""]",0.5,0.08819000286141265
"[""Areg"",""Egfr""]",0.5,0.026265388366295883
"[""Areg"",""Egfr_Erbb2""]",0.5,0.1598914251083271
"[""Artn"",""Gfra1_Ret""]",0.5,0.2549718303197799
"[""Artn"",""Gfra3_Ret""]",0.5,-0.03074868254748242
"[""Avp"",""Avpr1a""]",0.5,0.051304172014583704
"[""Bdnf"",""Ntrk2""]",0.5,-0.0392450468026847
"[""Bmp10"",""Acvrl1_Acvr2a""]",0.5,-0.0008625782308022689
"[""Bmp10"",""Acvrl1_Bmpr2""]",0.5,-0.0008625782308022689
"[""Bmp2"",""Bmpr1a_Acvr2a""]",0.5,-0.06667996968097767
"[""Bmp2"",""Bmpr1a_Acvr2b""]",0.5,-0.0914187082858342
"[""Bmp2"",""Bmpr1a_Bmpr2""]",0.5,-0.10409454708757099
"[""Bmp2"",""Bmpr1b_Acvr2a""]",0.5,-0.0704606374485206
"[""Bmp2"",""Bmpr1b_Acvr2b""]",0.5,-0.09192484479264551
"[""Bmp2"",""Bmpr1b_Bmpr2""]",0.5,-0.15415703702708072
"[""Bmp4"",""Bmpr1a_Acvr2a""]",0.5,-0.1436989947673466
"[""Bmp4"",""Bmpr1a_Acvr2b""]",0.5,-0.16488168545769255
"[""Bmp4"",""Bmpr1a_Bmpr2""]",0.5,-0.17306508678288862
"[""Bmp4"",""Bmpr1b_Acvr2a""]",0.5,-0.14689243469305546
"[""Bmp4"",""Bmpr1b_Acvr2b""]",0.5,-0.16545845711385404
"[""Bmp4"",""Bmpr1b_Bmpr2""]",0.5,-0.21497935583891165
"[""Bmp5"",""Acvr1_Acvr2a""]",0.5,-0.16319464489247032
"[""Bmp5"",""Acvr1_Acvr2b""]",0.5,-0.15021601240287613
"[""Bmp5"",""Acvr1_Bmpr2""]",0.5,-0.17223928315131126
"[""Bmp5"",""Bmpr1a_Acvr2a""]",0.5,-0.12833384598900494
"[""Bmp5"",""Bmpr1a_Acvr2b""]",0.5,-0.15025502036287325
"[""Bmp5"",""Bmpr1a_Bmpr2""]",0.5,-0.16249108873209767
"[""Bmp5"",""Bmpr1b_Acvr2a""]",0.5,-0.13103977702957081
"[""Bmp5"",""Bmpr1b_Acvr2b""]",0.5,-0.15093265031801345
"[""Bmp5"",""Bmpr1b_Bmpr2""]",0.5,-0.20615558525214978
"[""Bmp6"",""Acvr1_Acvr2a""]",0.5,-0.13029886709472405
"[""Bmp6"",""Acvr1_Acvr2b""]",0.5,-0.1260280025210308
"[""Bmp6"",""Acvr1_Bmpr2""]",0.5,-0.14011568552793185
"[""Bmp6"",""Bmpr1a_Acvr2a""]",0.5,-0.10364106108809923
"[""Bmp6"",""Bmpr1a_Acvr2b""]",0.5,-0.12543829532032408
"[""Bmp6"",""Bmpr1a_Bmpr2""]",0.5,-0.13215868669543218
"[""Bmp6"",""Bmpr1b_Acvr2a""]",0.5,-0.10465511933600913
"[""Bmp6"",""Bmpr1b_Acvr2b""]",0.5,-0.12718357865001062
"[""Bmp6"",""Bmpr1b_Bmpr2""]",0.5,-0.16707452998146688
"[""Bmp7"",""Acvr1_Acvr2a""]",0.5,-0.11733746536522172
"[""Bmp7"",""Acvr1_Acvr2b""]",0.5,-0.11393181966781846
"[""Bmp7"",""Acvr1_Bmpr2""]",0.5,-0.12814433547795084
"[""Bmp7"",""Bmpr1a_Acvr2a""]",0.5,-0.08918587787219245
"[""Bmp7"",""Bmpr1a_Acvr2b""]",0.5,-0.11394858783354234
