display_order,submitted_pattern,profile,present_in_corrected_uniform_universe,corrected_component_cluster,normalized_t0,normalized_t0.5,normalized_t1,normalized_t1.5,normalized_t2,normalized_t2.5,normalized_t3
1,1,Col1a1_Itga9_Itgb1,True,1,1.0,0.6177128195900836,0.2540051414481166,0.13700160107614906,0.06516161090003043,0.005164533367172727,0.0
2,1,H2-Q10_Cd8b1,True,1,1.0,0.6044372421492914,0.08094385197422857,0.15530945694967457,0.024356909582810993,0.0,0.6316469651024998
3,1,H2-Q4_Cd8b1,True,1,1.0,0.4896406330271886,0.16540705592411353,0.06551861974263022,0.024455595564359865,0.0,0.025368975492797687
4,1,Col6a4_Itga9_Itgb1,True,1,1.0,0.5373077554809993,0.2240163977058795,0.1115898905842166,0.051840634839067326,0.004990235288046728,0.0
5,1,Wnt10b_Fzd7_Lrp5,True,1,1.0,0.6537058415239323,0.2642916377444198,0.12034324471661947,0.05057544746081906,0.0,0.007928687992488435
6,1,Wnt10b_Fzd7_Lrp6,True,1,1.0,0.6792397179270712,0.2806175623765181,0.134255574650298,0.06066146123379874,0.0,0.005070886825531426
7,1,Scgb3a2_Marco,True,1,1.0,0.6067945096272638,0.15802057499617148,0.6880084872947516,0.3219994546841574,0.0,0.476256257593548
8,1,Col9a3_Itga9_Itgb1,True,1,1.0,0.5260005562469319,0.21418217099182515,0.11514916275042755,0.05874345073576623,0.01754399166093091,0.0
9,1,Tnn_Itga9_Itgb1,True,1,1.0,0.5384673277108434,0.22312707131103987,0.11597420379855916,0.057249980260589674,0.01277455993013039,0.0
10,1,Col2a1_Itga9_Itgb1,True,1,1.0,0.4343058591318793,0.15268511266050055,0.07174607523707932,0.03186811758691294,0.009736583564056501,0.0
11,1,Col1a2_Itga9_Itgb1,True,1,1.0,0.5460581488364391,0.23026491624048057,0.1272111824570968,0.06739188728349901,0.016697458477104146,0.0
12,1,Col9a2_Itga9_Itgb1,True,1,1.0,0.5646535793295996,0.23764328076458086,0.13096315398046748,0.06830342633390227,0.02000743399148224,0.0
13,2,Wnt3a_Fzd7_Lrp5,True,1,1.0,0.4611281825422291,0.16167156130830995,0.06556186973210554,0.023539372596437316,0.0,0.0007409141086915322
14,2,Wnt3a_Fzd7_Lrp6,True,1,1.0,0.4795335564152177,0.17472806670010024,0.07471139300791357,0.029023273116059324,0.0009135242256953062,0.0
15,2,Ptprm_Ptprm,True,1,1.0,0.3613340021376949,0.10673128210442483,0.03921255903017069,0.015020384437260429,0.0023594082105457656,0.0
16,2,Sema3a_Nrp1_Plxna2,True,1,1.0,0.44380946060770726,0.15805033227124032,0.07037719851205317,0.032211660627068,0.008426158332204706,0.0
17,2,Col9a1_Itga9_Itgb1,True,1,1.0,0.46003785735837166,0.16925157528022414,0.081718766355066,0.0378535182286039,0.01021548570572883,0.0
18,2,Col6a5_Itga9_Itgb1,True,1,1.0,0.521157250681622,0.2157159990065671,0.12079027659764245,0.06724296141948596,0.022404920340125725,0.0
19,2,Sema3c_Nrp1_Plxna2,True,1,1.0,0.5150738302352683,0.20299589843275415,0.10291883775837393,0.05286056970251602,0.01549317514845458,0.0
20,2,Sema3c_Nrp2_Plxna2,True,1,1.0,0.547529300348957,0.21800160921500572,0.10971103943712852,0.05702664802546999,0.01741603185680349,0.0
21,2,Lama4_Itga9_Itgb1,True,1,1.0,0.47731588667327257,0.1794835640717117,0.0906886755700039,0.046311920091421224,0.01263406279365696,0.0
22,2,Sema3c_Nrp2_Plxna4,True,1,1.0,0.57242048700887,0.23287831703141684,0.12377723642164505,0.067129570682575,0.01880078010680803,0.0
23,2,Sema3c_Nrp2_Plxna3,True,1,1.0,0.7663549363175786,0.371118498264478,0.22888070193313623,0.13611977163347305,0.04134267382513159,0.0
24,2,Sema3c_Nrp1_Nrp2_Plxnd1,True,1,1.0,0.6425197539070057,0.2863456900481901,0.15568289100513819,0.07918942189263858,0.023705959451463303,0.0
25,2,Sema3c_Nrp2_Plxna1,True,1,1.0,0.535171996666213,0.2186646792330205,0.11739042873765247,0.06341932737403105,0.017235407721761426,0.0
26,2,Lamb2_Itga9_Itgb1,True,1,1.0,0.5409770584451348,0.2212658350969462,0.11862065811645194,0.061427765035243595,0.01574201285896983,0.0
27,2,Btc_Erbb2_Erbb4,True,1,1.0,0.6722865193643107,0.29403583886088613,0.18061082347130605,0.09993377870194195,0.021749875778180695,0.0
28,2,Btc_Erbb4,True,1,1.0,0.5361180301152949,0.19452813122288265,0.09662716536372504,0.04722081837384472,0.011092349014958211,0.0
29,2,Lama3_Itga9_Itgb1,True,1,1.0,0.501203727538448,0.1888576062867885,0.08856845683305814,0.03992260522446054,0.005062243790560649,0.0
30,2,Wnt10a_Fzd7_Lrp5,True,1,1.0,0.5648213105296643,0.22045102858350768,0.09778255632828126,0.04104850169753035,0.0006548013366382183,0.0
31,2,Wnt10a_Fzd7_Lrp6,True,1,1.0,0.5890107410372208,0.23897410343482514,0.11307255538429029,0.052237294262353656,0.003967864235070133,0.0
