seed,time,cell_type,n_available,n_sampled
43,0.0,Blood vessel,1424,353
43,0.0,Brain,11397,2692
43,0.0,Cartilage primordium,3830,952
43,0.0,Cavity,6527,1563
43,0.0,Choroid plexus,432,94
43,0.0,Connective tissue,2567,592
43,0.0,Dorsal root ganglion,1330,321
43,0.0,Epidermis,1180,310
43,0.0,GI tract,1461,357
43,0.0,Heart,1541,351
43,0.0,Jaw and tooth,2587,621
43,0.0,Kidney,266,63
43,0.0,Liver,1391,323
43,0.0,Lung primordium,580,142
43,0.0,Meninges,4868,1189
43,0.0,Mesentery,778,175
43,0.0,Mesothelium,579,114
43,0.0,Mucosal epithelium,554,131
43,0.0,Muscle,5285,1302
43,0.0,Ovary,322,77
43,0.0,Pancreas,44,5
43,0.0,Sympathetic nerve,162,44
43,0.0,Urogenital ridge,895,229
43,0.5,Blood vessel,1272,264
43,0.5,Brain,15055,2767
43,0.5,Cartilage primordium,3705,684
43,0.5,Cavity,7998,1550
43,0.5,Choroid plexus,292,64
43,0.5,Connective tissue,2936,569
43,0.5,Dorsal root ganglion,1647,317
43,0.5,Epidermis,1842,378
43,0.5,GI tract,2408,436
43,0.5,Heart,2056,389
43,0.5,Jaw and tooth,3643,726
43,0.5,Kidney,371,68
43,0.5,Liver,2223,404
43,0.5,Lung,26,3
43,0.5,Lung primordium,606,114
43,0.5,Meninges,4791,962
43,0.5,Mesentery,654,106
43,0.5,Mesothelium,838,146
43,0.5,Mucosal epithelium,665,131
43,0.5,Muscle,9335,1738
43,0.5,Ovary,384,77
43,0.5,Pancreas,8,0
43,0.5,Spinal cord,13,3
43,0.5,Sympathetic nerve,208,44
43,0.5,Urogenital ridge,318,60
43,1.0,Adipose tissue,1,0
43,1.0,Blood vessel,1,0
43,1.0,Brain,18429,2944
43,1.0,Cartilage primordium,3257,511
43,1.0,Cavity,11792,1866
43,1.0,Choroid plexus,219,38
43,1.0,Connective tissue,4506,692
43,1.0,Dorsal root ganglion,2028,308
43,1.0,Epidermis,3781,647
43,1.0,GI tract,3059,488
43,1.0,Heart,2205,335
43,1.0,Jaw and tooth,4821,761
43,1.0,Kidney,312,43
43,1.0,Liver,3257,501
43,1.0,Lung,818,125
43,1.0,Meninges,4330,681
43,1.0,Mesentery,268,47
43,1.0,Mesothelium,371,59
43,1.0,Mucosal epithelium,545,89
43,1.0,Muscle,11384,1770
43,1.0,Ovary,101,15
43,1.0,Pancreas,38,5
43,1.0,Smooth muscle,8,3
43,1.0,Spinal cord,368,53
43,1.0,Sympathetic nerve,124,19
