seed,time,available_cells,communication_cells,n_available_labels,n_sampled_labels,sampled_indices_sha256
43,0.0,50000,12000,23,23,5df4dab030ef883a314169c419abdebba03275339d6249c4ce7dd2364446ebcd
43,0.5,63294,12000,25,24,181d07e5745f2c1912ea169fba1b43a97fa445ea87acdf40aedc15f4fca16df6
43,1.0,76023,12000,25,23,aaea3632a24e18f55208af70578d721b53aba6eb73f27f00b650019266b06b30
43,1.5,86643,12000,26,25,172738a64bf496c2b30cbf88ddbcd7060a28014d0a1c020cecb89b7cf8d68ade
43,2.0,94897,12000,28,27,15cb6c9c9ec79a9d87beedde7bd3da61f22aaab5f1034789facbe76457915683
43,2.5,100920,12000,28,26,ccac4222dfb2d515f913aa1ba43e153a6921bf9531285f99088543143b219f34
43,3.0,105165,12000,27,26,a28764e18c88e3f7e940b4b7238d9f3aed636ba4887aa9c10605ed88a0332c61
44,0.0,50000,12000,23,23,07a549855d081d5be4e3ff93230da9341966dc46dabc040dbf7fbef3768d9a57
44,0.5,63294,12000,25,25,ce89f4612b9b6e3ef4f094e7c647f4f3de08700d0876d607fe9d34b30005f6ea
44,1.0,76023,12000,25,24,0446a4e0ffd058bdbb5af0414f9a2d7132fbd19385203b9eca28cd0580c770d6
44,1.5,86643,12000,26,24,fbdf21296d80649b66f1eece9099b812ea49612e47afe22a2f045a23b5838a4d
44,2.0,94897,12000,28,26,aca3b6432fd870b20b3ed9dbd4ce031bef0ebd2ebafcaebfbf7c561f224f7b43
44,2.5,100920,12000,28,26,3b493986e4f31b1e659c4757ab6d1a306fa95026146c91d806d9a5e1b578fe1e
44,3.0,105165,12000,27,26,a7af5d2137b9942362a909f63933de2858d2bcb54b03b42754faaac9d6ba537a
