time,pair_id,ligand,receptor,pair,score,max_edge,nonzero_edges,n_cell_types,n_expression_supported_cell_types,n_expression_unsupported_cell_types,n_expression_supported_type_edges,peak_sender,peak_receiver
0.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,71.89412088100877,27.27533611907823,179,23,23,0,529,Brain,Brain
0.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,89.31515733394701,26.206740022847526,230,24,24,0,576,Brain,Brain
1.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,77.19481179120852,25.579826596754685,223,23,23,0,529,Brain,Brain
1.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,69.06071270651682,25.15659362621981,248,25,25,0,625,Brain,Brain
2.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,60.97147345193767,24.41036986783642,236,27,27,0,729,Brain,Brain
2.5,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,51.068742065667934,20.117934049771563,242,26,26,0,676,Brain,Brain
3.0,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,Adcyap1_Adcyap1r1,43.56933250649601,17.0712418164447,246,26,26,0,676,Brain,Brain
0.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,11.05387794642888,2.976438914754268,179,23,23,0,529,Muscle,Muscle
0.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,6.174003318207756,1.4897749759358232,230,24,24,0,576,Muscle,Muscle
1.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,3.4383407018793566,0.6461183322806968,223,23,23,0,529,Muscle,Muscle
1.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.5071133837763284,0.23746732431410325,248,25,25,0,625,Cavity,Cavity
2.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,2.116808680500016,0.31339991976796466,236,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9766031097867103,0.3400781660556913,242,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,Adgre5_Cd55b,1.9497001721463671,0.3012595250769875,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,39.93548098833159,7.105203224883824,179,23,23,0,529,Muscle,Muscle
0.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,25.498362816398,4.445665132438845,230,24,24,0,576,Muscle,Muscle
1.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,15.015959683300458,2.555200266250089,223,23,23,0,529,Muscle,Liver
1.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,11.224278048424027,2.4041932723726442,248,25,25,0,625,Liver,Liver
2.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,8.789727169672192,1.671421954513963,236,27,27,0,729,Liver,Liver
2.5,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,7.699845092474234,1.49305057906861,242,26,26,0,676,Liver,Liver
3.0,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,Adipoq_Adipor1,6.844072688276235,1.2606999394772467,246,26,26,0,676,Liver,Liver
0.0,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,19.55000262654974,3.994170237064577,179,23,23,0,529,Muscle,Muscle
0.5,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,13.068634640026266,2.7032168753286094,230,24,24,0,576,Muscle,Muscle
1.0,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,7.931898514793242,1.4027956970636468,223,23,23,0,529,Muscle,Muscle
1.5,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,5.978743059153935,0.744646756690644,248,25,25,0,625,Cavity,Brain
2.0,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,4.810715241034193,0.7399511888994885,236,27,27,0,729,Connective tissue,Connective tissue
2.5,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,4.209502705610106,0.7215839666208931,242,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,Adipoq_Adipor2,3.8072597796738084,0.6077962252983841,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,4.646757288920729,0.8231632628097004,179,23,23,0,529,Meninges,Meninges
0.5,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,4.359446596482577,0.7040960493551349,230,24,24,0,576,Muscle,Muscle
1.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,3.2326175836501756,0.4416664958418979,223,23,23,0,529,Muscle,Muscle
1.5,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,2.6639583599239796,0.4755815109452868,248,25,25,0,625,Brain,Brain
2.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,2.292059006338622,0.5222964624273903,236,27,27,0,729,Brain,Brain
2.5,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,1.9298104342823736,0.4634347260121925,242,26,26,0,676,Brain,Brain
3.0,"[""Adm"",""Calcr""]",Adm,Calcr,Adm_Calcr,1.616589078744405,0.404263538629153,246,26,26,0,676,Brain,Brain
0.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,84.12302714566582,20.66832892669186,179,23,23,0,529,Heart,Heart
0.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,46.02290073171554,9.978074723744024,230,24,24,0,576,Heart,Heart
1.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,23.687743292857,4.287662925547418,223,23,23,0,529,Heart,Heart
1.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,15.631912545624328,2.1336658903029035,248,25,25,0,625,Heart,Cavity
2.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,11.969959828553542,1.957691588453558,236,27,27,0,729,Heart,Connective tissue
2.5,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,9.538119466740989,1.550297129202206,242,26,26,0,676,Connective tissue,Connective tissue
3.0,"[""Adm"",""Calcrl""]",Adm,Calcrl,Adm_Calcrl,7.509354433983285,1.058587767871836,246,26,26,0,676,Connective tissue,Connective tissue
0.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,24362.20874885144,4118.899532462949,179,23,23,0,529,Muscle,Muscle
0.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,17536.470301946672,3040.101332825995,230,24,24,0,576,Muscle,Muscle
1.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,10922.752447044179,1555.6026639805084,223,23,23,0,529,Muscle,Muscle
1.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,8153.847652339316,1381.545667519456,248,25,25,0,625,Brain,Brain
2.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,6787.665732068688,1454.0638604701883,236,27,27,0,729,Brain,Brain
2.5,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,5867.1772553102655,1303.3540747366428,242,26,26,0,676,Brain,Brain
3.0,"[""Agrn"",""Dag1""]",Agrn,Dag1,Agrn_Dag1,5319.642361912936,1219.5188942007403,246,26,26,0,676,Brain,Brain
