profile,pair_id,ligand,receptor,cluster
Adcyap1_Adcyap1r1,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1,Adcyap1r1,2
Adgre5_Cd55b,"[""Adgre5"",""Cd55b""]",Adgre5,Cd55b,1
Adipoq_Adipor1,"[""Adipoq"",""Adipor1""]",Adipoq,Adipor1,1
Adipoq_Adipor2,"[""Adipoq"",""Adipor2""]",Adipoq,Adipor2,1
Adm_Calcr,"[""Adm"",""Calcr""]",Adm,Calcr,1
Adm_Calcrl,"[""Adm"",""Calcrl""]",Adm,Calcrl,1
Agrn_Dag1,"[""Agrn"",""Dag1""]",Agrn,Dag1,1
Agt_Agtr1a,"[""Agt"",""Agtr1a""]",Agt,Agtr1a,1
Agt_Agtr1b,"[""Agt"",""Agtr1b""]",Agt,Agtr1b,1
Agt_Mas1,"[""Agt"",""Mas1""]",Agt,Mas1,1
Alcam_Cd6,"[""Alcam"",""Cd6""]",Alcam,Cd6,1
Amh_Amhr2_Acvr1,"[""Amh"",""Amhr2_Acvr1""]",Amh,Amhr2_Acvr1,1
Amh_Amhr2_Bmpr1a,"[""Amh"",""Amhr2_Bmpr1a""]",Amh,Amhr2_Bmpr1a,1
Angpt1_Tek,"[""Angpt1"",""Tek""]",Angpt1,Tek,1
Angpt2_Itga5_Itgb1,"[""Angpt2"",""Itga5_Itgb1""]",Angpt2,Itga5_Itgb1,1
Angpt2_Tek,"[""Angpt2"",""Tek""]",Angpt2,Tek,1
Angptl1_Itga1_Itgb1,"[""Angptl1"",""Itga1_Itgb1""]",Angptl1,Itga1_Itgb1,1
Angptl1_Pirb,"[""Angptl1"",""Pirb""]",Angptl1,Pirb,1
Angptl2_Itga5_Itgb1,"[""Angptl2"",""Itga5_Itgb1""]",Angptl2,Itga5_Itgb1,1
Angptl2_Pirb,"[""Angptl2"",""Pirb""]",Angptl2,Pirb,1
Angptl2_Tlr4,"[""Angptl2"",""Tlr4""]",Angptl2,Tlr4,1
Angptl3_Itgav_Itgb3,"[""Angptl3"",""Itgav_Itgb3""]",Angptl3,Itgav_Itgb3,1
Angptl4_Cdh11,"[""Angptl4"",""Cdh11""]",Angptl4,Cdh11,1
Angptl4_Cdh5,"[""Angptl4"",""Cdh5""]",Angptl4,Cdh5,1
Angptl4_Itga5_Itgb1,"[""Angptl4"",""Itga5_Itgb1""]",Angptl4,Itga5_Itgb1,1
