display_order,cluster,within_cluster_order,pair_id,pair,ligand,receptor,cluster_seed42,cluster_seed43,cluster_seed44,geometric_mean_total_score,mean_prototype_squared_distance,selection_policy
1,1,1,"[""Col1a2"",""Itga11_Itgb1""]",Col1a2_Itga11_Itgb1,Col1a2,Itga11_Itgb1,1,1,1,135771.39537128757,9.391257498999875e-05,stable_all_seeds_then_top_half_strength_then_prototype_distance
2,1,2,"[""Jag1"",""Notch4""]",Jag1_Notch4,Jag1,Notch4,1,1,1,1610.3097653563668,0.00013111016766660972,stable_all_seeds_then_top_half_strength_then_prototype_distance
3,1,3,"[""Efnb3"",""Ephb2""]",Efnb3_Ephb2,Efnb3,Ephb2,1,1,1,18485.179739056563,0.00017439773873006062,stable_all_seeds_then_top_half_strength_then_prototype_distance
4,1,4,"[""Col1a2"",""Sdc1""]",Col1a2_Sdc1,Col1a2,Sdc1,1,1,1,432520.74207933614,0.00019148254296661195,stable_all_seeds_then_top_half_strength_then_prototype_distance
5,1,5,"[""Sema4d"",""Plxnb2""]",Sema4d_Plxnb2,Sema4d,Plxnb2,1,1,1,7310.037134143731,0.000211187471434779,stable_all_seeds_then_top_half_strength_then_prototype_distance
6,1,6,"[""Nrg4"",""Erbb2_Erbb4""]",Nrg4_Erbb2_Erbb4,Nrg4,Erbb2_Erbb4,1,1,1,596.7825125711908,0.0002328390910971287,stable_all_seeds_then_top_half_strength_then_prototype_distance
7,1,7,"[""Ihh"",""Ptch1_Smo""]",Ihh_Ptch1_Smo,Ihh,Ptch1_Smo,1,1,1,682.313279349112,0.00030749567713449184,stable_all_seeds_then_top_half_strength_then_prototype_distance
8,1,8,"[""Thbs1"",""Itgav_Itgb3""]",Thbs1_Itgav_Itgb3,Thbs1,Itgav_Itgb3,1,1,1,1277.5575701420269,0.00031300903948528293,stable_all_seeds_then_top_half_strength_then_prototype_distance
9,1,9,"[""Col6a2"",""Itga9_Itgb1""]",Col6a2_Itga9_Itgb1,Col6a2,Itga9_Itgb1,1,1,1,41197.92777628303,0.0003181533185365063,stable_all_seeds_then_top_half_strength_then_prototype_distance
10,1,10,"[""Apln"",""Aplnr""]",Apln_Aplnr,Apln,Aplnr,1,1,1,659.0881862377009,0.00033266091599979346,stable_all_seeds_then_top_half_strength_then_prototype_distance
11,1,11,"[""Thbs2"",""Sdc1""]",Thbs2_Sdc1,Thbs2,Sdc1,1,1,1,10301.913251501997,0.0004130620522292512,stable_all_seeds_then_top_half_strength_then_prototype_distance
12,1,12,"[""Wnt3"",""Fzd1_Lrp6""]",Wnt3_Fzd1_Lrp6,Wnt3,Fzd1_Lrp6,1,1,1,651.639188293886,0.00041790820468337147,stable_all_seeds_then_top_half_strength_then_prototype_distance
13,2,1,"[""Nrxn3"",""Nlgn3""]",Nrxn3_Nlgn3,Nrxn3,Nlgn3,2,2,2,16359.587939290728,0.004276811920562669,stable_all_seeds_then_top_half_strength_then_prototype_distance
14,2,2,"[""Tac1"",""Tacr1""]",Tac1_Tacr1,Tac1,Tacr1,2,2,2,161.4508690652834,0.008281973303051561,stable_all_seeds_then_top_half_strength_then_prototype_distance
15,2,3,"[""Pomc"",""Oprl1""]",Pomc_Oprl1,Pomc,Oprl1,2,2,2,1034.1685925836991,0.01082531093881918,stable_all_seeds_then_top_half_strength_then_prototype_distance
16,2,4,"[""Cntn2"",""Cntn2""]",Cntn2_Cntn2,Cntn2,Cntn2,2,2,2,7486.249643501016,0.012631392246877772,stable_all_seeds_then_top_half_strength_then_prototype_distance
17,2,5,"[""Cntn2"",""Cntn2_Cntnap2""]",Cntn2_Cntn2_Cntnap2,Cntn2,Cntn2_Cntnap2,2,2,2,7486.249643501016,0.012631392246877772,stable_all_seeds_then_top_half_strength_then_prototype_distance
18,2,6,"[""Adcyap1"",""Adcyap1r1""]",Adcyap1_Adcyap1r1,Adcyap1,Adcyap1r1,2,2,2,466.16705782305314,0.015353922722017252,stable_all_seeds_then_top_half_strength_then_prototype_distance
19,2,7,"[""Cxcl13"",""Ackr1""]",Cxcl13_Ackr1,Cxcl13,Ackr1,2,2,2,226.8461765694654,0.021370545709364853,stable_all_seeds_then_top_half_strength_then_prototype_distance
20,2,8,"[""Col9a3"",""Cd44""]",Col9a3_Cd44,Col9a3,Cd44,2,2,2,2819680.4707284383,0.02591010118691718,stable_all_seeds_then_top_half_strength_then_prototype_distance
21,2,9,"[""Sema4a"",""Nrp1_Plxna3""]",Sema4a_Nrp1_Plxna3,Sema4a,Nrp1_Plxna3,2,2,2,1444.1672868965709,0.027087636655857162,stable_all_seeds_then_top_half_strength_then_prototype_distance
22,2,10,"[""L1cam"",""Itgav_Itgb3""]",L1cam_Itgav_Itgb3,L1cam,Itgav_Itgb3,2,2,2,535.0177672383863,0.030206025910498507,stable_all_seeds_then_top_half_strength_then_prototype_distance
23,2,11,"[""Penk"",""Oprl1""]",Penk_Oprl1,Penk,Oprl1,2,2,2,4280.798182665542,0.030558477346383436,stable_all_seeds_then_top_half_strength_then_prototype_distance
24,3,1,"[""Col6a2"",""Cd44""]",Col6a2_Cd44,Col6a2,Cd44,3,3,3,3221992.648721872,0.05710194853018615,stable_all_seeds_then_top_half_strength_then_prototype_distance
25,3,2,"[""Col6a1"",""Cd44""]",Col6a1_Cd44,Col6a1,Cd44,3,3,3,3315286.308730547,0.05993654564940697,stable_all_seeds_then_top_half_strength_then_prototype_distance
