time,count,mean,median,min,max,mean_adjacent_change,median_adjacent_change
0.0,11397,0.5034122603907168,0.47166875,0.042017944,1.1214195,,
0.25,13108,0.4612760681515868,0.43482201,-0.012100222,1.0591317,-0.042136192239130066,-0.036846740000000044
0.5,15055,0.41327922707892395,0.39567155,-0.05204363,0.99406195,-0.04799684107266283,-0.03915046
0.75,17019,0.36338039560579943,0.35526246,-0.05545508,0.9105267,-0.049898831473124516,-0.04040908999999998
1.0,18429,0.3140600497895014,0.31130928,-0.103726536,0.82152146,-0.04932034581629802,-0.04395317999999998
1.25,19975,0.26665066252766456,0.26774088,-0.14302455,0.7320946,-0.047409387261836855,-0.04356840000000001
1.5,21568,0.22084053799516937,0.22440527,-0.1713376,0.64566696,-0.045810124532495194,-0.043335610000000024
1.75,23255,0.17884886122223995,0.18311568,-0.19844817,0.5646197,-0.04199167677292942,-0.04128958999999999
2.0,24684,0.1417535144044548,0.14551197,-0.22475876,0.4936641,-0.037095346817785146,-0.03760371000000001
2.25,25919,0.10895929019321747,0.111831956,-0.21992782,0.4321348,-0.03279422421123733,-0.033680013999999994
2.5,26952,0.08115582668752318,0.0840406925,-0.23747185,0.37452528,-0.027803463505694292,-0.027791263499999996
2.75,27454,0.05761191303244544,0.0597677415,-0.24736999,0.3300748,-0.023543913655077735,-0.024272951
3.0,27595,0.03848752854513999,0.04141084,-0.2547875,0.28217697,-0.019124384487305454,-0.0183569015
