time,cell_index,x,y,growth,final_knn10_brain_support,retained_in_figure
0.0,8940,-0.032280218,3.524812,0.32253626,1,True
0.0,16951,-0.44338524,3.3554175,0.83509684,1,True
0.0,19022,0.7230798,2.840361,0.2526967,1,True
0.0,29382,-0.38716105,0.5743873,0.39511085,1,True
0.0,46204,0.38875556,2.9901419,0.3835904,1,True
0.0,49857,-0.75754964,3.244729,0.48489684,1,True
0.25,7050,0.39525223,3.1014044,0.28244507,1,True
0.25,15021,-0.083241165,3.1815095,0.15007994,1,True
0.25,19173,0.52163756,2.928038,0.38771185,1,True
0.25,22514,-0.64217436,3.4323616,0.13968618,1,True
0.25,26796,0.07594265,3.6122546,0.2971496,1,True
0.25,29364,-0.5055334,3.4514792,0.42577136,1,True
0.5,10528,-0.11313231,2.4926474,0.2529285,1,True
0.5,11373,-0.4418179,2.5009265,0.23264317,1,True
0.5,11966,-0.03604596,2.7374737,0.4426631,1,True
0.5,14999,-0.018762149,3.0248923,0.18828394,1,True
0.5,17665,0.42468038,3.1526194,0.2101218,1,True
0.5,19033,-1.1603147,2.8955648,0.13859887,1,True
0.5,19937,-1.1373895,2.8950963,0.3158543,1,True
0.5,21312,-0.9142533,3.133262,0.39843747,1,True
0.5,41229,0.21144195,2.5808256,0.24669798,1,True
0.5,60870,-0.79919994,2.725032,0.38114226,1,True
0.75,868,0.32108068,2.6401181,0.021543855,1,True
0.75,5626,0.45309645,2.5909295,0.06722503,1,True
0.75,7016,-0.3782947,3.731991,0.071770035,1,True
0.75,7736,0.95913553,2.8191597,0.262279,1,True
0.75,10807,0.5378298,3.1535766,0.38592878,1,True
0.75,21625,0.6689331,3.0929987,0.4383157,1,True
0.75,25139,0.8875551,2.6578214,0.2992196,1,True
0.75,28699,0.53234744,3.213898,0.12801893,1,True
0.75,36709,-0.25061235,2.5172997,0.6394772,1,True
0.75,39877,-0.8923089,2.7864368,0.22749102,1,True
0.75,41486,0.27372053,2.6545043,0.12316919,1,True
0.75,61117,0.3390459,3.5957496,0.5724557,1,True
0.75,63618,-1.0396658,3.0418453,0.11830073,1,True
0.75,63794,-0.5242914,3.5925431,0.09934658,1,True
0.75,66513,0.25840145,2.6468973,0.21265244,1,True
0.75,67767,-0.82371384,3.419465,0.11673755,1,True
1.0,12375,0.303066,2.4883637,0.48127824,1,True
1.0,13243,0.9176747,2.863343,0.5828782,1,True
1.0,18810,-0.0012401175,2.5276546,0.40419602,1,True
1.0,25161,-1.1883317,2.7853954,0.22613035,1,True
