celltype,mean_fraction,in_submitted_display
Brain,0.25015055862109203,True
Cavity,0.13448796713989197,True
Connective tissue,0.11462908595507673,True
Muscle,0.08067176879878571,True
Jaw and tooth,0.06223813890405035,True
Meninges,0.056237113179146085,True
Liver,0.0466061795738851,True
Cartilage primordium,0.0416522530626724,True
Epidermis,0.03569711566265801,True
Heart,0.03477273314195209,True
Spinal cord,0.03196589723724115,True
Dorsal root ganglion,0.024962740440697802,True
GI tract,0.024372162377617048,True
Lung,0.010816140829989683,False
Mucosal epithelium,0.006774693603303354,False
Blood vessel,0.006487170553551235,False
Smooth muscle,0.00528760734313836,False
Mesothelium,0.004432690898158787,False
Mesentery,0.004343092972777524,False
Adipose tissue,0.0042919310886362135,True
Kidney,0.0037134264416652236,False
Choroid plexus,0.0036277901823370843,False
Urogenital ridge,0.0028517761557275614,False
Lung primordium,0.0026438663970632615,False
Cartilage,0.002161181678141817,True
Ovary,0.001820404196266563,False
Sympathetic nerve,0.0013414387637228323,False
Pancreas,0.0005954389683371383,False
Adrenal gland,0.0001514080773010556,False
Inner ear,0.00011803246602531305,False
Facial nerve,8.722351945268912e-05,False
Olfactory epithelium,1.0971769636723077e-05,False
