time_index,time,total,n_labels,fraction_sum,max_fraction_error,h5ad_label_counts_exact,state_sha256
0,0.0,50000,23,1.0,0.0,True,0a8da2286bb583e0d3ec2abcf8fb63df22067cf90356b9aa761cb0f832f87911
1,0.25,56678,24,0.9999999999999991,9.71445146547012e-17,True,41ff4ecfd3ce27e2135537ffa5040d97414ef9cf4fc1b8d98b67071a1d7f4586
2,0.5,63294,25,0.9999999999999989,9.020562075079397e-17,True,c93ced84bc95840fed0fbc8a8af2c72fbc152cadad35f3c83dce9fd7e86ab1f1
3,0.75,69774,26,0.9999999999999988,8.500145032286355e-17,True,63a4ac5420ba076fb9396e11598a2408aaa743451e4469e40e1ca64cbb26da06
4,1.0,76023,25,0.9999999999999987,9.584347204771859e-17,True,e9a06dbde3e5dc87e5c6274e4dbcfe37483a94ae87250c27e24c04bd8b2c7df1
5,1.25,81521,26,0.9999999999999989,9.985502008591496e-17,True,4f64675bf168746494cb9f78c73ea8f748146d2593f3caad02fdce8f1ff0fdd4
6,1.5,86643,26,0.999999999999999,9.118140270603092e-17,True,df6fcdbb8750a2fb2be291f544ccb037abbeb557b7ad79fc0b1cbcad2a3d205b
7,1.75,91112,28,0.9999999999999988,9.676504389433127e-17,True,c821fdd82ee10c44212d1cd2576c43c372e9bd8f71ad911e501fb726d78e3116
8,2.0,94897,28,0.9999999999999987,9.80118763926896e-17,True,14be08446516f28f7b669debc432409ed030a1506144f94c5d532f1f25112daf
9,2.25,98198,28,0.9999999999999987,9.71445146547012e-17,True,322c98cf0b456847633cbdaa7ffdad96b9ad384ae956e69be591096ff844402d
10,2.5,100920,28,0.9999999999999989,9.871660780480518e-17,True,f06bd310f43bd538c0806bce64da4ccafd05db5f0f8576988f164bd3dfe3f2c5
11,2.75,103271,26,0.9999999999999987,9.86217401147127e-17,True,106ab1cefc17bdbca0b7df2844ee3fc435d15c5365b668238676071bec491ee8
12,3.0,105165,27,0.9999999999999991,9.194034422677078e-17,True,5d68a7778d6ac70ce9d4232b1a3827ea6784c73908bf7828bc5bbd8e4735e78b
