time_start,time_end,total_start,total_end,realized_log_growth_rate,growth_net_mean_start,growth_net_mean_end,growth_net_interval_endpoint_mean,absolute_error
0.0,0.25,50000,56678,0.5014524918266888,0.536843097434758,0.4701419106243329,0.5034925040295455,0.002040012202856656
0.25,0.5,56678,63294,0.4416176381716331,0.4701419106243329,0.40941385644367295,0.43977788353400293,0.0018397546376301421
0.5,0.75,63294,69774,0.38988363844493784,0.40941385644367295,0.3539398920199925,0.3816768742318327,0.008206764213105122
0.75,1.0,69774,76023,0.3430979141704712,0.3539398920199925,0.30310243401765485,0.32852116301882367,0.014576751151647527
1.0,1.25,76023,81521,0.2792989187440534,0.30310243401765485,0.25657609906375867,0.2798392665407068,0.0005403477966534065
1.25,1.5,81521,86643,0.24374228945782583,0.25657609906375867,0.21472007524005526,0.23564808715190697,0.008094202305918868
1.5,1.75,86643,91112,0.2011731633600045,0.21472007524005526,0.17793829296766636,0.1963291841038608,0.004843979256143688
1.75,2.0,91112,94897,0.16281029568304894,0.17793829296766636,0.14621463462554354,0.16207646379660495,0.0007338318864439919
2.0,2.25,94897,98198,0.13677502264571156,0.14621463462554354,0.11940440318278409,0.13280951890416381,0.003965503741547749
2.25,2.5,98198,100920,0.10936910087446695,0.11940440318278409,0.09695577436918491,0.1081800887759845,0.0011890120984824476
2.5,2.75,100920,103271,0.09211390887154473,0.09695577436918491,0.07841989540108768,0.08768783488513629,0.004426073986408444
2.75,3.0,103271,105165,0.07269577734519009,0.07841989540108768,0.06307608330026244,0.07074798935067506,0.0019477879945150323
