source_time,target_time,source,target,count,source_fraction
0.0,0.5,Blood vessel,Blood vessel,678,0.4829059829059829
0.0,0.5,Blood vessel,Heart,229,0.1631054131054131
0.0,0.5,Blood vessel,Cavity,202,0.14387464387464388
0.0,0.5,Blood vessel,Muscle,108,0.07692307692307693
0.0,0.5,Brain,Brain,10521,0.9228137882641874
0.0,0.5,Cartilage primordium,Cartilage primordium,2293,0.5891572456320657
0.0,0.5,Cartilage primordium,Muscle,994,0.25539568345323743
0.0,0.5,Cavity,Cavity,4659,0.7205381998144138
0.0,0.5,Cavity,Epidermis,380,0.05876894525208785
0.0,0.5,Cavity,Liver,309,0.04778843179709248
0.0,0.5,Choroid plexus,Brain,209,0.46860986547085204
0.0,0.5,Choroid plexus,Choroid plexus,164,0.36771300448430494
0.0,0.5,Connective tissue,Connective tissue,1422,0.5535227715064227
0.0,0.5,Connective tissue,Muscle,677,0.2635266640716232
0.0,0.5,Dorsal root ganglion,Dorsal root ganglion,1109,0.8550501156515035
0.0,0.5,Epidermis,Epidermis,573,0.471993410214168
0.0,0.5,Epidermis,Cavity,319,0.2627677100494234
0.0,0.5,Epidermis,Jaw and tooth,151,0.1243822075782537
0.0,0.5,GI tract,GI tract,1135,0.7752732240437158
0.0,0.5,GI tract,Cavity,192,0.13114754098360656
0.0,0.5,Heart,Heart,1278,0.8239845261121856
0.0,0.5,Jaw and tooth,Jaw and tooth,2269,0.8686830015313936
0.0,0.5,Kidney,Kidney,194,0.7211895910780669
0.0,0.5,Kidney,Cavity,26,0.09665427509293681
0.0,0.5,Liver,Liver,1258,0.9096167751265365
0.0,0.5,Lung primordium,Lung primordium,373,0.636518771331058
0.0,0.5,Lung primordium,Cavity,95,0.1621160409556314
0.0,0.5,Lung primordium,Heart,36,0.06143344709897611
0.0,0.5,Meninges,Meninges,3326,0.6845029841531179
0.0,0.5,Meninges,Brain,918,0.18892776291417987
0.0,0.5,Mesentery,Mesentery,422,0.541025641025641
0.0,0.5,Mesentery,GI tract,158,0.20256410256410257
0.0,0.5,Mesentery,Epidermis,78,0.1
0.0,0.5,Mesothelium,Mesothelium,366,0.6332179930795848
0.0,0.5,Mesothelium,Muscle,155,0.2681660899653979
0.0,0.5,Mucosal epithelium,Mucosal epithelium,285,0.5200729927007299
0.0,0.5,Mucosal epithelium,Muscle,122,0.22262773722627738
0.0,0.5,Mucosal epithelium,Cavity,32,0.058394160583941604
0.0,0.5,Muscle,Muscle,4315,0.8129238884702336
0.0,0.5,Ovary,Ovary,235,0.7208588957055214
0.0,0.5,Ovary,Cavity,30,0.09202453987730061
0.0,0.5,Pancreas,Cavity,22,0.5641025641025641
0.0,0.5,Pancreas,GI tract,9,0.23076923076923078
0.0,0.5,Pancreas,Pancreas,8,0.20512820512820512
0.0,0.5,Sympathetic nerve,Sympathetic nerve,96,0.6114649681528662
0.0,0.5,Sympathetic nerve,Cavity,21,0.1337579617834395
0.0,0.5,Sympathetic nerve,Blood vessel,16,0.10191082802547771
0.0,0.5,Urogenital ridge,Urogenital ridge,167,0.19623971797884843
0.0,0.5,Urogenital ridge,Muscle,161,0.1891891891891892
0.0,0.5,Urogenital ridge,Cavity,99,0.11633372502937721
0.0,0.5,Urogenital ridge,Mesothelium,97,0.11398354876615746
0.0,0.5,Urogenital ridge,Connective tissue,90,0.10575793184488837
0.0,0.5,Urogenital ridge,GI tract,77,0.09048178613396005
0.5,1.0,Blood vessel,Cavity,651,0.7233333333333334
0.5,1.0,Blood vessel,Heart,160,0.17777777777777778
0.5,1.0,Brain,Brain,10482,0.8952852750256235
0.5,1.0,Cartilage primordium,Cartilage primordium,1369,0.4543644208430136
0.5,1.0,Cartilage primordium,Muscle,851,0.2824427480916031
0.5,1.0,Cartilage primordium,Connective tissue,442,0.1466976435446399
0.5,1.0,Cavity,Cavity,4630,0.6695589298626174
0.5,1.0,Cavity,Epidermis,628,0.09081706435285611
0.5,1.0,Cavity,Liver,280,0.04049168474331164
0.5,1.0,Choroid plexus,Brain,199,0.67003367003367
0.5,1.0,Choroid plexus,Choroid plexus,67,0.2255892255892256
0.5,1.0,Connective tissue,Connective tissue,1108,0.4995491433724076
0.5,1.0,Connective tissue,Muscle,494,0.22272317403065825
0.5,1.0,Connective tissue,Cavity,246,0.1109107303877367
0.5,1.0,Dorsal root ganglion,Dorsal root ganglion,1135,0.8618071374335611
0.5,1.0,Epidermis,Epidermis,762,0.5442857142857143
0.5,1.0,Epidermis,Cavity,241,0.17214285714285715
0.5,1.0,Epidermis,Jaw and tooth,197,0.1407142857142857
0.5,1.0,GI tract,GI tract,1058,0.6183518410286383
0.5,1.0,GI tract,Cavity,397,0.2320280537697253
0.5,1.0,Heart,Heart,1295,0.7735961768219832
0.5,1.0,Heart,Cavity,328,0.1959378733572282
0.5,1.0,Jaw and tooth,Jaw and tooth,2547,0.881619937694704
0.5,1.0,Kidney,Kidney,143,0.5088967971530249
0.5,1.0,Kidney,GI tract,87,0.3096085409252669
0.5,1.0,Liver,Liver,1542,0.9091981132075472
0.5,1.0,Lung,Lung,8,0.8
0.5,1.0,Lung primordium,Lung,319,0.6980306345733042
0.5,1.0,Lung primordium,Cavity,51,0.11159737417943107
0.5,1.0,Meninges,Meninges,2682,0.6253205875495453
0.5,1.0,Meninges,Brain,903,0.2105385870832362
0.5,1.0,Mesentery,Epidermis,244,0.4295774647887324
0.5,1.0,Mesentery,GI tract,140,0.24647887323943662
0.5,1.0,Mesentery,Cavity,99,0.1742957746478873
0.5,1.0,Mesothelium,Cavity,284,0.4663382594417077
0.5,1.0,Mesothelium,Mesothelium,133,0.21839080459770116
0.5,1.0,Mesothelium,Muscle,104,0.17077175697865354
0.5,1.0,Mucosal epithelium,Mucosal epithelium,177,0.367983367983368
0.5,1.0,Mucosal epithelium,Cavity,103,0.21413721413721415
0.5,1.0,Mucosal epithelium,Muscle,96,0.1995841995841996
0.5,1.0,Mucosal epithelium,Connective tissue,43,0.0893970893970894
0.5,1.0,Muscle,Muscle,4794,0.7032418952618454
0.5,1.0,Muscle,Connective tissue,829,0.12160774534252604
0.5,1.0,Ovary,GI tract,116,0.3670886075949367
0.5,1.0,Ovary,Cavity,65,0.20569620253164558
0.5,1.0,Ovary,Ovary,63,0.19936708860759494
