source_time,target_time,source,kept_count,edge_out_count,node_count,kept_fraction
0.0,0.5,Blood vessel,1217,1404,1404,0.8668091168091168
0.0,0.5,Brain,10521,11401,11401,0.9228137882641874
0.0,0.5,Cartilage primordium,3287,3892,3892,0.8445529290853032
0.0,0.5,Cavity,5348,6466,6466,0.8270955768635941
0.0,0.5,Choroid plexus,373,446,446,0.8363228699551569
0.0,0.5,Connective tissue,2099,2569,2569,0.8170494355780459
0.0,0.5,Dorsal root ganglion,1109,1297,1297,0.8550501156515035
0.0,0.5,Epidermis,1043,1214,1214,0.8591433278418451
0.0,0.5,GI tract,1327,1464,1464,0.9064207650273224
0.0,0.5,Heart,1278,1551,1551,0.8239845261121856
0.0,0.5,Jaw and tooth,2269,2612,2612,0.8686830015313936
0.0,0.5,Kidney,220,269,269,0.8178438661710037
0.0,0.5,Liver,1258,1383,1383,0.9096167751265365
0.0,0.5,Lung primordium,504,586,586,0.8600682593856656
0.0,0.5,Meninges,4244,4859,4859,0.8734307470672978
0.0,0.5,Mesentery,658,780,780,0.8435897435897436
0.0,0.5,Mesothelium,521,578,578,0.9013840830449827
0.0,0.5,Mucosal epithelium,439,548,548,0.801094890510949
0.0,0.5,Muscle,4315,5308,5308,0.8129238884702336
0.0,0.5,Ovary,265,326,326,0.8128834355828221
0.0,0.5,Pancreas,39,39,39,1.0
0.0,0.5,Sympathetic nerve,133,157,157,0.8471337579617835
0.0,0.5,Urogenital ridge,691,851,851,0.8119858989424207
0.5,1.0,Blood vessel,811,900,900,0.9011111111111111
0.5,1.0,Brain,10482,11708,11708,0.8952852750256235
0.5,1.0,Cartilage primordium,2662,3013,3013,0.8835048124792566
0.5,1.0,Cavity,5538,6915,6915,0.8008676789587853
0.5,1.0,Choroid plexus,266,297,297,0.8956228956228957
0.5,1.0,Connective tissue,1848,2218,2218,0.8331830477908025
0.5,1.0,Dorsal root ganglion,1135,1317,1317,0.8618071374335611
0.5,1.0,Epidermis,1200,1400,1400,0.8571428571428571
0.5,1.0,GI tract,1455,1711,1711,0.8503798947983635
0.5,1.0,Heart,1623,1674,1674,0.9695340501792115
0.5,1.0,Jaw and tooth,2547,2889,2889,0.881619937694704
0.5,1.0,Kidney,230,281,281,0.8185053380782918
0.5,1.0,Liver,1542,1696,1696,0.9091981132075472
0.5,1.0,Lung,8,10,10,0.8
0.5,1.0,Lung primordium,370,457,457,0.8096280087527352
0.5,1.0,Meninges,3585,4289,4289,0.8358591746327816
0.5,1.0,Mesentery,483,568,568,0.8503521126760564
0.5,1.0,Mesothelium,521,609,609,0.8555008210180624
0.5,1.0,Mucosal epithelium,419,481,481,0.8711018711018711
0.5,1.0,Muscle,5623,6817,6817,0.8248496406043714
0.5,1.0,Ovary,278,316,316,0.879746835443038
0.5,1.0,Pancreas,14,14,14,1.0
0.5,1.0,Spinal cord,15,15,15,1.0
0.5,1.0,Sympathetic nerve,162,165,165,0.9818181818181818
0.5,1.0,Urogenital ridge,198,240,240,0.825
1.0,1.5,Brain,10521,11743,11743,0.8959380056203696
1.0,1.5,Cartilage primordium,1796,2110,2110,0.8511848341232228
1.0,1.5,Cavity,6759,8400,8400,0.8046428571428571
1.0,1.5,Choroid plexus,140,173,173,0.8092485549132948
1.0,1.5,Connective tissue,2407,2958,2958,0.8137254901960784
1.0,1.5,Dorsal root ganglion,1122,1359,1359,0.82560706401766
1.0,1.5,Epidermis,2051,2488,2488,0.8243569131832797
1.0,1.5,GI tract,1439,1742,1742,0.8260619977037887
1.0,1.5,Heart,1563,1612,1612,0.9696029776674938
1.0,1.5,Jaw and tooth,2848,3186,3186,0.8939108600125549
1.0,1.5,Kidney,172,186,186,0.9247311827956989
1.0,1.5,Liver,1748,1968,1968,0.8882113821138211
1.0,1.5,Lung,402,435,435,0.9241379310344827
1.0,1.5,Meninges,3170,3716,3716,0.8530678148546824
1.0,1.5,Mesentery,148,179,179,0.8268156424581006
1.0,1.5,Mesothelium,191,229,229,0.834061135371179
1.0,1.5,Mucosal epithelium,252,300,300,0.84
1.0,1.5,Muscle,5786,6821,6821,0.8482627180765284
1.0,1.5,Ovary,67,74,74,0.9054054054054054
1.0,1.5,Pancreas,4,4,4,1.0
1.0,1.5,Spinal cord,178,218,218,0.8165137614678899
1.0,1.5,Sympathetic nerve,83,99,99,0.8383838383838383
1.5,2.0,Adipose tissue,57,66,66,0.8636363636363636
1.5,2.0,Brain,10564,11638,11638,0.9077161024230967
1.5,2.0,Cartilage primordium,1666,1979,1979,0.8418393127842345
1.5,2.0,Cavity,7204,8931,8931,0.8066285970216102
1.5,2.0,Choroid plexus,84,105,105,0.8
1.5,2.0,Connective tissue,4241,5266,5266,0.8053551082415495
1.5,2.0,Dorsal root ganglion,1225,1379,1379,0.8883248730964467
