profile,cluster
D130009I18Rik,2
Tmtc2,2
Igf2,2
Fabp7,1
Hba-a1,2
Col1a1,2
Col1a2,2
Hbb-bh1,1
Tubb2b,1
Pantr1,1
Col3a1,2
Ranbp1,1
Hba-x,1
Stmn1,1
Calm2,1
Ndufb9,1
Srp14,1
Snhg11,2
Hes5,1
Mt1,2
Hspd1,1
Mdk,1
Ldhb,1
Psma1,1
Nr2f1,1
C1qbp,1
Raly,1
Mapt,2
Capzb,1
Nes,1
Cdca8,1
Afp,2
Sox11,1
Alb,2
Apoe,2
Gadd45g,1
Med10,1
Tmsb10,1
Acta1,2
Vps72,1
Igf2bp1,1
Metap2,1
Mylpf,2
Map1b,1
Dcx,2
Tcf7l2,1
Ube2b,1
Psmc5,1
Uqcrc1,1
Igfbpl1,1
Adh5,1
Ttr,1
Hdgf,1
Ina,2
Rtn3,1
Tomm6,1
Usp50,1
Hnrnpd,1
Dcn,2
Cdkn1c,1
Dcc,1
Npas3,1
Rala,1
Tmem242,1
Stmn2,1
Gmnn,1
Bbip1,1
Rnd2,1
Lamtor1,1
Jpt2,1
Hspa4,1
Ptprd,2
Mrpl11,1
Naa38,1
Crmp1,1
Sparc,2
Eef1e1,1
Id4,1
Polr2c,1
Ebna1bp2,1
Tomm5,1
Pigx,1
Mir9-3hg,1
Psat1,1
BC005537,2
Myh3,2
Nop58,1
Sox9,1
Pdcd6,1
Phip,1
Gm26917,1
Mrpl36,1
Tenm3,1
Rfc3,1
Eln,2
Cox17,1
Actc1,2
Snrpn,1
Polr2l,1
Gp1bb,2
Sf3b4,1
Mrpl40,1
Col2a1,2
Crabp1,1
Rtn1,1
Nrxn1,2
Hmga2,1
Wnt7b,1
Hist1h4i,1
Rbms3,2
Postn,2
Efna5,1
Gpc6,1
Map2,1
Supt16,1
Nrxn3,2
Arl1,1
Trf,2
Ddost,1
Sox6,1
Mcm3,1
Ccnd2,1
Slc25a37,2
Etfa,1
Cdk5r1,1
Suds3,1
Pnmal2,2
Mkrn1,1
Api5,1
Rbfox1,2
Arvcf,1
Rtca,1
Mt2,2
Pqbp1,1
Prph,2
Med31,1
Sox5,1
Robo1,1
Erbb4,1
Creb1,1
B9d1,1
Nnat,2
Gap43,1
Mllt11,1
Gar1,1
Rab11a,1
Gm3764,1
Palld,1
Nrg3,2
Cstb,1
Nav2,1
Celf4,1
Dnajb6,1
Acta2,2
Igfbp2,1
Ebf2,1
Krt15,2
Dnajc5,2
S100a6,2
Rab6b,2
Tnni1,2
Igf1,2
Col11a1,2
Wdr18,1
Ubxn4,1
Myl4,2
Ccnh,1
Mrpl49,1
Rad51,1
Meis3,1
Nhlh2,1
Krt14,2
Tnnc1,1
Prmt5,1
Myl9,1
Zfp532,1
Krt5,2
Elp2,1
Jmjd8,1
Dynlt1a,1
Gdi1,1
Elavl4,1
Mettl26,1
Rmst,1
Lxn,1
Hdgfl2,1
Eapp,1
Psmg2,1
Tor1a,1
Pmp22,2
Suz12,1
Tpm2,2
Armc1,1
Meaf6,1
Pgp,1
Hdlbp,2
Trim67,2
Cebpg,1
Emc2,1
Lsamp,2
Krt10,1
Tm2d3,1
Pcp4,2
Col11a2,2
Miat,1
Myl2,1
Nav3,2
Ap4m1,1
Gde1,1
Gabpb1,1
Col9a3,2
Ranbp2,1
Commd7,1
Scg5,1
Lingo2,2
Elavl3,1
Fkbp2,1
Atp1a2,2
Bmpr1a,1
Ccm2,1
Tal2,1
Apoa2,2
Epha3,1
Rhbdl3,1
Trps1,1
Cxcl12,2
Gpx1,1
Trpm3,2
Akap13,1
Acss1,1
1700016D06Rik,1
Atraid,1
Dlg2,2
Myl3,2
Prrx1,2
Sfi1,2
Pnpo,2
Ipo9,1
Pid1,2
Cadm2,2
Actr1a,1
Slc4a1,2
Cxcl14,2
Emp1,2
Bloc1s2,1
Mylk,2
Boc,1
Ebf3,1
Smarcc2,1
Faf1,1
Celf2,1
Fam155a,2
Myh7,2
Ccl27a,1
Ube2q1,1
Bsg,1
Pard3b,1
Adgrb3,1
Elf2,1
Tnnt2,2
Htra1,2
Meis2,1
Hbs1l,1
Fars2,1
Gm43126,1
Pop7,1
Vcan,1
Nkd1,1
Gm26904,1
Ccser1,2
Npdc1,1
Smad2,1
Cnn2,2
Wwc1,1
Mkks,1
Mecom,1
Cacng4,1
mt-Nd5,1
Tnni2,2
Daxx,1
Lrrc8d,1
Mis18bp1,1
Tmcc2,2
Fam60a,1
Cpsf4,1
Aktip,1
Grm5,2
Ccdc28b,1
Nefl,2
Ropn1l,1
Ctnna2,1
Col14a1,2
Fundc1,1
Polr3h,1
Nrp2,2
Megf8,2
Ash1l,1
Ptgds,2
Tnnt3,2
Pcdh7,2
Phactr1,2
Fam69b,1
Actn2,2
Serpina1b,2
Nxph1,2
Otx1,1
Gm29478,1
Gatad1,1
Zdhhc4,1
Igfbp5,2
Nefm,2
Arfrp1,1
Gja1,2
Robo2,2
Fbxl7,1
Negr1,2
Ntm,2
Zic3,1
Scamp4,1
Pcdh9,1
Men1,1
Kdm4a,1
Arxes2,1
Sgcz,2
Serpinf2,2
Cd200,2
Rdm1,1
Apoa1,2
Myl7,1
Cdkn3,1
Kcnip4,2
Flrt2,2
Sirt6,1
Exo1,1
Lhx9,1
Myl1,2
Heatr1,1
Srpk2,1
Fbxo44,1
Araf,1
Rnf144a,1
Cntnap2,2
Rwdd4a,1
Hsdl1,1
Enho,1
Ezr,1
Car10,2
Cenpt,1
Nfs1,1
Ankrd49,1
Dlg1,1
Nr2f2,1
Trip6,1
Penk,2
Sln,2
Ufsp2,1
Ski,2
Sbno1,1
Zfyve21,1
Emc1,2
Galntl6,2
Camk2n1,2
Fnbp4,1
Coa7,1
Ckm,2
Ndfip1,1
Cacna2d3,2
Actg2,2
Gm14325,1
Cables2,2
Taf2,1
Zc3hc1,1
Cpox,2
Cdk12,1
Pax1,2
Kcnd2,2
Fam173b,1
Sema6d,2
Ppp2r2b,1
Atrnl1,1
Spen,1
Cul7,1
Car2,2
Lbr,1
Mgat4c,2
Ptpn9,1
Prkcb,2
Myh8,2
Ahsg,2
Ebf1,1
Lhx5,1
Zpr1,1
Zfp362,1
Pfas,1
Hacd2,1
Sh3gl2,2
Dsp,2
Pxdn,2
Lamb2,2
Aspn,2
2700097O09Rik,1
Rbp4,2
Tagln,2
Lrrtm4,2
Ambra1,1
Grik2,1
Dpp6,2
Ncapg2,1
Slit2,1
Ctsz,1
Ppp2cb,1
Npy,2
Fam46c,2
Zcchc18,1
Rrp1b,1
Col9a1,2
Apex2,2
Ttk,1
Reln,1
Cntn5,2
Rcan2,2
Ralgapa2,1
Ap3b2,1
Naa60,1
Mdga2,2
Sst,1
Angptl4,2
Asxl3,1
Lyz2,2
Lrrc4c,2
Acad9,1
Mpi,1
Zic1,1
Usp38,1
Tnnc2,2
Psmb10,1
Ankra2,1
Rora,1
Zdhhc21,1
Prkg1,2
Tenm2,1
Tardbp,1
Iqsec3,2
Gstm1,2
Perp,2
Hspb11,1
Piezo2,2
Brip1os,1
Serpina6,2
Acaa2,1
Scg3,1
Pkd1,2
Nr1h2,1
Dmd,1
Avl9,1
Cnr1,1
Xpo5,1
Slc15a3,1
Col25a1,1
Matn2,2
Elmod1,2
Dact3,2
Clu,2
Mknk2,1
Slc4a3,2
Apoc2,2
Dimt1,1
E330009J07Rik,1
Dnah14,1
Hic1,2
S100a8,2
Cacna2d1,1
Pi4ka,1
Gm20442,1
Pf4,1
Prag1,1
Arhgap20,2
Numb,1
Adgrl3,1
Krt17,2
Lst1,2
Jag2,2
Wwox,1
Fam19a1,2
Rabl6,1
F13a1,2
Plpp1,1
Tmem205,1
Egfem1,1
Pomc,1
Rabif,1
Pik3r2,1
Syt7,2
Polr1e,1
Ccndbp1,1
Ambp,2
Hoxa5,1
Adamts2,2
Carnmt1,1
Slc25a33,1
Tnnt1,1
Cdh1,2
Prrc2a,1
Sdk1,1
Zfp512,1
Plbd2,2
Il17rd,1
Senp7,1
Rapgef6,1
Kdm6a,1
Fga,2
Plekhh1,1
Amer2,1
Pank4,1
Lama5,2
Bdh1,1
Rbfa,1
Arhgef39,1
Gtdc1,1
Poglut1,1
Emc3,1
Trp53i13,1
Sde2,1
Slc2a1,1
Abat,1
Anxa1,2
Trappc11,1
Rictor,1
Sfn,2
Gm45774,2
Esrrg,2
Zfp688,1
Enox1,1
S100a9,2
Gm26551,1
Atp2b1,2
Prr36,1
Ehd2,2
AC154683.1,1
Clstn3,2
Scn3a,1
Plxna2,1
Hoxb9,2
Zdhhc2,1
Wnt6,2
Zfp236,1
Eomes,1
Snca,2
Galnt7,1
Nhlh1,1
Rnf169,1
Hpse2,1
Ranbp3l,2
Csmd1,2
Opa1,1
Dvl2,1
Eya2,1
Rab12,1
Fbxo34,1
Noc3l,1
Rybp,1
Fbxw8,1
St8sia4,2
Osbpl11,1
Nppa,1
Wnk2,1
Olfml2a,2
Vkorc1l1,1
Coasy,1
Gle1,1
Cytl1,2
Kif26b,2
Kif3a,1
Cbln2,2
Kirrel3,2
Upf3b,1
Zfp286,1
Taok2,2
Ctps2,1
Tank,1
4930516B21Rik,1
Map3k11,2
Ercc8,1
Acan,2
Tmem232,1
Krt19,2
Matn1,2
Exoc7,1
Lca5,1
Cartpt,1
Kcnb2,2
Aars2,1
Csrp3,1
Hspa12b,2
En2,1
Apom,2
Cenpi,1
Tceal7,2
Tac1,2
Cyp26b1,1
Akap8l,1
Eaf1,1
Pdlim1,1
Sbsn,1
Pitpnm1,2
Runx2,2
Hprt,1
Cdh18,2
Plscr1,1
Astn2,2
Cacng7,1
Fam57a,1
Tfap2b,1
Ccdc181,1
Ggct,1
Bnc2,2
Ankle2,1
Arhgef1,2
Gm26881,1
Mmp23,2
Zkscan8,1
Prr7,1
Cdr2,1
Tle2,2
Zfpm2,1
Zmym6,1
Svop,1
Cdk19,1
Cdon,1
Myh11,2
Fzd7,1
B4galt3,1
Fam49a,1
Ccdc85a,2
Usp45,1
Dram2,1
Anks3,1
Oaf,1
Gtpbp3,1
Slit3,1
Grid2,1
Cnmd,2
Sos2,1
Olfml2b,2
Gria3,2
Mafa,2
Tmem64,2
Ccdc51,1
Ipmk,1
Mir17hg,1
Tm6sf1,1
Mpped1,1
Msx1,1
Rnf150,1
Nalcn,2
Nfrkb,1
3110079O15Rik,2
Gm29260,1
Stx4a,1
Atg2a,2
Cntn3,2
Serping1,2
Mybpc3,1
C87436,1
Gdpd2,1
Otulin,1
Nrg1,1
Ctnna3,2
Mlc1,1
Adarb2,1
Ppp2r3a,1
Serpina1e,2
Ccdc182,1
Sncg,2
Fgf14,1
Csf2ra,2
Ppp1r15a,2
Ibsp,2
Srpk3,2
Khk,2
Casc4,1
Gm20425,2
Tnni3,1
Ntpcr,1
Ermap,2
Tmem159,1
Cyb561,2
Ofd1,1
Pomgnt1,1
Rhbdd2,1
Dffa,1
Slit1,1
Rgs4,2
Phka2,1
Samd4,1
Rab39b,1
Ttc30a1,1
Rasa4,2
Trank1,2
Trp63,2
Spryd3,2
Alas2,2
Pcsk2,2
Emid1,1
Usp20,2
Dnmt3b,1
Rgs6,2
Rspo2,1
Rbm20,1
Tmem201,1
Cnksr3,1
Klc2,2
Mast3,2
Lrrc14,1
Lemd2,1
Gypa,2
4930430F08Rik,1
Reep4,1
Tmem185b,1
Clcn3,1
Mavs,1
Chrnb2,1
Tex14,1
Chtf18,1
Atxn1,1
Poli,1
Phlpp2,1
Ifi27l2a,2
Kel,2
Tbr1,1
Lpl,2
Dnajc27,1
Gm11973,1
Lrrc1,1
Fancf,1
Aldh1a7,2
Cyp4f15,1
Rimkla,2
Mgat4a,2
Rnf19b,1
Slc8a1,1
Ttn,1
A230057D06Rik,1
Sirt7,1
Mlycd,1
Gm26518,1
N4bp3,2
Esrp1,2
Cyp2f2,2
Trpv2,2
Frzb,1
