"SYMBOL","mapped"
"2900079G21Rik",TRUE
"3110079O15Rik",FALSE
"Acta1",TRUE
"Adamdec1",TRUE
"Adamts2",TRUE
"Afp",TRUE
"Ahsg",TRUE
"Aifm3",TRUE
"AL732506.1",FALSE
"Alas2",TRUE
"Alb",TRUE
"Aldh1a7",TRUE
"Alk",TRUE
"Angptl4",TRUE
"Ankrd55",TRUE
"Anxa1",TRUE
"Apex2",TRUE
"Arhgap20",TRUE
"Arhgef16",TRUE
"Atp1a2",TRUE
"BC100530",FALSE
"Bnc2",TRUE
"Brpf3",TRUE
"C1qtnf2",TRUE
"Cacna2d3",TRUE
"Cadm2",TRUE
"Camp",TRUE
"Car10",TRUE
"Car2",TRUE
"Ccdc85a",TRUE
"Cdh1",TRUE
"Cdh18",TRUE
"Chrm3",TRUE
"Ckm",TRUE
"Cntn3",TRUE
"Cntn5",TRUE
"Col11a1",TRUE
"Col11a2",TRUE
"Col1a1",TRUE
"Col1a2",TRUE
"Col3a1",TRUE
"Col6a4",TRUE
"Cp",TRUE
"Cpa3",TRUE
"Cpa6",TRUE
"Cpox",TRUE
"Cpxm2",TRUE
"Ctnna3",TRUE
"Cxcl14",TRUE
"Cyb561",TRUE
"Cyp2f2",TRUE
"D130009I18Rik",TRUE
"Dbh",TRUE
"Dcn",TRUE
"Dennd2c",TRUE
"Dennd3",TRUE
"Dlg2",TRUE
"Dpp6",TRUE
"Dsc2",TRUE
"Dsp",TRUE
"Eln",TRUE
"Emp1",TRUE
"Epha7",TRUE
"Epn3",TRUE
"Ermap",TRUE
"Esrp1",TRUE
"Fam19a1",FALSE
"Fam46c",FALSE
"Fga",TRUE
"Flrt2",TRUE
"Foxp2",TRUE
"Gabrp",TRUE
"Galntl6",TRUE
"Gja1",TRUE
"Gm13481",TRUE
"Gm16083",TRUE
"Gm28370",FALSE
"Gm45323",FALSE
"Gm45774",FALSE
"Grm1",TRUE
"Grm5",TRUE
"Gypa",TRUE
"Hba-a1",TRUE
"Hdc",TRUE
"Hspa12b",TRUE
"Htra1",TRUE
"Ibsp",TRUE
"Igf2",TRUE
"Il17rc",TRUE
"Il1rapl1",TRUE
"Il1rapl2",TRUE
"Iqsec3",TRUE
"Itga9",TRUE
"Itgb4",TRUE
"Jag2",TRUE
"Kcnb2",TRUE
"Kcnd2",TRUE
"Kcnip4",TRUE
"Kcnq5",TRUE
"Kcns1",TRUE
"Kel",TRUE
"Kif26b",TRUE
"Kirrel3",TRUE
"Krt14",TRUE
"Krt15",TRUE
"Krt17",TRUE
"Krt19",TRUE
"Krt4",TRUE
"Krt5",TRUE
"Krt6a",TRUE
"Krtdap",TRUE
"Lama2",TRUE
"Lama3",TRUE
"Lama5",TRUE
"Lingo2",TRUE
"Lrrtm4",TRUE
"Lsamp",TRUE
"Lypd6b",TRUE
"Mafa",TRUE
"Mapt",TRUE
"Matn2",TRUE
"Mctp2",TRUE
"Mdga2",TRUE
"Mgat4a",TRUE
"Mgat4c",TRUE
"Mog",TRUE
"Mpl",TRUE
"Mpzl2",TRUE
"Mt1",TRUE
"Mt2",TRUE
"Mybpc1",TRUE
"Myh11",TRUE
"Myh14",TRUE
"Myh3",TRUE
"Myh8",TRUE
"Mylk",TRUE
"Mylpf",TRUE
"Nalcn",TRUE
"Nebl",TRUE
"Nefl",TRUE
"Nefm",TRUE
"Negr1",TRUE
"Ngp",TRUE
"Nrg3",TRUE
"Nrxn1",TRUE
"Ntrk1",TRUE
"Nts",TRUE
"Olfml2a",TRUE
"Pax1",TRUE
"Pcdh7",TRUE
"Pcdhga12",TRUE
"Pcsk2",TRUE
"Pcsk9",TRUE
"Pde3a",TRUE
"Perp",TRUE
"Piezo2",TRUE
"Pkd1",TRUE
"Pkp3",TRUE
"Pnliprp1",TRUE
"Pnpo",TRUE
"Pou6f2",TRUE
"Ppl",TRUE
"Ppp1r15a",TRUE
"Prph",TRUE
"Prrx1",TRUE
"Ptgds",TRUE
"Ptges",TRUE
"Ptprm",TRUE
"Ranbp3l",TRUE
"Rbfox1",TRUE
"Rbm47",TRUE
"Rbms3",TRUE
"Rgs4",TRUE
"Rgs6",TRUE
"Rhov",TRUE
"Robo2",TRUE
"Runx2",TRUE
"S100a9",TRUE
"Sema6d",TRUE
"Serpina1b",TRUE
"Serpina1e",TRUE
"Serpinf2",TRUE
"Sfi1",TRUE
"Sfn",TRUE
"Sftpc",TRUE
"Sgcd",TRUE
"Sgcz",TRUE
"Slc25a37",TRUE
"Slc2a10",TRUE
"Slc4a1",TRUE
"Snca",TRUE
"Snhg11",TRUE
"Sparc",TRUE
"Srpk3",TRUE
"Stfa1",TRUE
"Susd2",TRUE
"Syt12",TRUE
"Syt7",TRUE
"Tacstd2",TRUE
"Tff3",TRUE
"Tgfbr3",TRUE
"Tle2",TRUE
"Tmcc2",TRUE
"Tmem64",TRUE
"Tmtc2",TRUE
"Tnni2",TRUE
"Tnnt3",TRUE
"Trank1",TRUE
"Trf",TRUE
"Trim66",TRUE
"Trp63",TRUE
"Trpm3",TRUE
"Trpv2",TRUE
"Ugt2a2",TRUE
"Upk1b",TRUE
"Upk3bl",TRUE
"Ush2a",TRUE
"Wnt6",TRUE
